,custom_score,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/colset,config/lr_C,config/lr_solver,config/svc_C,config/svc_kernel,config/weight_lr,config/weight_nb,config/weight_svc,config/weight_xgb,config/xgb_alpha,config/xgb_colsample_bytree,config/xgb_eta,config/xgb_lambda,config/xgb_max_depth,config/xgb_min_child_weight,config/xgb_subsample,logdir
0,6850.0,1717358448,,False,1,e0f49734,2024-06-02_22-00-48,0.9216418266296387,0.9216418266296387,14680,DESKTOP-8J3QSBJ,127.0.0.1,0.9216418266296387,1,"[100, 104, 102, 103, 105]",0.48493795794021277,lbfgs,0.12621538968556406,linear,0.11293901484248192,0.7320592969336459,0.9735029557531735,0.09908999620257253,0.8301738094818035,0.5259520845310256,0.045570461524777915,0.05477329570158219,8,1,0.5954865348030025,e0f49734
1,6850.0,1717358450,,False,1,57e1a450,2024-06-02_22-00-50,1.1968789100646973,1.1968789100646973,21328,DESKTOP-8J3QSBJ,127.0.0.1,1.1968789100646973,1,"[100, 101, 102, 103, 105]",0.9823408751644493,saga,0.3928892883291439,rbf,0.9451147871048353,0.3662963691546418,0.7402074103689421,0.6426596679990786,0.3414805265605182,0.5391082906007397,0.07973052877103635,0.021863965394517095,3,2,0.7217848014390632,57e1a450
2,7000.0,1717358452,,False,1,7ea2a20b,2024-06-02_22-00-52,1.296865701675415,1.296865701675415,56116,DESKTOP-8J3QSBJ,127.0.0.1,1.296865701675415,1,"[104, 102, 103, 105]",0.6137694236594563,sag,4.14799650718448,sigmoid,0.7380683191908478,0.7660394606100012,0.9390348160161056,0.2853247213738689,0.003172320668131964,0.9731137569683106,0.05405530661911049,0.8550600892019269,10,3,0.6399998093469039,7ea2a20b
3,6950.0,1717358455,,False,1,a3e83ad6,2024-06-02_22-00-55,1.8335843086242676,1.8335843086242676,25484,DESKTOP-8J3QSBJ,127.0.0.1,1.8335843086242676,1,"[100, 101, 102, 103, 105]",5.289487009979579,liblinear,3.795347624955423,poly,0.5895778247926676,0.124926790594316,0.5048639858144265,0.48857385599627745,0.0024723074151635827,0.7420470613048096,0.08520459116064914,0.002349564577982134,9,3,0.5397496174268064,a3e83ad6
4,6900.0,1717358456,,False,1,ed134764,2024-06-02_22-00-56,1.4924485683441162,1.4924485683441162,25328,DESKTOP-8J3QSBJ,127.0.0.1,1.4924485683441162,1,"[100, 101, 103, 105]",5.664058576626758,newton-cg,2.334872470506026,poly,0.5450237663584991,0.3665886702799249,0.36127800496252893,0.5700555075703894,2.6374313090948593,0.5324245711201123,0.010009059828618624,0.009833896229944997,5,4,0.7965972135090738,ed134764
5,7000.0,1717358458,,False,1,6e30c5cd,2024-06-02_22-00-58,1.0629403591156006,1.0629403591156006,11848,DESKTOP-8J3QSBJ,127.0.0.1,1.0629403591156006,1,"[100, 101, 102, 105]",0.2089371168504423,newton-cg,1.5030902545302975,linear,0.10849859153249597,0.23407811632499198,0.3878248965198089,0.7145394315067688,0.38213409786875047,0.7469160837655417,0.023462111863247127,0.4895017636772369,6,5,0.8295199104650783,6e30c5cd
6,6900.0,1717358460,,False,1,0d6f8b39,2024-06-02_22-01-00,1.4389879703521729,1.4389879703521729,45156,DESKTOP-8J3QSBJ,127.0.0.1,1.4389879703521729,1,"[100, 101, 102, 103, 105]",0.1538008016913864,saga,3.6572728215455235,rbf,0.5587498825164657,0.5883811121541814,0.9301101905814327,0.2803324190733819,1.8231581805078603,0.9265988454591081,0.01968081121209282,0.37093858046632594,10,3,0.5385936997412082,0d6f8b39
7,6650.0,1717358462,,False,1,d7ebc2d5,2024-06-02_22-01-02,1.8548047542572021,1.8548047542572021,51924,DESKTOP-8J3QSBJ,127.0.0.1,1.8548047542572021,1,"[101, 103, 105]",3.0831140096790204,newton-cg,3.7916278620034913,poly,0.49810173663738166,0.026720473273067147,0.6939556438580408,0.7307903825921573,0.08080208213683217,0.5577715431400612,0.011996393014012667,0.02693009054663079,4,3,0.8288873526918531,d7ebc2d5
8,6950.0,1717358463,,False,1,b726dbe0,2024-06-02_22-01-03,1.3686835765838623,1.3686835765838623,15660,DESKTOP-8J3QSBJ,127.0.0.1,1.3686835765838623,1,"[100, 101, 102, 103]",0.2076006506287954,sag,4.5924193976644565,linear,0.3398615499715891,0.5773867583964869,0.023784392690442746,0.9521450281429672,0.48668203685579453,0.8998370843519021,0.0769319860774256,0.484226810686714,5,2,0.8847070915251528,b726dbe0
9,6750.0,1717358465,,False,1,4f5d1986,2024-06-02_22-01-05,1.2548794746398926,1.2548794746398926,34692,DESKTOP-8J3QSBJ,127.0.0.1,1.2548794746398926,1,"[100, 101, 103, 105]",0.34706162832995885,lbfgs,0.1355472286030515,rbf,0.10008502740719694,0.9487310510399476,0.8005306462919046,0.5808383837451709,0.035301767464252606,0.6751836109927578,0.09618522661371441,0.0032650177044580963,7,1,0.6373935561375461,4f5d1986
10,7150.0,1717358598,,False,1,4ad673af,2024-06-02_22-03-18,1.0507187843322754,1.0507187843322754,19844,DESKTOP-8J3QSBJ,127.0.0.1,1.0507187843322754,1,"[100, 101, 102, 105]",8.673244984280837,lbfgs,1.643232015893512,linear,0.4205066484330542,0.4967269255120056,0.7904883827711073,0.9808386594115867,0.010026890422701417,0.6850601983557056,0.010026477440386762,0.6237987917580987,3,2,0.6402510177106089,4ad673af
11,7000.0,1717358469,,False,1,9244835e,2024-06-02_22-01-09,1.4092473983764648,1.4092473983764648,25524,DESKTOP-8J3QSBJ,127.0.0.1,1.4092473983764648,1,"[100, 101, 102, 103, 105]",0.8298824826322163,sag,5.610542825761104,sigmoid,0.8241226873778924,0.6338154190650346,0.5772000586284225,0.010103987686732485,0.005399143632470585,0.7497739241258693,0.08218493111236624,0.04145850635198352,8,2,0.5170588782057199,9244835e
