,custom_score,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/colset,config/et_bootstrap,config/et_bootstrap_2,config/et_bootstrap_3,config/et_max_depth,config/et_max_depth_2,config/et_max_depth_3,config/et_max_features,config/et_max_features_2,config/et_max_features_3,config/et_min_samples_leaf,config/et_min_samples_leaf_2,config/et_min_samples_leaf_3,config/et_min_samples_split,config/et_min_samples_split_2,config/et_min_samples_split_3,config/et_n_estimators,config/et_n_estimators_2,config/et_n_estimators_3,config/lr_C,config/lr_C_2,config/lr_C_3,config/lr_solver,config/lr_solver_2,config/lr_solver_3,config/svc_C,config/svc_C_2,config/svc_C_3,config/svc_kernel,config/svc_kernel_2,config/svc_kernel_3,config/weight_et,config/weight_lr,config/weight_svc,config/weight_xgb,config/xgb_alpha,config/xgb_alpha_2,config/xgb_alpha_3,config/xgb_colsample_bytree,config/xgb_colsample_bytree_2,config/xgb_colsample_bytree_3,config/xgb_eta,config/xgb_eta_2,config/xgb_eta_3,config/xgb_lambda,config/xgb_lambda_2,config/xgb_lambda_3,config/xgb_max_depth,config/xgb_max_depth_2,config/xgb_max_depth_3,config/xgb_min_child_weight,config/xgb_min_child_weight_2,config/xgb_min_child_weight_3,config/xgb_subsample,config/xgb_subsample_2,config/xgb_subsample_3,logdir
0,6650.0,1717354237,,False,1,7567ef98,2024-06-02_20-50-37,3.434990167617798,3.434990167617798,63548,DESKTOP-8J3QSBJ,127.0.0.1,3.434990167617798,1,"[101, 102, 103]",True,False,True,36,26,17,sqrt,sqrt,sqrt,11,2,16,15,14,20,83,125,184,0.22884926655559984,18.14354278935924,3.7467254253656552,lbfgs,saga,lbfgs,0.15265198242813552,0.9454514493185987,0.6342778591098428,sigmoid,linear,linear,0.2949310725772347,0.188585345033361,0.8015876503850006,0.6745913060940972,0.042641140422473446,0.04975972250734016,4.153099831905283,0.8800345908078793,0.8255745678935834,0.9541171264451445,0.015083065688050316,0.06246923426015106,0.7584440986167633,3.279065174532786,0.0028820066531831568,0.0039663434710393046,5,3,8,5,7,4,0.8499382885884339,0.7903439424827774,0.6096625917951419,7567ef98
1,6400.0,1717354396,,False,1,19b8cd92,2024-06-02_20-53-16,3.8661417961120605,3.8661417961120605,18844,DESKTOP-8J3QSBJ,127.0.0.1,3.8661417961120605,1,"[102, 103, 105]",False,True,True,48,21,25,log2,sqrt,log2,10,30,7,7,8,17,93,33,110,0.6134668510895133,7.101034705851969,1.4927329251303376,newton-cg,sag,liblinear,1.0476438341721956,0.1420759637111754,1.1772915291600086,sigmoid,sigmoid,poly,0.8070264691005476,0.970090865187948,0.7463797026702246,0.9182964341309192,0.2499785905302383,0.03164451928921162,0.002040789208687418,0.69805730527982,0.5011975936048635,0.2595493412701731,0.01604230924069781,0.054697195693061786,0.9074767227978654,0.012208545843612485,0.0541490686122665,0.008967497757897007,3,2,13,1,6,5,0.9787950809870329,0.7907116127923737,0.5201025827724254,19b8cd92
2,6450.0,1717354241,,False,1,bc343c95,2024-06-02_20-50-41,3.3122317790985107,3.3122317790985107,7912,DESKTOP-8J3QSBJ,127.0.0.1,3.3122317790985107,1,"[101, 102, 105]",False,True,True,23,6,2,log2,sqrt,log2,7,6,18,5,14,34,67,15,84,0.20066404260987053,0.37058964043996295,0.1149786553299477,liblinear,newton-cg,sag,4.277591442130596,3.0189224510426507,0.321190292730003,sigmoid,linear,linear,0.5905791772179297,0.3553022598205363,0.32071936495562237,0.9015629873765437,0.09043310128509378,0.00026545448331317093,0.09754641592743778,0.9978658217118651,0.6190841784390084,0.2120794912864942,0.04354144321031107,0.5099187910874547,0.544797765781284,0.043612446627400145,0.001115068776839816,0.001646702144744819,6,5,16,4,3,4,0.7103614928438652,0.44867434054340916,0.023667874506735416,bc343c95
3,6650.0,1717354244,,False,1,019f41aa,2024-06-02_20-50-44,5.1836466789245605,5.1836466789245605,45772,DESKTOP-8J3QSBJ,127.0.0.1,5.1836466789245605,1,"[101, 102, 103, 105]",True,False,True,4,7,2,log2,log2,sqrt,8,8,21,18,17,22,84,69,122,0.5700502681353509,0.6544073835184279,23.969639877015954,liblinear,saga,newton-cg,1.1993423891536255,9.654111002997421,6.196700087453552,sigmoid,linear,linear,0.2862988557278143,0.2878287227135866,0.8577914857389468,0.220105891244337,0.006163676797353405,2.2551208026072365,0.0022885470561430175,0.9431043635309349,0.9818851405796344,0.8973645637586645,0.08941686638809884,0.35153897593614813,0.5843904399285943,0.0010940680610835177,0.0015599339408175028,0.002435852225570635,3,3,2,3,4,2,0.9060099211262984,0.7508602872826455,0.8587189096749532,019f41aa
4,6450.0,1717354247,,False,1,56a5edc8,2024-06-02_20-50-47,5.430022954940796,5.430022954940796,35008,DESKTOP-8J3QSBJ,127.0.0.1,5.430022954940796,1,"[100, 104, 102, 103, 105]",False,False,True,35,24,27,log2,log2,log2,19,28,4,20,29,13,74,98,107,0.3400483362007812,0.24124237585933697,11.26567258512366,lbfgs,liblinear,sag,8.497844963129566,0.7661976774122113,16.922131148221517,poly,rbf,sigmoid,0.8592675579637747,0.048158568589435014,0.2843137402551158,0.07510257930800002,0.03892458860757535,0.007755050886722482,6.239575218605246,0.5856435368699231,0.9427249490476551,0.35989350782373947,0.0422954971247636,0.06460752574848219,0.5432956845195872,4.3520596618808165,0.018075955727477014,5.278253075036871,8,2,16,4,6,5,0.9839077915978639,0.39175262716182957,0.8375568163368123,56a5edc8
5,6950.0,1717354401,,False,1,7d0ea8b5,2024-06-02_20-53-21,6.6968607902526855,6.6968607902526855,15696,DESKTOP-8J3QSBJ,127.0.0.1,6.6968607902526855,1,"[102, 103, 105]",False,False,False,27,22,7,log2,log2,sqrt,10,23,29,17,20,40,19,159,96,7.629488739417763,0.7057095627867163,0.8158288281094724,newton-cg,lbfgs,newton-cg,0.021123890332804974,5.063187343648495,10.91900564585445,rbf,poly,poly,0.3955854761844775,0.17254974792098832,0.5673955511007628,0.2608343305135873,0.2970311322679822,0.0010071597291619202,0.012280604695006128,0.7060358315557521,0.756179892928208,0.6550095923449424,0.010016342578795861,0.607795575816219,0.6606413866080748,0.004858013962303883,0.0004111693913972612,0.012557746016488458,6,3,15,5,10,4,0.9215601480518482,0.369508517415132,0.9083523987153734,7d0ea8b5
6,6450.0,1717354250,,False,1,09224e46,2024-06-02_20-50-50,4.431807518005371,4.431807518005371,36984,DESKTOP-8J3QSBJ,127.0.0.1,4.431807518005371,1,"[100, 101, 102, 103]",True,False,False,38,28,22,log2,log2,sqrt,15,30,9,11,17,33,87,122,130,0.34047797149305054,1.5824978361224755,5.88371276599424,sag,sag,newton-cg,0.38426220475895156,0.45079800664486397,0.23110278072279888,rbf,rbf,sigmoid,0.9099073862074187,0.10125235842654823,0.3449606227857064,0.47226202137992157,0.7509555571366847,2.1811848867319146,0.12425463260165633,0.813106496456147,0.9158688104430512,0.8507069764054023,0.034904412959226624,0.059902682475505904,0.6544255672931547,0.012871497080096009,0.02412782812371519,0.022360657787226443,3,5,13,1,10,3,0.7427623831218786,0.7057767096233583,0.4296984918389663,09224e46
7,6400.0,1717354251,,False,1,a0de9d3f,2024-06-02_20-50-51,3.7393808364868164,3.7393808364868164,65044,DESKTOP-8J3QSBJ,127.0.0.1,3.7393808364868164,1,"[100, 101, 102, 105]",True,False,False,45,21,7,log2,log2,log2,7,5,26,7,30,14,45,35,100,2.9152780243854655,2.7357529619663734,10.354626923114905,saga,newton-cg,sag,1.4236691256828806,1.3844707938163392,0.1886503236645472,poly,linear,rbf,0.363464557911542,0.5353215422124636,0.31401029177853823,0.6734332798960324,0.003456286627455992,0.0016068830675443164,0.028727412595811592,0.6836762557443794,0.9825073048484096,0.5022870979769564,0.014921598237201936,0.07862560161770113,0.5151936326951605,0.001041231049241492,0.00026362611286520333,0.11219973607818035,3,2,15,3,6,4,0.8434264028128995,0.2196798413458547,0.17552321135505097,a0de9d3f
8,6550.0,1717354253,,False,1,5550244c,2024-06-02_20-50-53,4.29166054725647,4.29166054725647,2072,DESKTOP-8J3QSBJ,127.0.0.1,4.29166054725647,1,"[100, 101, 103, 105]",False,True,True,23,25,16,sqrt,log2,log2,16,13,13,4,9,18,33,195,53,1.831223951854437,0.6665247625460728,0.21240330322316175,sag,sag,liblinear,0.07708739600673646,1.784730264588085,0.15112367450009143,sigmoid,poly,poly,0.598292226868681,0.2941736189314763,0.16531967166297945,0.23969311191961273,0.0038459926429178937,0.0003250172640056926,0.0012571922688375064,0.698173123058245,0.9667990147272741,0.3918823967702304,0.013326108985858318,0.06285754433209263,0.5109029495321049,0.6511437315146716,2.643763815793462,0.013099949408961779,10,4,10,5,10,1,0.7940491829182279,0.9107046907986964,0.3824650291001686,5550244c
9,6750.0,1717354400,,False,1,d49a02d4,2024-06-02_20-53-20,3.3426926136016846,3.3426926136016846,3952,DESKTOP-8J3QSBJ,127.0.0.1,3.3426926136016846,1,"[100, 101, 102, 103, 105]",True,True,False,10,29,25,sqrt,log2,log2,7,10,27,16,16,29,26,12,98,5.47019640903638,0.10789626503424012,0.9230569272330909,lbfgs,liblinear,liblinear,0.03654445761158203,2.06875590638667,0.1836744906150802,poly,sigmoid,linear,0.5713947736557579,0.08975332575648487,0.5748728060519215,0.8858185479145936,0.10824296043779616,0.03014841249913743,0.08626982434844009,0.6450303906656167,0.6692325501471448,0.4834599583680541,0.02771116873863905,0.21195872219621825,0.5205312762097092,0.006137610714813964,0.18140659148560764,0.0055201095991695495,3,5,17,3,6,3,0.9888153334327148,0.5174142951128422,0.9397383299980308,d49a02d4
