,custom_score,correct_class_1_predictions,num_features_used,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/alpha,config/colsample_bytree,config/colset,config/eta,config/eval_metric,config/lambda,config/max_depth,config/min_child_weight,config/objective,config/subsample,logdir
0,6500.0,142,3,1716980767,,False,1,06334eee,2024-05-29_13-06-07,0.14214563369750977,0.14214563369750977,60188,DESKTOP-8J3QSBJ,127.0.0.1,0.14214563369750977,1,0.003333440598200995,0.5963590724517285,"[101, 102, 105]",0.01913916811755245,error,0.09888085807258887,7,2,binary:logistic,0.9022363087216759,06334eee
1,6550.0,147,4,1716980769,,False,1,c88c53b4,2024-05-29_13-06-09,0.13199973106384277,0.13199973106384277,10912,DESKTOP-8J3QSBJ,127.0.0.1,0.13199973106384277,1,0.34148907556605956,0.8962203883029247,"[100, 101, 102, 103]",0.09027933748534167,error,0.11053882951385308,7,5,binary:logistic,0.8504199579595075,c88c53b4
2,6800.0,156,5,1716980771,,False,1,cb35cdd8,2024-05-29_13-06-11,0.18999981880187988,0.18999981880187988,6804,DESKTOP-8J3QSBJ,127.0.0.1,0.18999981880187988,1,0.002563332006500582,0.7218231634904648,"[100, 101, 102, 103, 105]",0.01344427918398381,error,0.00546890447588938,10,2,binary:logistic,0.6637588308637112,cb35cdd8
3,6650.0,149,4,1716980773,,False,1,0043c127,2024-05-29_13-06-13,0.07399940490722656,0.07399940490722656,15496,DESKTOP-8J3QSBJ,127.0.0.1,0.07399940490722656,1,0.02991086119425733,0.7389620124429297,"[100, 101, 102, 103]",0.012713251502649459,error,0.35201772910563905,5,1,binary:logistic,0.9391249820385585,0043c127
4,6700.0,146,3,1716980775,,False,1,088d1b6a,2024-05-29_13-06-15,0.10200023651123047,0.10200023651123047,45000,DESKTOP-8J3QSBJ,127.0.0.1,0.10200023651123047,1,0.03212598297436445,0.7328019178269016,"[101, 102, 103]",0.03179890191210425,error,0.024815565478531997,9,5,binary:logistic,0.5110933769400801,088d1b6a
5,6400.0,144,4,1716980777,,False,1,ead43c46,2024-05-29_13-06-17,0.10499215126037598,0.10499215126037598,28660,DESKTOP-8J3QSBJ,127.0.0.1,0.10499215126037598,1,1.8066212511040167,0.7487684226674742,"[100, 101, 102, 103]",0.06685751599435961,error,0.01140321228836065,9,4,binary:logistic,0.8686383355153847,ead43c46
6,7000.0,156,4,1716980912,,False,1,b2fa7de9,2024-05-29_13-08-32,0.10400056838989258,0.10400056838989258,33156,DESKTOP-8J3QSBJ,127.0.0.1,0.10400056838989258,1,0.0016805367574164079,0.5672722970463786,"[101, 102, 103, 105]",0.05233939988858317,error,7.380998554187687,6,2,binary:logistic,0.9304399782867332,b2fa7de9
7,6250.0,137,3,1716980780,,False,1,acd58799,2024-05-29_13-06-20,0.09499979019165039,0.09499979019165039,56644,DESKTOP-8J3QSBJ,127.0.0.1,0.09499979019165039,1,0.01642301830622933,0.5331825351897428,"[102, 103, 105]",0.016433804874258946,error,0.3058808101312409,10,5,binary:logistic,0.6700718768876306,acd58799
8,6600.0,148,4,1716980782,,False,1,e9b7c619,2024-05-29_13-06-22,0.1009986400604248,0.1009986400604248,46640,DESKTOP-8J3QSBJ,127.0.0.1,0.1009986400604248,1,0.04617987384673096,0.9753993230341337,"[104, 102, 103, 105]",0.04982216868113807,error,0.0909971945454882,7,5,binary:logistic,0.8828845924475844,e9b7c619
9,6900.0,150,3,1716980914,,False,1,a0e4bc67,2024-05-29_13-08-34,0.06199932098388672,0.06199932098388672,53540,DESKTOP-8J3QSBJ,127.0.0.1,0.06199932098388672,1,0.20862979261281117,0.6119555637717244,"[102, 103, 105]",0.04485685333532037,error,3.5017648943378483,3,1,binary:logistic,0.7045291818707313,a0e4bc67
10,6750.0,151,4,1716980786,,False,1,a5956e79,2024-05-29_13-06-26,0.07500123977661133,0.07500123977661133,24556,DESKTOP-8J3QSBJ,127.0.0.1,0.07500123977661133,1,0.894011621809548,0.7769408399543378,"[104, 102, 103, 105]",0.0956805570370673,error,6.25490682689294,4,5,binary:logistic,0.6009092359075421,a5956e79
11,6800.0,152,4,1716980787,,False,1,ea2bc557,2024-05-29_13-06-27,0.0800013542175293,0.0800013542175293,7016,DESKTOP-8J3QSBJ,127.0.0.1,0.0800013542175293,1,0.3232911059322332,0.6825876620608283,"[101, 102, 103, 105]",0.02026589142722194,error,1.4433054939386327,6,4,binary:logistic,0.5755818168717629,ea2bc557
12,6650.0,145,3,1716980789,,False,1,a1e4d8bd,2024-05-29_13-06-29,0.060294389724731445,0.060294389724731445,44916,DESKTOP-8J3QSBJ,127.0.0.1,0.060294389724731445,1,0.024725206191411272,0.8638057799105239,"[101, 102, 105]",0.011255486101887143,error,0.04920876685001626,3,5,binary:logistic,0.9689311014384481,a1e4d8bd
13,6550.0,147,4,1716980791,,False,1,b2ff80a0,2024-05-29_13-06-31,0.09650564193725586,0.09650564193725586,63020,DESKTOP-8J3QSBJ,127.0.0.1,0.09650564193725586,1,0.24221221584896205,0.9349768965312586,"[104, 102, 103, 105]",0.037340457783061956,error,4.35326574358861,6,1,binary:logistic,0.5692735289723502,b2ff80a0
14,6900.0,154,4,1716980915,,False,1,0e53de7f,2024-05-29_13-08-35,0.10600018501281738,0.10600018501281738,14800,DESKTOP-8J3QSBJ,127.0.0.1,0.10600018501281738,1,0.0022554007669659095,0.9109761568667422,"[101, 102, 103, 105]",0.04596166135901517,error,0.1542666637574539,8,5,binary:logistic,0.8959886102158396,0e53de7f
