,custom_score,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/colset,config/et_bootstrap,config/et_max_depth,config/et_max_features,config/et_min_samples_leaf,config/et_min_samples_split,config/et_n_estimators,config/knn_algorithm,config/knn_n_neighbors,config/knn_weights,config/lr_C,config/lr_solver,config/svc_C,config/svc_kernel,config/weight_et,config/weight_knn,config/weight_lr,config/weight_svc,config/weight_xgb,config/xgb_alpha,config/xgb_colsample_bytree,config/xgb_eta,config/xgb_lambda,config/xgb_max_depth,config/xgb_min_child_weight,config/xgb_subsample,logdir
0,7050.0,1716983827,,False,1,580f61ef,2024-05-29_13-57-07,1.601621150970459,1.601621150970459,44456,DESKTOP-8J3QSBJ,127.0.0.1,1.601621150970459,1,"[103, 105]",False,16,log2,8,9,173,auto,12,uniform,1.4094254625909266,liblinear,4.91158224155428,rbf,0.12463270891526002,0.5135666964210114,0.6789955382134999,0.7828060740952794,0.4362270461121651,0.016864896622531583,0.7314585185255944,0.012894035024813863,9.986516721294677,8,1,0.745695730354415,580f61ef
1,6100.0,1716983679,,False,1,036cf302,2024-05-29_13-54-39,3.274521589279175,3.274521589279175,52832,DESKTOP-8J3QSBJ,127.0.0.1,3.274521589279175,1,"[100, 104]",True,3,sqrt,3,5,51,brute,15,uniform,0.2474221507164718,sag,7.907031642789696,poly,0.8774420074717847,0.7816518134059235,0.8605774584364675,0.24199871060094624,0.4483180072528521,1.5907937436984045,0.9667906069502641,0.09971657191891967,0.1643083156772678,9,4,0.9747956199343283,036cf302
2,6250.0,1716983679,,False,1,d13fac4d,2024-05-29_13-54-39,1.6287627220153809,1.6287627220153809,3732,DESKTOP-8J3QSBJ,127.0.0.1,1.6287627220153809,1,"[102, 104]",False,13,log2,6,8,186,kd_tree,12,uniform,0.9411721823662972,sag,0.9023386118105361,rbf,0.3020622696553843,0.4893407644219121,0.07912418950387734,0.2340062639648749,0.3498865970805405,0.09570573724515319,0.6045475725895245,0.01232082638808963,0.0034917051129042943,6,3,0.5412372335519531,d13fac4d
3,6650.0,1716983681,,False,1,3a609c70,2024-05-29_13-54-41,1.415184736251831,1.415184736251831,58708,DESKTOP-8J3QSBJ,127.0.0.1,1.415184736251831,1,"[101, 102, 103]",False,16,log2,7,4,147,brute,4,uniform,0.11485390645013605,newton-cg,0.40374162707729794,rbf,0.06140446975325553,0.19268443898355625,0.9984694213963506,0.3694167835868367,0.08999712546059757,0.011414742023263662,0.9622111768020891,0.05485600364529868,0.1566780998924132,8,4,0.9811179276132831,3a609c70
4,6250.0,1716983683,,False,1,febb5eb1,2024-05-29_13-54-43,1.2913100719451904,1.2913100719451904,33956,DESKTOP-8J3QSBJ,127.0.0.1,1.2913100719451904,1,"[101, 102]",False,9,log2,9,2,182,ball_tree,20,uniform,0.39830074262484044,lbfgs,0.34353571597781263,sigmoid,0.2813166421450525,0.08108223616260046,0.04181046245184439,0.6595773871262354,0.03984619574667736,0.016428610432972793,0.5978848668552919,0.065924154228613,0.006275038349906318,4,2,0.6196533361431948,febb5eb1
5,6100.0,1716983684,,False,1,ad6c286f,2024-05-29_13-54-44,1.0987741947174072,1.0987741947174072,34780,DESKTOP-8J3QSBJ,127.0.0.1,1.0987741947174072,1,"[101, 103]",False,17,sqrt,8,2,189,kd_tree,27,uniform,6.12054993339721,liblinear,0.1296085908205308,poly,0.5993952445250156,0.8203136956664826,0.8236945099240964,0.7168177942715723,0.02894650735015558,0.17560350693853785,0.6394802475638377,0.046906833877573405,0.006684840329726642,4,5,0.652027016616505,ad6c286f
6,6450.0,1716983828,,False,1,26cbf427,2024-05-29_13-57-08,0.9640312194824219,0.9640312194824219,11284,DESKTOP-8J3QSBJ,127.0.0.1,0.9640312194824219,1,"[100, 105]",False,8,log2,3,2,171,brute,10,distance,9.487203335878112,newton-cg,0.8136954436546672,linear,0.7742892123167844,0.005153055044370802,0.22605518982966355,0.8849133436211044,0.8854005718713707,0.08676144520533548,0.6264262083824492,0.03888774635744689,0.03823419843122934,3,4,0.7499762779125863,26cbf427
7,6800.0,1716983830,,False,1,29cfd8c6,2024-05-29_13-57-10,0.930518388748169,0.930518388748169,10884,DESKTOP-8J3QSBJ,127.0.0.1,0.930518388748169,1,"[101, 102, 105]",True,14,sqrt,8,10,99,brute,25,distance,3.4905890671522917,liblinear,0.23514443749435368,linear,0.07818649184970017,0.10695330686254079,0.19947316291923967,0.25539976646882834,0.6665336172732584,0.4104748612630823,0.5866895169307649,0.03020916428099069,2.1174435315978113,9,4,0.5953088605352073,29cfd8c6
8,6400.0,1716983690,,False,1,2102e39e,2024-05-29_13-54-50,1.7220077514648438,1.7220077514648438,15532,DESKTOP-8J3QSBJ,127.0.0.1,1.7220077514648438,1,"[100, 101, 103, 105]",False,9,sqrt,4,2,108,auto,12,distance,2.9234210388778,sag,8.28710400287322,rbf,0.14080438827004782,0.4342526648998607,0.3891485296302133,0.9205602566266936,0.9857823475316404,0.009142541680739854,0.7629092111614144,0.015003974481469269,0.010091677935673981,8,4,0.795443114170409,2102e39e
9,6500.0,1716983692,,False,1,f63b42b4,2024-05-29_13-54-52,1.640195608139038,1.640195608139038,34696,DESKTOP-8J3QSBJ,127.0.0.1,1.640195608139038,1,"[100, 102]",True,11,sqrt,6,10,173,kd_tree,2,uniform,1.4262165532632751,sag,0.8854927667739603,rbf,0.025944761662482496,0.2031382770412825,0.5287023243821525,0.0450424069008698,0.9517298851063289,0.009757826892668664,0.9743540283610739,0.02818877649945829,0.0015993179440167622,6,4,0.626671228857188,f63b42b4
10,6350.0,1716983694,,False,1,dd3be2b5,2024-05-29_13-54-54,1.455819845199585,1.455819845199585,52348,DESKTOP-8J3QSBJ,127.0.0.1,1.455819845199585,1,"[100, 101, 102, 103, 104, 105]",True,3,sqrt,4,5,119,brute,13,distance,0.8756297345435602,liblinear,1.0917217382554678,sigmoid,0.5625761091505669,0.7639218683883834,0.675687851868361,0.9398127478328194,0.7155488509973759,0.18616764617258882,0.7070743688463068,0.012350018640403256,0.14316557018618437,5,5,0.8909386496523495,dd3be2b5
11,6300.0,1716983695,,False,1,c55f9c47,2024-05-29_13-54-55,1.0845353603363037,1.0845353603363037,17460,DESKTOP-8J3QSBJ,127.0.0.1,1.0845353603363037,1,"[100, 102, 103, 105]",True,8,log2,5,6,86,ball_tree,26,uniform,1.1850404345238876,liblinear,1.3785358580884244,linear,0.06395885459120298,0.4966473689411095,0.14600693441769408,0.021160232632912335,0.5117723532965383,0.022812851016144855,0.7065333853613062,0.033836368472144746,0.007805709197194715,7,3,0.9396157198857324,c55f9c47
12,6700.0,1716983833,,False,1,43eeea7d,2024-05-29_13-57-13,1.9220666885375977,1.9220666885375977,19476,DESKTOP-8J3QSBJ,127.0.0.1,1.9220666885375977,1,"[102, 103, 105]",False,18,log2,3,9,151,ball_tree,26,distance,1.6680946270739099,liblinear,8.922413846288073,linear,0.9657503908034705,0.33632672890809034,0.6016431896301753,0.7742707935263807,0.5309606845610407,0.5219169038447371,0.853824192510307,0.04633893315817755,0.07394265241412337,10,2,0.816701596176622,43eeea7d
13,6450.0,1716983700,,False,1,9c89fe8a,2024-05-29_13-55-00,1.7992002964019775,1.7992002964019775,14004,DESKTOP-8J3QSBJ,127.0.0.1,1.7992002964019775,1,"[101, 102, 103, 105]",False,17,log2,7,8,169,ball_tree,12,distance,0.11270990304996548,liblinear,2.694121837474966,poly,0.6393838964990546,0.8053989069407351,0.3495557564002776,0.34750253733854497,0.3413008425039432,1.015245348740172,0.6474397146587605,0.015114498166122101,0.148143021559024,6,2,0.6882934845483468,9c89fe8a
14,6350.0,1716983701,,False,1,741ee868,2024-05-29_13-55-01,1.1884655952453613,1.1884655952453613,13484,DESKTOP-8J3QSBJ,127.0.0.1,1.1884655952453613,1,"[101, 102, 103, 105]",False,14,sqrt,3,10,110,ball_tree,6,uniform,0.2837668876339269,liblinear,1.3788583711268798,linear,0.3772214037045073,0.7335242397068137,0.05280912498781265,0.3704948621478439,0.1120367363506789,2.584291773873983,0.8356685499734169,0.014774366468936602,0.14955893428913694,5,2,0.5888451796118157,741ee868
15,6100.0,1716983703,,False,1,b357a18c,2024-05-29_13-55-03,1.0271544456481934,1.0271544456481934,9264,DESKTOP-8J3QSBJ,127.0.0.1,1.0271544456481934,1,"[100, 101]",True,19,log2,9,6,62,ball_tree,9,uniform,0.5007610617814875,lbfgs,3.0365007619607822,linear,0.4883735509654116,0.13784556923418534,0.9401915272071418,0.017528269703653176,0.3727062967143292,0.0041907303450806985,0.5298528589494599,0.05464355480015256,0.002133854182592623,6,5,0.5830946218379431,b357a18c
16,6550.0,1716983705,,False,1,0ccf4aac,2024-05-29_13-55-05,1.0039994716644287,1.0039994716644287,18552,DESKTOP-8J3QSBJ,127.0.0.1,1.0039994716644287,1,"[100, 102]",True,14,sqrt,5,5,76,ball_tree,10,uniform,3.564180112978809,saga,0.20232403108620478,poly,0.6408223810617062,0.4672553400468241,0.1696091693409557,0.06182970900708562,0.9015119439356526,0.03228212477397152,0.5681428844378379,0.010293406173744324,0.003423057801023978,5,4,0.8942014188815021,0ccf4aac
17,6650.0,1716983708,,False,1,8ce09065,2024-05-29_13-55-08,2.1741232872009277,2.1741232872009277,7636,DESKTOP-8J3QSBJ,127.0.0.1,2.1741232872009277,1,"[101, 102, 105]",True,10,sqrt,2,8,87,auto,11,distance,8.518496232250518,sag,5.047462644522598,poly,0.8218437765355344,0.2025016084309541,0.8141774730019995,0.9733148240141952,0.5480062000810028,0.7346186776400072,0.9186614872191426,0.07250092298951653,0.006343794202097425,8,2,0.5936842571325307,8ce09065
18,6700.0,1716983834,,False,1,21765522,2024-05-29_13-57-14,1.3806629180908203,1.3806629180908203,58396,DESKTOP-8J3QSBJ,127.0.0.1,1.3806629180908203,1,"[100, 101]",False,8,sqrt,4,4,159,kd_tree,21,uniform,0.102866884078242,newton-cg,0.10014106264642501,rbf,0.4861891526037124,0.36212047095340816,0.7730712260851841,0.7969969330334735,0.18258723899463258,0.0707599061832256,0.8406504915333599,0.01176167703062622,0.0017164071982915573,5,4,0.7307083884110454,21765522
19,6600.0,1716983711,,False,1,9cc4e5a4,2024-05-29_13-55-11,1.5998916625976562,1.5998916625976562,23852,DESKTOP-8J3QSBJ,127.0.0.1,1.5998916625976562,1,"[104, 102, 103, 105]",False,9,sqrt,7,2,154,brute,30,distance,1.2758715380725234,newton-cg,0.3286366669825955,sigmoid,0.40647715184473543,0.5218820261871427,0.8594077828441539,0.33811182824821506,0.7391066729553659,0.011854526255127708,0.5232155340624655,0.017378446981721547,0.06625340698415998,4,1,0.7420413996328179,9cc4e5a4
