idx,ranking
105,54.0
100,47.0
102,46.0
103,44.0
101,41.0
104,36.0
328,18.0
295,16.0
215,16.0
210,15.0
225,15.0
237,15.0
249,15.0
340,14.0
127,14.0
284,14.0
169,14.0
228,14.0
203,14.0
39,13.0
258,13.0
164,13.0
329,13.0
330,13.0
220,13.0
204,13.0
190,13.0
194,13.0
355,13.0
81,13.0
80,13.0
383,13.0
0,13.0
486,13.0
24,13.0
8,13.0
78,12.0
63,12.0
407,12.0
266,12.0
138,12.0
285,12.0
399,12.0
60,12.0
121,12.0
87,12.0
471,12.0
109,12.0
199,12.0
339,12.0
29,12.0
460,12.0
218,12.0
35,12.0
214,12.0
324,11.0
391,11.0
216,11.0
53,11.0
456,11.0
321,11.0
10,11.0
273,11.0
477,11.0
90,11.0
458,11.0
106,11.0
191,11.0
468,11.0
186,11.0
478,11.0
15,11.0
219,11.0
484,11.0
235,11.0
241,11.0
58,11.0
175,11.0
195,11.0
426,11.0
262,11.0
462,11.0
259,11.0
313,10.0
303,10.0
283,10.0
13,10.0
3,10.0
495,10.0
491,10.0
111,10.0
159,10.0
472,10.0
171,10.0
325,10.0
251,10.0
270,10.0
118,10.0
319,10.0
209,10.0
211,10.0
139,10.0
327,10.0
27,10.0
45,10.0
72,10.0
74,10.0
403,10.0
404,10.0
62,10.0
57,10.0
56,10.0
412,10.0
413,10.0
82,10.0
423,10.0
47,10.0
417,10.0
433,10.0
434,10.0
446,10.0
37,10.0
439,10.0
366,10.0
431,9.0
155,9.0
146,9.0
68,9.0
264,9.0
467,9.0
442,9.0
207,9.0
160,9.0
408,9.0
208,9.0
489,9.0
481,9.0
55,9.0
231,9.0
393,9.0
227,9.0
487,9.0
421,9.0
268,9.0
263,9.0
70,9.0
289,9.0
336,9.0
344,9.0
352,9.0
358,9.0
449,9.0
372,9.0
373,9.0
309,9.0
76,9.0
17,9.0
451,9.0
455,9.0
288,9.0
392,9.0
359,8.0
213,8.0
479,8.0
438,8.0
347,8.0
281,8.0
410,8.0
369,8.0
454,8.0
277,8.0
341,8.0
337,8.0
202,8.0
200,8.0
496,8.0
335,8.0
371,8.0
293,8.0
379,8.0
480,8.0
246,8.0
252,8.0
254,8.0
306,8.0
236,8.0
308,8.0
286,8.0
310,8.0
275,8.0
376,8.0
315,8.0
257,8.0
425,8.0
311,8.0
250,8.0
148,8.0
131,8.0
94,8.0
113,8.0
116,8.0
75,8.0
172,8.0
73,8.0
71,8.0
67,8.0
123,8.0
129,8.0
161,8.0
11,8.0
180,8.0
178,8.0
108,8.0
189,8.0
196,8.0
183,8.0
134,8.0
193,8.0
133,8.0
32,8.0
271,7.0
323,7.0
322,7.0
117,7.0
142,7.0
290,7.0
120,7.0
6,7.0
280,7.0
128,7.0
140,7.0
300,7.0
296,7.0
130,7.0
490,7.0
499,7.0
342,7.0
50,7.0
463,7.0
25,7.0
33,7.0
447,7.0
444,7.0
38,7.0
42,7.0
44,7.0
430,7.0
427,7.0
419,7.0
351,7.0
416,7.0
61,7.0
405,7.0
66,7.0
400,7.0
384,7.0
492,7.0
85,7.0
367,7.0
363,7.0
77,7.0
22,7.0
181,7.0
245,7.0
230,7.0
157,7.0
226,7.0
261,7.0
223,7.0
182,7.0
152,7.0
242,7.0
163,7.0
233,7.0
174,7.0
498,7.0
234,7.0
167,7.0
166,7.0
224,6.0
382,6.0
173,6.0
389,6.0
388,6.0
394,6.0
395,6.0
170,6.0
150,6.0
229,6.0
368,6.0
168,6.0
364,6.0
232,6.0
354,6.0
14,6.0
93,6.0
198,6.0
345,6.0
482,6.0
398,6.0
65,6.0
4,6.0
428,6.0
465,6.0
461,6.0
459,6.0
457,6.0
453,6.0
36,6.0
445,6.0
470,6.0
41,6.0
436,6.0
20,6.0
43,6.0
429,6.0
46,6.0
221,6.0
48,6.0
424,6.0
422,6.0
2,6.0
420,6.0
418,6.0
474,6.0
52,6.0
411,6.0
409,6.0
176,6.0
64,6.0
469,6.0
107,6.0
88,6.0
9,6.0
292,6.0
243,6.0
316,6.0
255,6.0
282,6.0
274,6.0
143,6.0
132,6.0
260,6.0
291,6.0
320,6.0
240,6.0
314,6.0
115,6.0
256,6.0
307,6.0
493,6.0
332,6.0
238,6.0
301,6.0
247,6.0
298,6.0
294,6.0
110,6.0
158,5.0
165,5.0
137,5.0
135,5.0
136,5.0
156,5.0
402,5.0
297,5.0
177,5.0
406,5.0
334,5.0
151,5.0
488,5.0
30,5.0
23,5.0
466,5.0
265,5.0
464,5.0
201,5.0
192,5.0
147,5.0
26,5.0
28,5.0
145,5.0
31,5.0
432,5.0
452,5.0
450,5.0
206,5.0
5,5.0
187,5.0
443,5.0
185,5.0
21,5.0
396,5.0
276,5.0
397,5.0
401,5.0
162,5.0
89,5.0
375,5.0
84,5.0
86,5.0
365,5.0
318,5.0
18,5.0
361,5.0
360,5.0
16,5.0
122,5.0
357,5.0
239,5.0
326,5.0
346,5.0
12,5.0
112,5.0
96,5.0
98,5.0
79,5.0
333,5.0
126,5.0
380,5.0
124,5.0
125,5.0
305,5.0
387,5.0
69,5.0
269,4.0
356,4.0
485,4.0
448,4.0
34,4.0
92,4.0
144,4.0
338,4.0
188,4.0
304,4.0
350,4.0
349,4.0
386,4.0
114,4.0
267,4.0
299,4.0
95,4.0
217,4.0
1,4.0
253,4.0
414,4.0
287,4.0
378,4.0
377,4.0
381,4.0
19,4.0
83,4.0
415,4.0
476,4.0
370,4.0
184,4.0
317,4.0
244,4.0
54,4.0
119,4.0
40,4.0
440,4.0
59,4.0
153,4.0
7,3.0
497,3.0
475,3.0
473,3.0
197,3.0
441,3.0
97,3.0
212,3.0
179,3.0
222,3.0
