idx,ranking
0,1
100,1
102,1
103,1
104,1
105,1
9,1
8,1
101,1
6,1
7,1
1,1
2,1
3,1
4,1
5,1
285,2
220,3
64,4
403,5
133,6
204,7
323,7
270,9
351,10
129,11
471,12
328,13
74,13
252,15
337,16
155,17
109,18
316,19
458,19
498,21
321,22
215,23
57,24
63,24
335,26
412,26
360,28
426,28
60,31
131,31
21,31
39,33
191,33
281,35
75,36
246,37
357,38
108,39
296,40
288,41
73,42
303,43
35,43
262,45
119,46
98,47
322,48
67,49
53,50
466,51
480,52
200,53
300,54
266,55
312,56
490,56
283,59
139,59
495,59
439,61
208,62
175,62
467,64
79,65
422,66
489,67
34,67
190,69
27,70
148,71
327,72
106,73
253,74
317,75
66,76
122,76
251,78
78,79
113,79
117,81
387,82
198,83
470,84
121,85
84,86
161,86
371,88
178,89
395,90
241,91
86,92
211,93
152,94
295,95
29,96
273,97
112,98
156,99
355,99
47,102
481,102
382,102
319,104
339,105
374,106
159,107
464,108
146,109
359,111
228,111
453,111
307,113
127,113
234,115
247,116
151,116
212,118
306,118
291,120
440,121
80,122
249,123
24,124
186,125
38,126
157,127
206,128
484,129
311,130
452,131
446,131
447,133
460,134
491,135
373,137
137,137
30,137
445,139
180,140
302,141
416,142
203,143
425,144
305,145
214,146
26,147
189,148
226,149
340,151
394,151
132,151
11,153
435,154
417,155
367,156
290,157
397,159
424,159
205,159
259,161
135,162
20,163
280,163
392,165
25,167
195,167
256,167
409,169
381,169
261,172
486,172
329,172
233,174
330,174
415,176
13,177
218,178
331,178
391,180
324,180
411,182
36,183
134,184
399,185
444,186
217,187
276,188
118,189
248,189
83,191
287,191
238,193
126,194
97,195
396,196
462,197
120,198
369,198
210,200
284,201
436,201
199,203
361,204
22,205
153,206
235,207
32,208
468,209
46,210
423,210
432,212
479,212
275,215
123,215
469,215
125,215
88,218
176,221
72,221
192,221
255,221
272,221
265,224
240,224
227,226
258,226
289,228
260,228
160,230
298,230
448,232
18,233
154,234
268,235
196,236
145,237
10,238
352,238
202,240
390,241
37,242
282,243
314,243
245,245
254,246
177,247
68,247
488,249
264,250
77,251
48,252
45,252
401,254
70,255
349,256
171,257
494,257
49,260
237,260
414,260
71,262
497,263
85,265
15,265
492,265
90,267
59,268
225,269
44,271
385,271
50,271
230,273
336,275
496,275
209,275
221,277
472,278
61,279
243,280
313,280
257,283
293,283
242,283
143,285
308,286
363,288
138,288
107,288
474,290
54,291
299,291
31,293
418,294
477,295
181,296
325,296
147,298
43,299
346,300
184,301
434,302
404,303
28,304
16,305
309,305
219,307
455,308
158,309
383,310
372,312
326,312
457,312
487,314
42,315
393,316
463,316
347,318
170,319
419,320
99,322
476,322
136,322
499,324
164,325
301,326
459,326
169,328
345,329
229,329
52,331
410,332
386,333
342,333
365,335
377,336
58,337
40,338
197,338
430,340
483,342
182,342
174,342
183,344
400,345
451,346
420,347
172,349
375,349
388,349
271,351
379,352
482,354
116,354
449,354
378,356
332,356
334,358
465,359
82,360
292,361
344,362
343,362
407,364
286,364
124,366
442,366
149,368
366,368
193,370
194,371
350,372
429,373
433,373
406,375
162,376
56,377
142,377
92,379
239,379
358,382
277,382
94,382
163,384
166,384
95,386
405,386
341,388
475,389
427,390
115,391
69,392
41,393
19,395
150,395
456,395
438,397
443,398
187,400
478,400
165,400
493,402
23,403
356,404
384,405
354,406
461,408
130,408
216,408
76,410
454,410
380,412
441,413
96,415
232,415
231,415
263,417
141,418
173,419
269,420
428,420
310,422
294,424
250,424
236,424
376,426
402,428
128,428
304,428
450,431
267,431
89,431
201,433
55,433
318,435
364,436
179,437
333,438
114,439
207,440
223,441
51,442
431,443
110,444
144,446
320,446
167,446
485,448
297,448
213,450
62,451
222,452
437,453
87,454
93,454
408,456
370,456
81,458
17,459
315,460
140,461
224,462
244,462
185,464
279,465
348,466
338,467
398,467
473,469
274,470
111,471
362,471
65,473
168,474
389,475
278,476
421,477
14,478
353,479
188,480
12,481
368,482
33,483
413,483
91,485
