,top_20_accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/alpha,config/colsample_bytree,config/eta,config/eval_metric,config/lambda,config/max_depth,config/min_child_weight,config/objective,config/subsample,logdir
0,0.735,1716670458,,False,1,76b6c433,2024-05-25_22-54-18,0.036003828048706055,0.036003828048706055,44684,DESKTOP-8J3QSBJ,127.0.0.1,0.036003828048706055,1,0.37710668739142306,0.6213875403769145,0.019432949989539847,error,0.07922816472738756,6,2,binary:logistic,0.9211756052335458,76b6c433
1,0.69,1716670571,,False,1,db703612,2024-05-25_22-56-11,0.04803323745727539,0.04803323745727539,5240,DESKTOP-8J3QSBJ,127.0.0.1,0.04803323745727539,1,0.008893438718960481,0.9091321955264571,0.09625870942275712,error,0.16866252615554764,9,4,binary:logistic,0.7221813326564019,db703612
2,0.705,1716670460,,False,1,27d4db66,2024-05-25_22-54-20,0.04199934005737305,0.04199934005737305,37004,DESKTOP-8J3QSBJ,127.0.0.1,0.04199934005737305,1,0.005825533084055269,0.7459656665446974,0.02199000533087251,error,0.0016725157377687153,9,4,binary:logistic,0.753372612679664,27d4db66
3,0.735,1716670462,,False,1,6be324ff,2024-05-25_22-54-22,0.038512468338012695,0.038512468338012695,47364,DESKTOP-8J3QSBJ,127.0.0.1,0.038512468338012695,1,0.0030891434245062066,0.8596377680385743,0.05188614546001073,error,0.0226149548713182,5,3,binary:logistic,0.6905825456545887,6be324ff
4,0.615,1716670463,,False,1,eb881cf8,2024-05-25_22-54-23,0.03600645065307617,0.03600645065307617,14816,DESKTOP-8J3QSBJ,127.0.0.1,0.03600645065307617,1,0.056523052448046215,0.8711252338915607,0.011931392383537994,error,4.44227502857649,4,4,binary:logistic,0.8949089332857304,eb881cf8
5,0.725,1716670464,,False,1,dfa9aeaa,2024-05-25_22-54-24,0.040000200271606445,0.040000200271606445,27896,DESKTOP-8J3QSBJ,127.0.0.1,0.040000200271606445,1,0.0021092902737969354,0.8437241817528637,0.049841507021143025,error,0.2503605759371376,6,1,binary:logistic,0.8037764816072703,dfa9aeaa
6,0.72,1716670573,,False,1,e5972a38,2024-05-25_22-56-13,0.04506993293762207,0.04506993293762207,40336,DESKTOP-8J3QSBJ,127.0.0.1,0.04506993293762207,1,0.004227745180302566,0.5657623323570687,0.03580550806916808,error,0.027693714017826134,9,4,binary:logistic,0.9314704836228429,e5972a38
7,0.735,1716670467,,False,1,388b46f0,2024-05-25_22-54-27,0.03800082206726074,0.03800082206726074,40880,DESKTOP-8J3QSBJ,127.0.0.1,0.03800082206726074,1,0.01686272305693855,0.7236357705432233,0.019234137390503687,error,7.117611060810797,6,5,binary:logistic,0.5604902369449696,388b46f0
8,0.745,1716670468,,False,1,26492194,2024-05-25_22-54-28,0.032999515533447266,0.032999515533447266,37436,DESKTOP-8J3QSBJ,127.0.0.1,0.032999515533447266,1,0.05285015101224202,0.5654674650921732,0.06605240791255483,error,8.535978301559247,6,5,binary:logistic,0.6648350217813912,26492194
9,0.74,1716670470,,False,1,fb49bc4e,2024-05-25_22-54-30,0.036046504974365234,0.036046504974365234,25616,DESKTOP-8J3QSBJ,127.0.0.1,0.036046504974365234,1,3.6776429384352167,0.6760032148694206,0.014465873655938264,error,0.004140732184137303,7,2,binary:logistic,0.8759381682349799,fb49bc4e
10,0.715,1716670471,,False,1,1ae82b5e,2024-05-25_22-54-31,0.03072500228881836,0.03072500228881836,13304,DESKTOP-8J3QSBJ,127.0.0.1,0.03072500228881836,1,1.588212982379167,0.9993633536547248,0.06209585990402825,error,3.4621304910691904,3,3,binary:logistic,0.5075439731796563,1ae82b5e
11,0.72,1716670473,,False,1,8b6666a7,2024-05-25_22-54-33,0.03350949287414551,0.03350949287414551,10728,DESKTOP-8J3QSBJ,127.0.0.1,0.03350949287414551,1,0.03352750558552715,0.5391329265858877,0.027325722130203296,error,0.08728113275343924,6,2,binary:logistic,0.623586015056027,8b6666a7
12,0.715,1716670574,,False,1,d3db3578,2024-05-25_22-56-14,0.030112266540527344,0.030112266540527344,13548,DESKTOP-8J3QSBJ,127.0.0.1,0.030112266540527344,1,0.023348413653764933,0.8406460455650776,0.052115610515759005,error,0.009802219832404995,4,2,binary:logistic,0.7275271149224939,d3db3578
13,0.765,1716670576,,False,1,e2b57895,2024-05-25_22-56-16,0.04711461067199707,0.04711461067199707,4892,DESKTOP-8J3QSBJ,127.0.0.1,0.04711461067199707,1,0.01978543558916816,0.6312269073517074,0.0822123540078534,error,1.537000820381902,10,4,binary:logistic,0.5887006120337933,e2b57895
14,0.715,1716670477,,False,1,4a7d941b,2024-05-25_22-54-37,0.043027400970458984,0.043027400970458984,16132,DESKTOP-8J3QSBJ,127.0.0.1,0.043027400970458984,1,1.1711299388914345,0.685244224131431,0.02957092558281338,error,0.043519959425146776,8,1,binary:logistic,0.9383951285748051,4a7d941b
15,0.7,1716670478,,False,1,6585dd71,2024-05-25_22-54-38,0.06139230728149414,0.06139230728149414,17080,DESKTOP-8J3QSBJ,127.0.0.1,0.06139230728149414,1,0.002905410189188619,0.8681885679238339,0.09647447926905987,error,1.9806921671842268,10,2,binary:logistic,0.6563070169997712,6585dd71
