score,accuracy
5473.596673596674,0.683
5652.589641434262,0.685
5871.713147410358,0.704
5875.664621676891,0.712
5922.7364185110655,0.715
5646.307385229541,0.697
5653.707414829659,0.679
5756.521739130435,0.684
5854.1082164328645,0.704
5920.0,0.716
5580.0,0.668
5778.131212723659,0.695
5791.701244813278,0.707
5911.111111111111,0.721
5745.525291828793,0.69
5730.5019305019305,0.687
5813.752455795678,0.698
5761.7706237424545,0.699
5663.543788187373,0.693
5377.3195876288655,0.669
5649.59349593496,0.676
5836.290322580646,0.714
5837.773359840955,0.696
5868.273092369478,0.711
5626.347305389221,0.683
5571.653543307087,0.673
5706.187624750499,0.684
5676.267748478702,0.691
5540.0,0.67
5934.387351778656,0.698
5603.118908382066,0.67
5494.2148760330565,0.679
5767.213114754098,0.705
5764.285714285714,0.678
5834.0681362725445,0.703
5507.566462167689,0.68
5697.880539499036,0.665
5664.244741873805,0.665
5689.352818371608,0.703
5692.177589852008,0.707
5595.131845841785,0.68
5439.1752577319585,0.664
5945.669291338583,0.707
5493.548387096775,0.671
5601.619433198381,0.687
6121.100917431193,0.704
5473.387096774194,0.663
5591.666666666667,0.697
5593.587174348697,0.679
5730.693069306931,0.691
5405.316973415132,0.667
5693.0041152263375,0.698
5654.166666666667,0.699
5558.3497053045185,0.672
5721.487603305784,0.705
5727.710843373495,0.684
5486.991869918699,0.673
5604.733727810651,0.68
5683.629191321499,0.682
5642.105263157895,0.681
5592.079207920792,0.676
5843.12114989733,0.706
5830.303030303031,0.702
5533.067729083665,0.669
5579.661016949152,0.691
5692.430278884462,0.684
5789.89898989899,0.7
5753.125,0.684
5691.6155419222905,0.694
5818.255578093307,0.697
5691.6155419222905,0.693
5426.016260162602,0.674
5589.88326848249,0.669
5718.489065606363,0.692
5760.78431372549,0.684
5723.076923076923,0.678
5786.027944111776,0.693
5747.791164658635,0.697
5891.254752851712,0.694
5528.395061728395,0.677
5730.5019305019305,0.68
5612.749003984063,0.682
5625.726141078839,0.688
5742.800788954635,0.685
5660.0,0.68
5744.444444444444,0.692
5750.207468879668,0.703
5507.317073170732,0.675
5860.0,0.7
5580.0,0.669
5522.689075630253,0.689
5505.882352941177,0.668
5778.131212723659,0.693
5847.244094488189,0.704
6079.549718574109,0.703
5834.0681362725445,0.691
5839.21568627451,0.697
5794.1060903732805,0.689
5527.642276422765,0.675
5582.077393075357,0.68
