score,accuracy
5577.546777546779,0.689
5891.633466135458,0.711
6070.916334661354,0.727
5855.21472392638,0.72
6003.219315895371,0.722
5666.26746506986,0.679
5793.987975951903,0.699
5796.04743083004,0.696
5914.228456913826,0.705
6020.0,0.726
5860.0,0.705
6056.461232604374,0.728
5978.4232365145235,0.725
5911.111111111111,0.725
5842.801556420233,0.697
5846.332046332046,0.698
6088.801571709233,0.719
5882.494969818913,0.71
5846.843177189409,0.709
5480.41237113402,0.676
5730.8943089430895,0.692
5916.935483870968,0.716
5937.176938369782,0.709
6008.835341365462,0.722
5626.347305389221,0.682
5748.818897637796,0.687
5746.107784431138,0.7
5716.8356997971605,0.699
5620.0,0.682
5914.624505928854,0.707
5720.077972709551,0.683
5659.504132231404,0.698
5890.163934426229,0.717
5962.6984126984125,0.718
5773.947895791583,0.7
5732.515337423312,0.7
5755.684007707128,0.682
5778.967495219885,0.679
5731.106471816284,0.708
5861.310782241015,0.724
5615.415821501015,0.69
5604.123711340206,0.692
5925.984251968504,0.708
5634.677419354839,0.686
5783.805668016194,0.703
6231.192660550459,0.714
5675.0,0.692
5904.166666666667,0.722
5753.907815631262,0.696
5829.702970297029,0.701
5609.815950920245,0.687
5939.917695473251,0.72
5695.833333333334,0.705
5754.813359528487,0.689
5824.793388429751,0.713
5828.112449799197,0.707
5751.219512195123,0.698
5821.696252465484,0.699
5703.353057199211,0.687
5895.5165692007795,0.699
5849.504950495049,0.701
5945.790554414783,0.724
5911.111111111111,0.714
5572.908366533864,0.676
5622.033898305085,0.696
5831.872509960159,0.702
5951.515151515152,0.719
5948.4375,0.709
5834.764826175869,0.713
5960.2434077079115,0.713
5916.564417177914,0.716
5730.8943089430895,0.703
5959.533073929961,0.7
6056.461232604374,0.722
5937.254901960784,0.706
5876.923076923077,0.692
5965.6686626746505,0.715
5787.951807228917,0.698
6100.380228136883,0.713
5775.308641975309,0.712
5846.332046332046,0.696
5831.872509960159,0.704
5729.460580912863,0.706
5880.86785009862,0.706
5740.0,0.693
5784.126984126984,0.697
5750.207468879668,0.706
5669.918699186992,0.694
5940.0,0.713
5680.0,0.682
5585.714285714286,0.693
5800.0,0.693
5937.176938369782,0.713
6142.51968503937,0.732
6210.8818011257035,0.717
5834.0681362725445,0.699
6035.294117647059,0.718
6010.216110019646,0.718
5812.19512195122,0.705
5582.077393075357,0.691
