Iteration,IWLS,SGD,Adam
0,-760.3824570742415,-286.17904185809357,-760.3824570742415
1,-305.4110244659638,-223.77472850404445,-757.4232882761248
2,-201.92256075714474,-197.1993000720248,-754.505418764527
3,-153.38706391073922,-181.92332736796627,-751.6294990953545
4,-127.60748509350519,-171.77393150183892,-748.796086322761
5,-114.71469795272198,-164.4292645522768,-746.005629456533
6,-110.87729082477645,-158.80661210750793,-743.2584532907188
7,-110.21807105108893,-154.3276187528051,-740.5547406666362
8,-110.17392963465376,-150.65278673007316,-737.8945135194201
9,,-147.56846921381035,-735.2776135242699
10,,-144.93281831320752,-732.7036838324244
11,,-142.64755855485575,-730.1721542236498
12,,-140.64219822506655,-727.6822328214487
13,,-138.86469525036446,-725.2329079557727
14,,-137.27568139428817,-722.822963311116
15,,-135.84474880284418,-720.4510077462921
16,,-134.54798334099374,-718.1155181669111
17,,-133.36627934053163,-715.8148903978284
18,,-132.28415960349693,-713.5474905688384
19,,-131.28893113181724,-711.3116993481615
20,,-130.37006936821797,-709.1059436342915
21,,-129.51876133586345,-706.9287139874212
22,,-128.72756140739372,-704.7785695393276
23,,-127.99012829664163,-702.6541341991389
24,,-127.30102154686115,-700.554088424847
25,,-126.65554222539562,-698.477160118617
26,,-126.04960689425799,-696.4221170016361
27,,-125.47964692974615,-694.3877616488805
28,,-124.94252736620876,-692.3729294695041
29,,-124.43548093128715,-690.3764893531353
30,,-123.95605401344395,-688.3973464100825
31,,-123.5020620843466,-686.4344461310893
32,,-123.07155267453248,-684.4867793053655
33,,-122.66277442945182,-682.5533871116397
34,,-122.27415109533506,-680.6333659020942
35,,-121.90425952892116,-678.7258713134177
36,,-121.55181101234292,-676.830121451275
37,,-121.21563529899282,-674.9453989977535
38,,-120.89466692859548,-673.0710521817438
39,,-120.5879334377924,-671.2064946276051
40,,-120.29454516201477,-669.3512041567844
41,,-120.01368637958977,-667.504720660344
42,,-119.7446075931035,-665.6666431883625
43,,-119.48661877845873,-663.836626416637
44,,-119.23908346069882,-662.0143766539337
45,,-119.00141349891612,-660.19964754671
46,,-118.77306448156091,-658.3922356251836
47,,-118.55353164904002,-656.5919758170177
48,,-118.34234627334205,-654.7987370350105
49,,-118.13907243505201,-653.0124179243846
50,,-117.94330414696967,-651.232942835252
51,,-117.75466278090704,-649.460258067122
52,,-117.5727947604386,-647.6943284158126
53,,-117.39736948757138,-645.9351340389599
54,,-117.22807747569288,-644.1826676446345
55,,-117.06462866487286,-642.4369319982727
56,,-116.90675089875047,-640.6979377360854
57,,-116.75418854493971,-638.9657014678949
58,,-116.60670124317723,-637.2402441489777
59,,-116.46406276742223,-635.5215896983495
60,,-116.3260599898053,-633.8097638400222
61,,-116.19249193579745,-632.1047931436527
62,,-116.06316892122467,-630.4067042415996
63,,-115.93791176286543,-628.7155232004687
64,,-115.816551055304,-627.0312750265664
65,,-115.69892650755767,-625.3539832863352
66,,-115.58488633371368,-623.6836698244462
67,,-115.47428669244431,-622.020354564036
68,,-115.36699117082742,-620.3640553751749
69,,-115.26287030839036,-618.7147879993792
70,,-115.16180115771448,-617.0725660194388
71,,-115.06366687833331,-615.4374008653288
72,,-114.96835636097511,-613.8093018482447
73,,-114.87576387950821,-612.1882762160064
74,,-114.78578876820893,-610.5743292241518
75,,-114.69833512220247,-608.9674642179809
76,,-114.61331151913463,-607.3676827216682
77,,-114.53063076032386,-605.7749845312602
78,,-114.45020962980287,-604.1893678090486
79,,-114.3719686698083,-602.6108291773332
80,,-114.29583197140798,-601.0393638100591
81,,-114.22172697908046,-599.4749655212034
82,,-114.14958430816004,-597.917626849117
83,,-114.07933757416082,-596.3673391362987
84,,-114.01092323308157,-594.8240926042923
85,,-113.9442804318651,-593.2878764235912
86,,-113.87935086826072,-591.7586787785369
87,,-113.816078659406,-590.236486927361
88,,-113.75441021848526,-588.7212872575428
89,,-113.69429413890234,-587.2130653367576
90,,-113.63568108541708,-585.7118059596806
91,,-113.57852369177309,-584.217493190996
92,,-113.52277646435655,-582.7301104049114
93,,-113.4683956914791,-581.2496403214899
94,,-113.4153393578966,-579.7760650401506
95,,-113.36356706421626,-578.3093660706083
96,,-113.31303995086849,-576.8495243615469
97,,-113.26372062633541,-575.3965203272745
98,,-113.2155730993662,-573.9503338726258
99,,-113.16856271492003,-572.5109444163027
100,,-113.12265609359443,-571.0783309128542
101,,-113.07782107432318,-569.6524718734674
102,,-113.03402666013544,-568.2333453857133
103,,-112.99124296678927,-566.8209291323844
104,,-112.949441174098,-565.4152004095146
105,,-112.90859347978886,-564.0161361436941
106,,-112.86867305574184,-562.6237129087489
107,,-112.82965400645917,-561.237906941839
108,,-112.7915113296435,-559.8586941590411
109,,-112.75422087875309,-558.4860501704409
110,,-112.71775932741842,-557.1199502947886
111,,-112.68210413562018,-555.760369573729
112,,-112.64723351751755,-554.4072827856164
113,,-112.6131264108429,-553.0606644589626
114,,-112.57976244776526,-551.7204888854853
115,,-112.54712192714818,-550.3867301328029
116,,-112.51518578812124,-549.0593620567635
117,,-112.48393558489077,-547.7383583134117
118,,-112.45335346272903,-546.4236923706084
119,,-112.42342213507078,-545.1153375192945
120,,-112.39412486166087,-543.8132668844153
121,,-112.36544542769995,-542.517453435503
122,,-112.33736812392961,-541.2278699969003
123,,-112.30987772761168,-539.9444892576887
124,,-112.28295948435407,-538.667283781253
125,,-112.25659909074152,-537.3962260145418
126,,-112.23078267772524,-536.131288297003
127,,-112.20549679473858,-534.8724428692179
128,,-112.18072839449617,-533.6196618812273
129,,-112.1533282500359,-532.3729174005664
130,,-112.12642165503803,-531.1321814200116
131,,-112.10002705565934,-529.8974258650517
132,,-112.07413244542522,-528.6686226010933
133,,-112.04872616275289,-527.445743440404
134,,-112.02379687899219,-526.2287601488067
135,,-111.99933358695871,-525.0176444521287
136,,-111.97532558993343,-523.8123680424297
137,,-111.95176249110642,-522.6129025839892
138,,-111.92863418344663,-521.4192197191005
139,,-111.90593083997483,-520.2312910736377
140,,-111.8836429044218,-519.049088262441
141,,-111.86176108225635,-517.8725828945018
142,,-111.8402763320629,-516.7017465779693
143,,-111.81917985725427,-515.5365509249817
144,,-111.79846309810712,-514.3769675563301
145,,-111.77811772410008,-513.2229681059598
146,,-111.75813562654612,-512.0745242253093
147,,-111.73850891150278,-510.9316075875168
148,,-111.71922989295226,-509.79418989146194
149,,-111.70029108623375,-508.66224286568627
150,,-111.68168520172172,-507.53573827217014
151,,-111.66340513873904,-506.41464790998214
152,,-111.64544397969179,-505.2989436188118
153,,-111.62779498441974,-504.18859728236555
154,,-111.61045158475264,-503.0835808316636
155,,-111.59340737926117,-501.983866248218
156,,-111.57665612819835,-500.8894255670949
157,,-111.56019174862116,-499.80023087988394
158,,-111.54400830968447,-498.7162543375511
159,,-111.52810002810126,-497.63746815320684
160,,-111.51246126376348,-496.5638446047624
161,,-111.49708651551305,-495.49535603750934
162,,-111.48197041706315,-494.4319748665888
163,,-111.46710773305684,-493.37367357938996
164,,-111.45249335526285,-492.3204247378519
165,,-111.43812229890084,-491.27220098068335
166,,-111.42398969909085,-490.2289750255046
167,,-111.41009080742379,-489.1907196709057
168,,-111.39642098864476,-488.1574077984308
169,,-111.38297571745098,-487.1290123744867
170,,-111.36975057539071,-486.1055064521778
171,,-111.35674124786998,-485.0868631730688
172,,-111.34394352125423,-484.073055768884
173,,-111.33135328006631,-483.0640575631283
174,,-111.31896650427403,-482.0598419726581
175,,-111.30677926666846,-481.0603825091746
176,,-111.29478773032191,-480.06565278066245
177,,-111.28214605849054,-479.0756264927674
178,,-111.26866307164141,-478.0902774501133
179,,-111.25538101526116,-477.1095795575648
180,,-111.24229621092002,-476.133506821433
181,,-111.2294050615845,-475.16203335062715
182,,-111.21670404947106,-474.19513335775446
183,,-111.20418973396689,-473.23278116017195
184,,-111.19185874961484,-472.27495118097926
185,,-111.17970780415911,-471.3216179499805
186,,-111.16773367665205,-470.3727561045803
187,,-111.15593321561602,-469.428340390642
188,,-111.14430333726389,-468.48834566331533
189,,-111.13284102376932,-467.5527468877913
190,,-111.12154332159271,-466.6215191400489
191,,-111.11040733985334,-465.6946376075333
192,,-111.09943024875156,-464.7720775898137
193,,-111.088609278038,-463.8538144991903
194,,-111.07794171552675,-462.939823861277
195,,-111.06742490565091,-462.03008131553156
196,,-111.05705624806275,-461.12456261576983
197,,-111.04683319627291,-460.2232436306235
198,,-111.03675325632787,-459.32610034398897
199,,-111.026813985527,-458.433108855426
200,,-111.01701299117616,-457.5442453805289
201,,-111.00734792937504,-456.65948625127805
202,,-110.99781650384065,-455.77880791634203
203,,-110.988416464763,-454.9021869413727
204,,-110.97914560769362,-454.0296000092574
205,,-110.97000177246323,-453.1610239203489
206,,-110.96098284213305,-452.2964355926703
207,,-110.95208674197048,-451.43581206209564
208,,-110.94331143845837,-450.5791304824964
209,,-110.93465493832593,-449.7263681258775
210,,-110.92611528761022,-448.8775023824837
211,,-110.91769057074278,-448.0325107608768
212,,-110.90937890965671,-447.1913708880019
213,,-110.90117846292509,-446.3540605092295
214,,-110.89308742491681,-445.5205574883668
215,,-110.88510402497634,-444.6908398076662
216,,-110.87722652662677,-443.8648855677999
217,,-110.86945322679297,-443.0426729878173
218,,-110.86178245504513,-442.224180405097
219,,-110.85421257286293,-441.4093862752626
220,,-110.84674197291808,-440.5982691720937
221,,-110.83936907837689,-439.79080778741445
222,,-110.83209234221894,-438.98698093096937
223,,-110.82491024657637,-438.186767530283
224,,-110.81782130208748,-437.39014663050045
225,,-110.81082404726776,-436.5970973942127
226,,-110.8039170478989,-435.8075991012796
227,,-110.79709889642947,-435.0216311486215
228,,-110.79036821139486,-434.23917305001123
229,,-110.78372363684987,-433.46020443584445
230,,-110.77716384181525,-432.6847050529013
231,,-110.7706875197404,-431.912654764096
232,,-110.76429338797575,-431.1440335482146
233,,-110.7579801872623,-430.3788214996376
234,,-110.7517466812316,-429.6169988280596
235,,-110.74559165591708,-428.8585458581863
236,,-110.73951391928195,-428.1034430294331
237,,-110.73351230075308,-427.3516708956096
238,,-110.72758565076957,-426.60321012458996
239,,-110.72173284034194,-425.85804149797565
240,,-110.71595276062162,-425.11614591076307
241,,-110.7102443224807,-424.3775043709754
242,,-110.70460645610201,-423.64209799931024
243,,-110.69903811058026,-422.90990802876996
244,,-110.69353825353016,-422.1809158042821
245,,-110.68810587070547,-421.45510278231865
246,,-110.68273996562789,-420.73245053049936
247,,-110.67743955922371,-420.01294072719804
248,,-110.67220368946803,-419.29655516113434
249,,-110.66703141104014,-418.5832757309676
250,,-110.66192179498384,-417.8730844448709
251,,-110.65687392837786,-417.16596342011604
252,,-110.65188691401367,-416.4618948826386
253,,-110.64695987007995,-415.7608611666092
254,,-110.6420919298542,-415.062844713986
255,,-110.63728224140375,-414.36782807408053
256,,-110.63252996728983,-413.6757939030982
257,,-110.62783428428307,-412.98672496369494
258,,-110.62319438307989,-412.3006041245088
259,,-110.61860946803137,-411.61741435970595
260,,-110.61407875687333,-410.9371387485134
261,,-110.60960148046556,-410.25976047474444
262,,-110.60517688253577,-409.5852628263331
263,,-110.6008042194285,-408.9136291948496
264,,-110.59648275986162,-408.24484307502763
265,,-110.59221178468628,-407.578888064278
266,,-110.58799058665436,-406.91574786220684
267,,-110.5838184701885,-406.2554062701211
268,,-110.57969475115904,-405.5978471905438
269,,-110.5756187566657,-404.94305462671895
270,,-110.57158982482251,-404.29101268211843
271,,-110.56760730455127,-403.6417055599409
272,,-110.5636705553733,-402.9951175626163
273,,-110.55977894721234,-402.3512330913059
274,,-110.55593186019696,-401.7100366453957
275,,-110.55212868446988,-401.07151282199476
276,,-110.54836882000048,-400.4356463154331
277,,-110.54465167640072,-399.80242191674836
278,,-110.54097667274563,-399.17182451318774
279,,-110.53734323739873,-398.54383908768875
280,,-110.53375080783937,-397.9184507183791
281,,-110.53019883049393,-397.29564457806134
282,,-110.52668676057262,-396.675405933702
283,,-110.5232140619058,-396.0577201459234
284,,-110.51978020678983,-395.4425726684894
285,,-110.51638467582768,-394.829949047795
286,,-110.51302695778237,-394.21983492234966
287,,-110.50970654942596,-393.6122160222732
288,,-110.50642295539522,-393.00707816877224
289,,-110.50317568804974,-392.4044072736376
290,,-110.49996426733227,-391.8041893387259
291,,-110.49678822063416,-391.2064104554484
292,,-110.49364708265877,-390.61105680426095
293,,-110.49054039529392,-390.01811465414903
294,,-110.48746770748241,-389.42757036212186
295,,-110.48442857509582,-388.83941037269494
296,,-110.48142256081368,-388.25362121738493
297,,-110.47844923400113,-387.6701895141996
298,,-110.47550817059204,-387.0891019671262
299,,-110.4725989529734,-386.5103453656265
300,,-110.46972116987082,-385.9339065841293
301,,-110.46687441623949,-385.35977258152286
302,,-110.4640582931541,-384.78793040065165
303,,-110.46127240770254,-384.21836716781013
304,,-110.45851637288114,-383.6510700922404
305,,-110.45578980749269,-383.08602646563065
306,,-110.45309233604638,-382.5232236616161
307,,-110.45042358865825,-381.9626491352746
308,,-110.44778320095621,-381.4042904226338
309,,-110.44517081398332,-380.8481351401709
310,,-110.44258607410815,-380.29417098431816
311,,-110.44002863293002,-379.7423857309704
312,,-110.43749814719366,-379.1927672349898
313,,-110.43499427869969,-378.64530342971415
314,,-110.43251669421832,-378.09998232647297
315,,-110.43006506540684,-377.55679201409384
316,,-110.42763906872703,-377.01572065841793
317,,-110.42523838536286,-376.47675650181685
318,,-110.42286270114272,-375.93988786270484
319,,-110.42051170646086,-375.40510313506667
320,,-110.418185096201,-374.8723907879681
321,,-110.41588256966182,-374.3417393650852
322,,-110.41360383048352,-373.8131374842258
323,,-110.41134858657485,-373.2865738368552
324,,-110.40911655004453,-372.76203718762633
325,,-110.40690743712887,-372.2395163739065
326,,,-371.71900030531197
327,,,-371.2004779632412
