Iteration,IWLS,SGD,Adam
0,-7546.986501937931,-25503.432490002346,-7546.986501937931
1,-3938.762219723405,-25503.432490002346,-25503.432490002346
2,-2881.5636130981693,-25503.432490002346,-25503.432490002346
3,-2228.030247092926,-25503.432490002346,-25503.432492170006
4,-1851.2772496986215,-25503.432490002346,-21557.28946275228
5,-1670.2526482849853,-25503.432490002346,
6,-1602.5889809632818,-16072.63077910986,
7,-1540.3495826932897,-25503.432490002346,
8,-1515.95745591027,-25503.432490002346,
9,-1513.5383243284944,-25503.432490002346,
10,-1513.6443643570728,-15613.790021100302,
11,-1513.6471717330694,-14981.619361800653,
12,,-14570.463460090024,
13,,-25503.432490002346,
14,,-14363.93364371291,
15,,-25503.432490002346,
16,,-25503.432490002346,
17,,-25503.432490002346,
18,,-25503.432490002346,
19,,-25503.432490002346,
20,,-25503.432490002346,
21,,-25503.432490002346,
22,,-25503.432490002346,
23,,-25503.432490002346,
24,,-25503.432490002346,
25,,-25503.432490002346,
26,,-25503.432490002346,
27,,-25503.432490002346,
28,,-25503.432490002346,
29,,-25503.432490002346,
30,,-25503.432490002346,
31,,-25503.432490002346,
32,,-25503.432490002346,
33,,-25503.432490002346,
34,,-25503.432490002346,
35,,-25503.432490002346,
36,,-25503.432490002346,
37,,-25503.432490002346,
38,,-25503.432490002346,
39,,-25503.432490002346,
40,,-25503.432490002346,
41,,-25503.432490002346,
42,,-25503.432490002346,
43,,-25503.432490002346,
44,,-25503.432490002346,
45,,-25503.432490002346,
46,,-25503.432490002346,
47,,-25503.432490002346,
48,,-25503.432490002346,
49,,-25503.432490002346,
50,,-25503.432490002346,
51,,-25503.432490002346,
52,,-25503.432490002346,
53,,-25503.432490002346,
54,,-25503.432490002346,
55,,-25503.432490002346,
56,,-13506.956868463281,
57,,-25503.432490002346,
58,,-25503.432490002346,
59,,-25503.432490002346,
60,,-25503.432490002346,
61,,-14034.02138430456,
62,,-21231.7136937967,
63,,-21386.85575270595,
64,,-13437.641109401631,
65,,-21153.648944186218,
66,,-21068.007008642806,
67,,-13474.25932733822,
68,,-20837.5490723187,
69,,-20733.016452402488,
70,,-13466.786702323532,
71,,-21135.850261042982,
72,,-20786.621623668285,
73,,-20841.636805822214,
74,,-25503.432490002346,
75,,-20630.985844668336,
76,,-25503.432490002346,
77,,-13479.296762912007,
78,,-20362.993399610612,
79,,-25503.432490002346,
80,,-20112.97534825937,
81,,-20187.797505518367,
82,,-20044.81408620142,
83,,-13527.102087801017,
84,,-13525.994178899216,
85,,-20034.910598648883,
86,,-13537.060817261556,
87,,-20404.615641782595,
88,,-20113.39791883538,
89,,-13531.491923290463,
90,,-19811.11355752583,
91,,-20403.205630894863,
92,,-20353.935053210113,
93,,-20718.14235195257,
94,,-19401.30084402612,
95,,-19345.122511062385,
96,,-19453.32029390649,
97,,-19432.597028069547,
98,,-20303.25446463763,
99,,-20125.062838271824,
100,,-19320.24036214208,
101,,-19421.530389707204,
102,,-25503.432490002346,
103,,-19414.622634428222,
