max_depth,n_estimators,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
10,352,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-1150.0,1,LassoLR,0.6768558951965066,0.6478578892371996,0.6212424849699398,0.663
10,352,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-1150.0,2,LassoLR,0.6842105263157895,0.6807653575025177,0.6773547094188377,0.683
10,352,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-1000.0,3,LassoLR,0.6733466933867736,0.6733466933867736,0.6733466933867736,0.674
10,352,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-750.0,4,LassoLR,0.7066115702479339,0.6958290946083419,0.685370741482966,0.701
6,381,x101_x102_x103_x104_x105_x106_x9,5750.0,0,Boruta,0.6666666666666666,0.6558044806517311,0.6452905811623246,0.662
6,381,x101_x102_x103_x104_x105_x106_x9,5700.0,1,Boruta,0.697986577181208,0.6596194503171248,0.625250501002004,0.678
6,381,x101_x102_x103_x104_x105_x106_x9,6150.0,2,Boruta,0.6799163179916318,0.6653019447287615,0.6513026052104208,0.673
6,381,x101_x102_x103_x104_x105_x106_x9,6050.0,3,Boruta,0.6767676767676768,0.6740442655935613,0.6713426853707415,0.676
6,381,x101_x102_x103_x104_x105_x106_x9,6250.0,4,Boruta,0.7212389380530974,0.6855941114616193,0.6533066132264529,0.701
3,205,x106_x176_x413_x459,5650.0,0,Filters,0.6032786885245902,0.4577114427860697,0.3687374749498998,0.564
3,205,x106_x176_x413_x459,5600.0,1,Filters,0.6,0.4552238805970149,0.3667334669338677,0.562
3,205,x106_x176_x413_x459,5850.0,2,Filters,0.5717703349282297,0.5212649945474372,0.4789579158316633,0.561
3,205,x106_x176_x413_x459,5700.0,3,Filters,0.618421052631579,0.46824408468244083,0.37675350701402804,0.573
3,205,x106_x176_x413_x459,5900.0,4,Filters,0.6156351791530945,0.46898263027295284,0.3787575150300601,0.572
