penalty,C,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
l2,0.004621343084226969,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,1850.0,0,LassoSVC,0.560081466395112,0.5555555555555556,0.5511022044088176,0.56
l2,0.004621343084226969,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,1850.0,1,LassoSVC,0.5438972162740899,0.525879917184265,0.5090180360721442,0.542
l2,0.004621343084226969,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2050.0,2,LassoSVC,0.5557809330628803,0.5524193548387096,0.5490981963927856,0.556
l2,0.004621343084226969,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,1500.0,3,LassoSVC,0.5473684210526316,0.5338809034907598,0.5210420841683366,0.546
l2,0.004621343084226969,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2150.0,4,LassoSVC,0.572,0.5725725725725725,0.5731462925851704,0.573
l1,0.6521069036506095,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-2500.0,0,LassoLR,0.5717299578059072,0.5570400822199383,0.5430861723446894,0.569
l1,0.6521069036506095,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-2700.0,1,LassoLR,0.540650406504065,0.5368314833501514,0.533066132264529,0.541
l1,0.6521069036506095,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-2550.0,2,LassoLR,0.5530612244897959,0.5480283114256825,0.5430861723446894,0.553
l1,0.6521069036506095,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-2350.0,3,LassoLR,0.5407554671968191,0.5429141716566867,0.5450901803607214,0.542
l1,0.6521069036506095,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-2600.0,4,LassoLR,0.5581395348837209,0.5674876847290641,0.5771543086172345,0.561
l1,0.04617836816121002,x101_x102_x103_x104_x105_x106_x9,4500.0,0,Boruta,0.4775510204081633,0.47320525783619816,0.46893787575150303,0.479
l1,0.04617836816121002,x101_x102_x103_x104_x105_x106_x9,4350.0,1,Boruta,0.5031185031185031,0.49387755102040815,0.4849699398797595,0.504
l1,0.04617836816121002,x101_x102_x103_x104_x105_x106_x9,4250.0,2,Boruta,0.5020325203252033,0.49848637739656915,0.49498997995991983,0.503
l1,0.04617836816121002,x101_x102_x103_x104_x105_x106_x9,4250.0,3,Boruta,0.47307692307692306,0.48282630029440626,0.49298597194388777,0.473
l1,0.04617836816121002,x101_x102_x103_x104_x105_x106_x9,4900.0,4,Boruta,0.5342741935483871,0.5326633165829145,0.531062124248497,0.535
l2,0.0035149621680760604,x106_x176_x413_x459,4650.0,0,Filters,0.5291750503018109,0.5281124497991968,0.5270541082164328,0.53
l2,0.0035149621680760604,x106_x176_x413_x459,5250.0,1,Filters,0.5539112050739958,0.5390946502057613,0.5250501002004008,0.552
l2,0.0035149621680760604,x106_x176_x413_x459,4800.0,2,Filters,0.5346320346320347,0.514047866805411,0.49498997995991983,0.533
l2,0.0035149621680760604,x106_x176_x413_x459,4050.0,3,Filters,0.5202205882352942,0.5426653883029722,0.5671342685370742,0.523
l2,0.0035149621680760604,x106_x176_x413_x459,5050.0,4,Filters,0.5326732673267327,0.5358565737051793,0.5390781563126252,0.534
