reg_param,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
0.2654582016579684,x103_x106_x101_x5_x102_x105,6300.0,0,Iterative,0.6966824644549763,0.6384364820846905,0.5891783567134269,0.667
0.2654582016579684,x103_x106_x101_x5_x102_x105,5900.0,1,Iterative,0.6908665105386417,0.6371490280777538,0.591182364729459,0.664
0.2654582016579684,x103_x106_x101_x5_x102_x105,6100.0,2,Iterative,0.6997742663656885,0.6581740976645435,0.6212424849699398,0.678
0.2654582016579684,x103_x106_x101_x5_x102_x105,6550.0,3,Iterative,0.705607476635514,0.651564185544768,0.6052104208416834,0.677
0.2654582016579684,x103_x106_x101_x5_x102_x105,6350.0,4,Iterative,0.7266009852216748,0.6519337016574586,0.591182364729459,0.685
0.08392398104273446,x103_x106_x101_x102_x105,6600.0,0,Iterative,0.6970387243735763,0.652452025586354,0.6132264529058116,0.674
0.08392398104273446,x103_x106_x101_x102_x105,6300.0,1,Iterative,0.6945701357466063,0.6524973432518597,0.6152304609218436,0.673
0.08392398104273446,x103_x106_x101_x102_x105,6350.0,2,Iterative,0.6973094170403588,0.6582010582010582,0.6232464929859719,0.677
0.08392398104273446,x103_x106_x101_x102_x105,6750.0,3,Iterative,0.7022727272727273,0.65814696485623,0.6192384769539078,0.679
0.08392398104273446,x103_x106_x101_x102_x105,6800.0,4,Iterative,0.7122641509433962,0.6543878656554712,0.6052104208416834,0.681
0.4564898333549241,x103_x106_x101_x102,6500.0,0,Iterative,0.6805896805896806,0.6114790286975718,0.5551102204408818,0.648
0.4564898333549241,x103_x106_x101_x102,6550.0,1,Iterative,0.6814988290398126,0.6285097192224622,0.5831663326653307,0.656
0.4564898333549241,x103_x106_x101_x102,6600.0,2,Iterative,0.6690307328605201,0.613882863340564,0.5671342685370742,0.644
0.4564898333549241,x103_x106_x101_x102,6650.0,3,Iterative,0.6924882629107981,0.6378378378378379,0.591182364729459,0.665
0.4564898333549241,x103_x106_x101_x102,6950.0,4,Iterative,0.6938271604938272,0.6216814159292036,0.56312625250501,0.658
0.3153021927825599,x103_x106_x101_x105,6650.0,0,Iterative,0.6819277108433734,0.6192560175054704,0.5671342685370742,0.652
0.3153021927825599,x103_x106_x101_x105,6200.0,1,Iterative,0.6821515892420538,0.6145374449339207,0.5591182364729459,0.65
0.3153021927825599,x103_x106_x101_x105,6600.0,2,Iterative,0.675,0.6325878594249201,0.5951903807615231,0.655
0.3153021927825599,x103_x106_x101_x105,6750.0,3,Iterative,0.6690140845070423,0.6162162162162163,0.5711422845691383,0.645
0.3153021927825599,x103_x106_x101_x105,6800.0,4,Iterative,0.7189873417721518,0.6353467561521253,0.5691382765531062,0.674
0.4412146309048103,x103_x106_x102_x105,6450.0,0,Iterative,0.6675324675324675,0.581447963800905,0.5150300601202404,0.63
0.4412146309048103,x103_x106_x102_x105,6650.0,1,Iterative,0.6682577565632458,0.6100217864923747,0.561122244488978,0.642
0.4412146309048103,x103_x106_x102_x105,6600.0,2,Iterative,0.6455399061032864,0.5945945945945946,0.5511022044088176,0.625
0.4412146309048103,x103_x106_x102_x105,6800.0,3,Iterative,0.6707920792079208,0.6002214839424141,0.5430861723446894,0.639
0.4412146309048103,x103_x106_x102_x105,7050.0,4,Iterative,0.7012658227848101,0.6196868008948546,0.5551102204408818,0.66
0.19184923284186384,x103_x101_x102_x105,6700.0,0,Iterative,0.6488372093023256,0.6006458557588805,0.5591182364729459,0.629
0.19184923284186384,x103_x101_x102_x105,6350.0,1,Iterative,0.6838407494145199,0.6306695464362851,0.5851703406813628,0.658
0.19184923284186384,x103_x101_x102_x105,6600.0,2,Iterative,0.6727272727272727,0.630457933972311,0.593186372745491,0.653
0.19184923284186384,x103_x101_x102_x105,6700.0,3,Iterative,0.6758620689655173,0.6295503211991434,0.5891783567134269,0.654
0.19184923284186384,x103_x101_x102_x105,6650.0,4,Iterative,0.667458432304038,0.6108695652173913,0.56312625250501,0.642
0.2621595449276284,x106_x101_x102_x105,6400.0,0,Iterative,0.6682134570765661,0.6193548387096774,0.5771543086172345,0.646
0.2621595449276284,x106_x101_x102_x105,6350.0,1,Iterative,0.6719457013574661,0.6312433581296493,0.5951903807615231,0.653
0.2621595449276284,x106_x101_x102_x105,6800.0,2,Iterative,0.6891891891891891,0.6489925768822906,0.6132264529058116,0.669
0.2621595449276284,x106_x101_x102_x105,6700.0,3,Iterative,0.6858513189448441,0.6244541484716157,0.5731462925851704,0.656
0.2621595449276284,x106_x101_x102_x105,6700.0,4,Iterative,0.6923076923076923,0.6295081967213115,0.5771543086172345,0.661
