max_depth,n_estimators,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
2,145,x103_x106_x101_x5_x102_x105,6400.0,0,Iterative,0.6765327695560254,0.6584362139917695,0.6412825651302605,0.668
2,145,x103_x106_x101_x5_x102_x105,6000.0,1,Iterative,0.6855895196506551,0.6562173458725182,0.6292585170340681,0.671
2,145,x103_x106_x101_x5_x102_x105,6250.0,2,Iterative,0.6768558951965066,0.6478578892371996,0.6212424849699398,0.663
2,145,x103_x106_x101_x5_x102_x105,6350.0,3,Iterative,0.6828752642706131,0.6646090534979424,0.6472945891783567,0.674
2,145,x103_x106_x101_x5_x102_x105,6500.0,4,Iterative,0.7040358744394619,0.6645502645502646,0.6292585170340681,0.683
4,287,x103_x106_x101_x102_x105,6250.0,0,Iterative,0.6738197424892703,0.6507772020725389,0.6292585170340681,0.663
4,287,x103_x106_x101_x102_x105,6050.0,1,Iterative,0.6780045351473923,0.6361702127659574,0.5991983967935872,0.658
4,287,x103_x106_x101_x102_x105,6100.0,2,Iterative,0.6632443531827515,0.6551724137931034,0.6472945891783567,0.66
4,287,x103_x106_x101_x102_x105,6300.0,3,Iterative,0.6639676113360324,0.6606243705941591,0.657314629258517,0.663
4,287,x103_x106_x101_x102_x105,6650.0,4,Iterative,0.6854663774403471,0.6583333333333333,0.6332665330661322,0.672
8,75,x103_x106_x101_x102,6550.0,0,Iterative,0.6394849785407726,0.6176165803108808,0.5971943887775552,0.631
8,75,x103_x106_x101_x102,6550.0,1,Iterative,0.6681614349775785,0.6306878306878307,0.5971943887775552,0.651
8,75,x103_x106_x101_x102,6200.0,2,Iterative,0.6504424778761062,0.6182965299684543,0.5891783567134269,0.637
8,75,x103_x106_x101_x102,6400.0,3,Iterative,0.6539278131634819,0.6350515463917525,0.6172344689378757,0.646
8,75,x103_x106_x101_x102,6600.0,4,Iterative,0.6622222222222223,0.6280295047418335,0.5971943887775552,0.647
2,203,x103_x106_x101_x105,6650.0,0,Iterative,0.6716417910447762,0.6508264462809917,0.6312625250501002,0.662
