model_indeces,featues,accuracy,precision,recall,profit
[1 2 5 6 9],[100 101 102 103 104 105],0.693,0.6943907156673114,0.7066929133858267,5743.907156673114
[0 2 5],[100 102 103 104],0.65,0.6845794392523364,0.5767716535433071,6045.794392523364
[6 9],[101 102 104 105],0.641,0.6728538283062645,0.5708661417322834,5928.538283062645
[ 0  2  6  8 12],[100 102 103 104 105],0.682,0.6938775510204082,0.6692913385826772,5938.775510204082
[ 1  2  3 10],[100 101 102 103 104 105],0.689,0.693516699410609,0.6948818897637795,5735.16699410609
[ 5  7  9 12 13],[100 101 102 103 104 105],0.724,0.7239382239382239,0.7381889763779528,6039.382239382239
[ 0  1  2  3  7 15],[  9 100 101 102 103 104 105],0.686,0.6816479400749064,0.7165354330708661,5416.479400749064
[0 2],[100 102 103 104],0.652,0.682648401826484,0.5885826771653543,6026.48401826484
[ 3 14],[100 101 102 104 105],0.687,0.6977687626774848,0.6771653543307087,5977.687626774848
[ 2  3  7 19],[  2 100 101 102 103 104 105],0.673,0.6828282828282828,0.6653543307086615,5428.282828282828
[ 0  2  4  5  7  8 18],[  9 100 101 102 103 104 105],0.685,0.6965376782077393,0.6732283464566929,5565.376782077393
[ 2  8 11 13],[100 102 103 104 105],0.694,0.7028112449799196,0.6889763779527559,6028.112449799197
[ 0  4 12],[100 101 102 103],0.659,0.6811279826464208,0.6181102362204725,6011.279826464208
[ 2  3  4  8 15 18],[  9 100 101 102 103 104],0.659,0.6714579055441479,0.6437007874015748,5514.579055441479
[4 5 9],[101 102 103 104 105],0.652,0.6673640167364017,0.6279527559055118,5673.640167364017
[ 0  1  2  3  5 41],[100 101 102 103 104 105],0.675,0.6833667334669339,0.6712598425196851,5633.667334669339
[1 2 3 4 6 8],[100 101 102 103 104 105],0.689,0.693516699410609,0.6948818897637795,5735.16699410609
[ 1  8 15],[  9 100 101 102 104 105],0.684,0.6967213114754098,0.6692913385826772,5767.213114754099
[ 0  1  2  3 10],[100 101 102 103 104 105],0.688,0.6906614785992218,0.6988188976377953,5706.614785992218
[ 1  2  5  7 14 17],[  9 100 101 102 103 104 105],0.688,0.6906614785992218,0.6988188976377953,5506.614785992218
