Model,hyperparameters,Features,Accuracy,Precision,Recall,Profit
qda,{},"[102, 4, 3, 101]",0.607,0.6334106728538283,0.5374015748031497,5534.106728538283
mlp,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'adam'}","[102, 4, 3, 101]",0.612,0.6271186440677966,0.5826771653543307,5192.647058823529
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[102, 4, 3, 101]",0.617,0.6450116009280742,0.547244094488189,5650.116009280742
nb,{'var_smoothing': 1e-09},"[102, 4, 3, 101]",0.607,0.6448362720403022,0.5039370078740157,5648.362720403023
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[5, 4, 3]",0.588,0.6071428571428571,0.5354330708661418,5471.428571428571
gp,{},"[5, 4, 3]",0.597,0.6143790849673203,0.5551181102362205,5543.790849673203
qda,{},"[5, 4, 3]",0.59,0.6256410256410256,0.4803149606299212,5656.410256410257
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[5, 4, 3]",0.575,0.5985748218527316,0.4960629921259842,5385.748218527316
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[102, 8, 6, 3]",0.589,0.6321525885558583,0.4566929133858268,5521.5258855585835
ada,"{'algorithm': 'SAMME', 'learning_rate': 0.5, 'n_estimators': 200}","[102, 8, 6, 3]",0.59,0.6376404494382022,0.4468503937007874,5558.695652173914
xgb,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}","[102, 8, 6, 3]",0.597,0.6530612244897959,0.4409448818897638,5730.612244897959
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[102, 8, 6, 3]",0.509,0.5300353356890459,0.2952755905511811,4419.512195121952
nb,{'var_smoothing': 1e-09},"[8, 102, 105, 2]",0.632,0.6794871794871795,0.5216535433070866,5994.871794871795
qda,{},"[8, 102, 105, 2]",0.646,0.6934673366834171,0.5433070866141733,6134.673366834171
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[8, 102, 105, 2]",0.634,0.6606334841628959,0.5748031496062992,5806.334841628959
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[8, 102, 105, 2]",0.643,0.6637744034707158,0.6023622047244095,5837.744034707158
lr,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}","[2, 101, 4]",0.502,0.5462962962962963,0.1161417322834645,4746.820809248555
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10}","[2, 101, 4]",0.594,0.6294416243654822,0.4881889763779528,4960.253699788584
mlp,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}","[2, 101, 4]",0.597,0.6096033402922756,0.5748031496062992,5451.502145922747
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[2, 101, 4]",0.579,0.5964523281596452,0.5295275590551181,5364.523281596452
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[3, 104, 101]",0.599,0.6419098143236074,0.4763779527559055,5819.098143236074
qda,{},"[3, 104, 101]",0.604,0.6414141414141414,0.5,5814.141414141414
gp,{},"[3, 104, 101]",0.61,0.6322869955156951,0.5551181102362205,5722.869955156951
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2}","[3, 104, 101]",0.602,0.6410256410256411,0.4921259842519685,5104.8458149779735
nb,{'var_smoothing': 1e-09},"[104, 3]",0.586,0.6263440860215054,0.4586614173228346,5863.440860215053
ert,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5}","[104, 3]",0.588,0.6224489795918368,0.4803149606299212,5000.41067761807
knn,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}","[104, 3]",0.516,0.5251046025104602,0.4940944881889764,4916.205533596838
mlp,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}","[104, 3]",0.587,0.6178660049627791,0.4901574803149606,5384.499054820416
xgb,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}","[104, 3, 5]",0.585,0.6049661399548533,0.5275590551181102,5449.661399548532
