n_features,accuracy,method
2,0.6028,JMI
2,0.6028,CMIM
2,0.606,Feature importance (RF)
3,0.6314,JMI
3,0.6314,CMIM
3,0.6377999999999999,Feature importance (RF)
4,0.6552,JMI
4,0.6552,CMIM
4,0.6492,Feature importance (RF)
5,0.6544,JMI
5,0.6544,CMIM
5,0.6476,Feature importance (RF)
6,0.6576000000000001,JMI
6,0.6576000000000001,CMIM
6,0.6522000000000001,Feature importance (RF)
7,0.6701999999999999,JMI
7,0.6701999999999999,CMIM
7,0.6594,Feature importance (RF)
8,0.6708000000000001,JMI
8,0.6678000000000001,CMIM
8,0.6558,Feature importance (RF)
9,0.6652,JMI
9,0.6658,CMIM
9,0.6552,Feature importance (RF)
10,0.667,JMI
10,0.6648,CMIM
10,0.6557999999999999,Feature importance (RF)
11,0.663,JMI
11,0.6634,CMIM
11,0.6462,Feature importance (RF)
12,0.6606,JMI
12,0.6626000000000001,CMIM
12,0.6468,Feature importance (RF)
13,0.6572,JMI
13,0.6614,CMIM
13,0.6566,Feature importance (RF)
14,0.6602,JMI
14,0.6632,CMIM
14,0.6578,Feature importance (RF)
15,0.6602,JMI
15,0.6622,CMIM
15,0.6576,Feature importance (RF)
16,0.6582,JMI
16,0.6576,CMIM
16,0.6586,Feature importance (RF)
17,0.658,JMI
17,0.659,CMIM
17,0.6562,Feature importance (RF)
18,0.6578,JMI
18,0.6581999999999999,CMIM
18,0.6656,Feature importance (RF)
19,0.6576000000000001,JMI
19,0.6566000000000001,CMIM
19,0.6608,Feature importance (RF)
20,0.6556000000000001,JMI
20,0.6616,CMIM
20,0.6584000000000001,Feature importance (RF)
21,0.6587999999999999,JMI
21,0.6624,CMIM
21,0.6546,Feature importance (RF)
22,0.6538,JMI
22,0.6546,CMIM
22,0.6546000000000001,Feature importance (RF)
23,0.6527999999999999,JMI
23,0.6572,CMIM
23,0.6512,Feature importance (RF)
24,0.6532,JMI
24,0.6572,CMIM
24,0.6508,Feature importance (RF)
25,0.6562,JMI
25,0.661,CMIM
25,0.6526,Feature importance (RF)
26,0.6596,JMI
26,0.6596,CMIM
26,0.6557999999999999,Feature importance (RF)
27,0.6564,JMI
27,0.6586000000000001,CMIM
27,0.6560000000000001,Feature importance (RF)
28,0.6592,JMI
28,0.656,CMIM
28,0.6516,Feature importance (RF)
29,0.6574,JMI
29,0.6596,CMIM
29,0.6516,Feature importance (RF)
30,0.655,JMI
30,0.664,CMIM
30,0.6568,Feature importance (RF)
