Model,hyperparameters,Features,Accuracy,Precision,Recall,Profit
nb,{'var_smoothing': 1e-09},"[101, 2, 102]",0.606,0.6795865633074936,0.4934333958724202,6195.865633074935
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[101, 104]",0.577,0.6256983240223464,0.4366471734892787,5856.983240223463
svm,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","[101, 104]",0.581,0.5978835978835979,0.4584178498985801,5578.835978835979
qda,{},"[101, 104]",0.594,0.6403269754768393,0.4616895874263261,6003.269754768393
nb,{'var_smoothing': 1e-09},"[101, 104]",0.574,0.6036745406824147,0.4554455445544554,5636.745406824147
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[103, 101]",0.627,0.6846590909090909,0.4791252485089463,6446.590909090909
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[103, 101]",0.595,0.6198347107438017,0.4573170731707317,5798.347107438017
qda,{},"[103, 101]",0.626,0.6349614395886889,0.5156576200417536,5949.614395886889
nb,{'var_smoothing': 1e-09},"[103, 101]",0.577,0.604221635883905,0.4561752988047808,5642.2163588390495
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[102, 104]",0.594,0.6794871794871795,0.4092664092664093,6394.871794871795
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[102, 104]",0.582,0.5748792270531401,0.4958333333333333,5348.792270531401
qda,{},"[102, 104]",0.596,0.6505681818181818,0.4490196078431372,6105.681818181818
nb,{'var_smoothing': 1e-09},"[102, 104]",0.603,0.6456692913385826,0.484251968503937,6056.692913385827
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[103, 100, 101]",0.62,0.6585365853658537,0.5294117647058824,5985.365853658537
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[103, 100, 101]",0.647,0.6553911205073996,0.62,5953.911205073996
qda,{},"[103, 100, 101]",0.648,0.6762589928057554,0.5651302605210421,6162.589928057554
nb,{'var_smoothing': 1e-09},"[103, 100, 101]",0.619,0.6481927710843374,0.5337301587301587,5881.9277108433735
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[105, 101]",0.582,0.6368876080691642,0.4307992202729044,5968.8760806916425
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[105, 101]",0.58,0.5839243498817966,0.5030549898167006,5439.243498817967
qda,{},"[105, 101]",0.632,0.6487935656836461,0.5052192066805845,6087.935656836461
nb,{'var_smoothing': 1e-09},"[105, 101]",0.617,0.6530612244897959,0.5089463220675944,6130.612244897959
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[104, 101]",0.559,0.5932642487046632,0.4463937621832358,5532.642487046632
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[104, 101]",0.585,0.6273885350318471,0.397979797979798,5873.885350318471
qda,{},"[104, 101]",0.578,0.608355091383812,0.4613861386138614,5683.55091383812
nb,{'var_smoothing': 1e-09},"[104, 101]",0.57,0.6289855072463768,0.4181117533718689,5889.855072463768
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[105, 101, 2]",0.602,0.6441102756892231,0.5009746588693957,5841.102756892231
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[105, 101, 2]",0.629,0.6168421052631579,0.6078838174273858,5568.421052631578
qda,{},"[105, 101, 2]",0.607,0.6,0.54375,5400.0
nb,{'var_smoothing': 1e-09},"[105, 101, 2]",0.622,0.6520618556701031,0.5100806451612904,5920.618556701031
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[9, 101, 103]",0.598,0.6405797101449275,0.4428857715430861,5805.797101449275
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[9, 101, 103]",0.604,0.6162790697674418,0.5342741935483871,5562.790697674419
qda,{},"[9, 101, 103]",0.611,0.6256038647342995,0.5253549695740365,5656.038647342995
nb,{'var_smoothing': 1e-09},"[9, 101, 103]",0.596,0.6095505617977528,0.450207468879668,5495.505617977528
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[2, 100]",0.567,0.6021897810218978,0.3374233128834356,5621.897810218978
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[2, 100]",0.594,0.6011560693641619,0.4369747899159664,5611.560693641619
qda,{},"[2, 100]",0.6,0.6344086021505376,0.472,5944.086021505376
nb,{'var_smoothing': 1e-09},"[2, 100]",0.599,0.648876404494382,0.4556213017751479,6088.76404494382
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[9, 102, 101]",0.633,0.67828418230563,0.506,6182.8418230563
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[9, 102, 101]",0.619,0.6790123456790124,0.5228136882129277,6190.123456790124
qda,{},"[9, 102, 101]",0.647,0.656934306569343,0.5601659751037344,5969.343065693431
nb,{'var_smoothing': 1e-09},"[9, 102, 101]",0.594,0.6272965879265092,0.4751491053677932,5672.965879265093
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[105, 104]",0.581,0.6005434782608695,0.4482758620689655,5605.434782608695
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[105, 104]",0.609,0.7040229885057471,0.4596622889305816,6640.229885057471
qda,{},"[105, 104]",0.615,0.6418732782369146,0.4774590163934426,6018.732782369147
nb,{'var_smoothing': 1e-09},"[105, 104]",0.597,0.6148148148148148,0.5020161290322581,5748.148148148148
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[101, 2]",0.587,0.6385542168674698,0.4198019801980198,5985.542168674699
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[101, 2]",0.565,0.5813953488372093,0.495049504950495,5413.9534883720935
qda,{},"[101, 2]",0.591,0.6052631578947368,0.4703476482617587,5652.631578947368
nb,{'var_smoothing': 1e-09},"[101, 2]",0.599,0.6057441253263708,0.4813278008298755,5657.441253263708
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[103, 9]",0.553,0.5815384615384616,0.378,5415.384615384615
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[103, 9]",0.571,0.6203966005665722,0.4260700389105058,5803.966005665722
qda,{},"[103, 9]",0.587,0.6267029972752044,0.4545454545454545,5867.029972752044
nb,{'var_smoothing': 1e-09},"[103, 9]",0.595,0.631578947368421,0.456,5915.78947368421
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[105, 9]",0.601,0.6445623342175066,0.4783464566929133,6045.623342175067
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[105, 9]",0.589,0.5934579439252337,0.5173116089613035,5534.579439252337
qda,{},"[105, 9]",0.609,0.6295336787564767,0.4949083503054989,5895.336787564767
nb,{'var_smoothing': 1e-09},"[105, 9]",0.588,0.6260869565217392,0.4328657314629258,5860.869565217392
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[104, 105]",0.592,0.6349614395886889,0.4814814814814814,5949.614395886889
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[104, 105]",0.581,0.6164772727272727,0.4331337325349301,5764.772727272727
qda,{},"[104, 105]",0.603,0.6182795698924731,0.4742268041237113,5782.795698924731
nb,{'var_smoothing': 1e-09},"[104, 105]",0.583,0.5777777777777777,0.4875,5377.777777777777
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[104, 105]",0.621,0.6536312849162011,0.4785276073619632,6136.312849162012
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[104, 105]",0.608,0.6451612903225806,0.48,6051.612903225806
qda,{},"[104, 105]",0.606,0.6338383838383839,0.502,5938.383838383838
nb,{'var_smoothing': 1e-09},"[104, 105]",0.576,0.6005089058524173,0.4691848906560636,5605.089058524173
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[9, 103, 101]",0.587,0.6130653266331658,0.4850894632206759,5530.653266331658
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[9, 103, 101]",0.622,0.6196868008948546,0.5711340206185567,5596.868008948546
qda,{},"[9, 103, 101]",0.6,0.6282051282051282,0.49,5682.051282051282
nb,{'var_smoothing': 1e-09},"[9, 103, 101]",0.583,0.6094986807387863,0.462,5494.986807387863
rf,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[100, 2]",0.591,0.595166163141994,0.4173728813559322,5551.66163141994
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 2]",0.582,0.5944444444444444,0.4403292181069959,5544.444444444444
qda,{},"[100, 2]",0.588,0.6301369863013698,0.4536489151873767,5901.369863013699
nb,{'var_smoothing': 1e-09},"[100, 2]",0.576,0.6155844155844156,0.4619883040935672,5755.844155844156
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[9, 102]",0.583,0.5880829015544041,0.468041237113402,5480.829015544041
svm,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","[9, 102]",0.613,0.6564245810055865,0.4709418837675351,6164.245810055865
qda,{},"[9, 102]",0.595,0.6102564102564103,0.4847250509164969,5702.564102564103
nb,{'var_smoothing': 1e-09},"[9, 102]",0.602,0.6229508196721312,0.4672131147540984,5829.508196721312
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[104, 101, 9]",0.621,0.6649874055415617,0.5176470588235295,6049.874055415617
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[104, 101, 9]",0.575,0.6219178082191781,0.4416342412451361,5619.178082191781
qda,{},"[104, 101, 9]",0.601,0.6205128205128205,0.4908722109533469,5605.128205128205
nb,{'var_smoothing': 1e-09},"[104, 101, 9]",0.613,0.6414141414141414,0.5090180360721442,5814.141414141414
rf,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[100, 101, 9]",0.626,0.6798941798941799,0.503921568627451,6198.941798941799
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 101, 9]",0.607,0.6480186480186481,0.5346153846153846,5880.18648018648
qda,{},"[100, 101, 9]",0.604,0.6328125,0.4879518072289157,5728.125
nb,{'var_smoothing': 1e-09},"[100, 101, 9]",0.594,0.659217877094972,0.4538461538461538,5992.17877094972
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[9, 101]",0.568,0.5645161290322581,0.4375,5245.161290322581
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[9, 101]",0.568,0.5681818181818182,0.4166666666666667,5281.818181818182
qda,{},"[9, 101]",0.56,0.5901639344262295,0.4268774703557312,5501.639344262295
nb,{'var_smoothing': 1e-09},"[9, 101]",0.598,0.6205962059620597,0.4663951120162933,5805.962059620597
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[9, 104, 105]",0.62,0.6493506493506493,0.5050505050505051,5893.506493506494
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[9, 104, 105]",0.619,0.6213333333333333,0.4936440677966102,5613.333333333333
qda,{},"[9, 104, 105]",0.646,0.65311004784689,0.5663900414937759,5931.100478468899
nb,{'var_smoothing': 1e-09},"[9, 104, 105]",0.618,0.6693333333333333,0.4931237721021611,6093.333333333333
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[100, 104, 103]",0.609,0.6478149100257069,0.4980237154150198,5878.149100257069
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 104, 103]",0.625,0.662870159453303,0.5617760617760618,6028.7015945330295
qda,{},"[100, 104, 103]",0.625,0.6473551637279596,0.5223577235772358,5873.551637279596
nb,{'var_smoothing': 1e-09},"[100, 104, 103]",0.628,0.6658163265306123,0.5199203187250996,6058.163265306123
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[102, 104, 9]",0.623,0.6521739130434783,0.5141129032258065,5921.739130434783
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[102, 104, 9]",0.633,0.6501128668171557,0.576,5901.128668171557
qda,{},"[102, 104, 9]",0.617,0.632183908045977,0.5522088353413654,5721.83908045977
nb,{'var_smoothing': 1e-09},"[102, 104, 9]",0.613,0.6318289786223278,0.5341365461847389,5718.289786223278
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[101, 100, 102]",0.655,0.6733780760626398,0.602,6133.780760626398
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[101, 100, 102]",0.65,0.6421267893660532,0.6421267893660532,5821.267893660532
