Model,hyperparameters,Features,Accuracy,Precision,Recall,Profit
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 102]",0.603,0.6420454545454546,0.45472837022132795,6020.454545454546
qda,{},"[100, 102]",0.623,0.6631016042780749,0.4969939879759519,6231.016042780749
nb,{'var_smoothing': 1e-09},"[100, 102]",0.587,0.6352040816326531,0.4797687861271676,5952.040816326531
rf,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[100, 103]",0.637,0.6934984520123839,0.45901639344262296,6534.9845201238395
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 103]",0.62,0.6897590361445783,0.4525691699604743,6497.590361445784
qda,{},"[100, 103]",0.615,0.6305418719211823,0.5213849287169042,5905.4187192118225
nb,{'var_smoothing': 1e-09},"[100, 103]",0.618,0.6503856041131105,0.5070140280561122,6103.8560411311055
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[100, 104]",0.594,0.6569767441860465,0.4396887159533074,6169.767441860465
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 104]",0.596,0.6105527638190955,0.49390243902439024,5705.527638190955
qda,{},"[100, 104]",0.59,0.6232686980609419,0.45090180360721444,5832.686980609419
nb,{'var_smoothing': 1e-09},"[100, 104]",0.588,0.599483204134367,0.47443762781186094,5594.8320413436695
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[100, 105]",0.622,0.6262135922330098,0.5352697095435685,5862.135922330098
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 105]",0.625,0.6582914572864321,0.5229540918163673,6182.914572864322
qda,{},"[100, 105]",0.598,0.6379310344827587,0.4457831325301205,5979.310344827587
nb,{'var_smoothing': 1e-09},"[100, 105]",0.62,0.6604774535809018,0.49700598802395207,6204.774535809018
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[100, 106]",0.564,0.6133828996282528,0.3319919517102616,5733.828996282527
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 106]",0.583,0.5920679886685553,0.4336099585062241,5520.679886685552
qda,{},"[100, 106]",0.567,0.6105610561056105,0.37,5705.610561056105
nb,{'var_smoothing': 1e-09},"[100, 106]",0.561,0.6121212121212121,0.3937621832358674,5721.212121212121
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[102, 103]",0.61,0.6530054644808743,0.4760956175298805,6130.0546448087425
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[102, 103]",0.586,0.6696969696969697,0.42015209125475284,6296.969696969697
qda,{},"[102, 103]",0.604,0.6430594900849859,0.4567404426559356,6030.594900849858
nb,{'var_smoothing': 1e-09},"[102, 103]",0.594,0.6436170212765957,0.4708171206225681,6036.170212765957
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[102, 104]",0.571,0.6216216216216216,0.36726546906187624,5816.216216216216
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[102, 104]",0.619,0.6666666666666666,0.4850894632206759,6266.666666666666
qda,{},"[102, 104]",0.579,0.6053333333333333,0.454,5653.333333333333
nb,{'var_smoothing': 1e-09},"[102, 104]",0.606,0.6009852216748769,0.5126050420168067,5609.852216748769
rf,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[102, 105]",0.597,0.6303030303030303,0.42535787321063395,5903.030303030302
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[102, 105]",0.615,0.6451612903225806,0.45454545454545453,6051.612903225806
qda,{},"[102, 105]",0.607,0.6514745308310992,0.48023715415019763,6114.745308310992
nb,{'var_smoothing': 1e-09},"[102, 105]",0.611,0.6586021505376344,0.4832347140039448,6186.021505376344
rf,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[102, 106]",0.572,0.6780487804878049,0.2774451097804391,6380.487804878049
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[102, 106]",0.534,0.5970695970695971,0.3140655105973025,5570.695970695971
qda,{},"[102, 106]",0.571,0.6064139941690962,0.41434262948207173,5664.139941690963
nb,{'var_smoothing': 1e-09},"[102, 106]",0.561,0.5786350148367952,0.39634146341463417,5386.350148367953
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[103, 104]",0.587,0.6202898550724638,0.4314516129032258,5802.898550724638
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[103, 104]",0.593,0.5915119363395226,0.4684873949579832,5515.119363395226
qda,{},"[103, 104]",0.58,0.6059782608695652,0.44779116465863456,5659.782608695652
nb,{'var_smoothing': 1e-09},"[103, 104]",0.575,0.5915119363395226,0.451417004048583,5515.119363395226
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[103, 105]",0.601,0.6578947368421053,0.4816955684007707,6178.947368421053
svm,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","[103, 105]",0.617,0.6359102244389028,0.5182926829268293,5959.102244389028
qda,{},"[103, 105]",0.588,0.6151832460732984,0.47,5751.832460732984
nb,{'var_smoothing': 1e-09},"[103, 105]",0.602,0.6263440860215054,0.4735772357723577,5863.440860215053
rf,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[103, 106]",0.562,0.6333333333333333,0.2692307692307692,5933.333333333333
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[103, 106]",0.526,0.572463768115942,0.30739299610894943,5324.63768115942
qda,{},"[103, 106]",0.556,0.5605095541401274,0.3651452282157676,5205.095541401274
nb,{'var_smoothing': 1e-09},"[103, 106]",0.545,0.5714285714285714,0.39603960396039606,5314.285714285714
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[104, 105]",0.592,0.6298507462686567,0.4262626262626263,5898.507462686567
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[104, 105]",0.599,0.6517571884984026,0.4112903225806452,6117.571884984026
qda,{},"[104, 105]",0.581,0.6852941176470588,0.42752293577981654,6452.941176470588
nb,{'var_smoothing': 1e-09},"[104, 105]",0.581,0.6606606606606606,0.41825095057034223,6206.606606606607
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[104, 106]",0.561,0.5986842105263158,0.36472945891783565,5586.842105263158
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[104, 106]",0.542,0.5555555555555556,0.41082164328657317,5155.555555555556
qda,{},"[104, 106]",0.541,0.6302816901408451,0.33583489681050654,5902.8169014084515
nb,{'var_smoothing': 1e-09},"[104, 106]",0.545,0.588957055214724,0.3742690058479532,5489.57055214724
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[105, 106]",0.579,0.6224489795918368,0.3711967545638945,5824.489795918367
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[105, 106]",0.57,0.6064690026954178,0.44204322200392926,5664.690026954178
qda,{},"[105, 106]",0.576,0.6201780415430267,0.41386138613861384,5801.780415430267
nb,{'var_smoothing': 1e-09},"[105, 106]",0.585,0.6366459627329193,0.40755467196819084,5966.459627329193
