Dataset,Method,Split,Accuracy,Iterations,History
breast_cancer_wisconsin_original,IWLS,0.1,0.9456521739130435,8.0,"[0.6931471805599453, 0.2166210628934026, 0.12845885737600837, 0.09636502839805443, 0.0858382108569413, 0.0834983592201796, 0.08332757052392645, 0.08332622693895034]"
breast_cancer_wisconsin_original,SGD,0.1,0.9456521739130435,86.0,"[0.6931471805599453, 0.15543621681892533, 0.1171591493616953, 0.10392841353259799, 0.0974019142460771, 0.09359797017115382, 0.09115232727247687, 0.08947438969788528, 0.08826847727972194, 0.08737100349429505, 0.08668459349642225, 0.0861479467611235, 0.08572072502236197, 0.08537541252583197, 0.08509267267578399, 0.08485857134204235, 0.08466284962824819, 0.08449781286403582, 0.08435759509009856, 0.08423765978339595, 0.08413445341592322, 0.08404516034464371, 0.08396752636409088, 0.0838997296984634, 0.08384028534740641, 0.0837879732549457, 0.08374178373976181, 0.08370087559679541, 0.0836645436126164, 0.0836321931517481, 0.08360332010831088, 0.0835774949671529, 0.08355435004010694, 0.0835335691754309, 0.0835148794083003, 0.08349804414555526, 0.08348285757124878, 0.08346914002968457, 0.08345673419575984, 0.08344550188298773, 0.08343532137075306, 0.08342608515648356, 0.08341769805723723, 0.0834100755999278, 0.08340314265103421, 0.08339683224585513, 0.08339108458468618, 0.08338584616919531, 0.08338106905697681, 0.08337671021608908, 0.08337273096448143, 0.08336909648173513, 0.08336577538260644, 0.0833627393435622, 0.08335996277488578, 0.08335742253209245, 0.08335509766135207, 0.08335296917440742, 0.08335101984915515, 0.08334923405259885, 0.08334759758337015, 0.08334609753139258, 0.0833447221526089, 0.08334346075697181, 0.08334230360813068, 0.08334124183347154, 0.08334026734331912, 0.08333937275827909, 0.0833385513438119, 0.08333779695125823, 0.08333710396461333, 0.0833364672524444, 0.08333588212440737, 0.08333534429189011, 0.08333484983236096, 0.08333439515703896, 0.08333397698156514, 0.08333359229936915, 0.08333323835746631, 0.08333291263445852, 0.08333261282051398, 0.08333233679914774, 0.08333208263062443, 0.0833318485368391, 0.08333163288752743, 0.08333143418769758]"
breast_cancer_wisconsin_original,Adam,0.1,0.9456521739130435,500.0,"[0.6931471805599453, 0.6757739686550137, 0.6588093942019607, 0.642259150426588, 0.6261276905354682, 0.6104182081762217, 0.5951326378534393, 0.5802716741476296, 0.5658348079083736, 0.5518203771020785, 0.5382256297041413, 0.5250467959262395, 0.5122791671350111, 0.4999171790107582, 0.48795449677241254, 0.47638410061841213, 0.46519836986905816, 0.4543891646192047, 0.44394790400406753, 0.4338656404363332, 0.4241331293864237, 0.4147408944508365, 0.4056792875896679, 0.39693854451890503, 0.38850883532130165, 0.3803803103969246, 0.3725431419153984, 0.3649875609603715, 0.3577038905758854, 0.3506825749365222, 0.3439142048702328, 0.33738953996589754, 0.33109952749787347, 0.32503531839769356, 0.3191882804991741, 0.31355000927779086, 0.30811233629856305, 0.3028673355790452, 0.2978073280655423, 0.2929248844114994, 0.28821282623731614, 0.2836642260407454, 0.2792724059166873, 0.27503093523470584, 0.27093362741210647, 0.2669745359100069, 0.26314794956962395, 0.25944838739605725, 0.2558705928872491, 0.2524095279965996, 0.24906036680895532, 0.2458184890014096, 0.24267947315256475, 0.23963908995663888, 0.23669329539203823, 0.23383822388777734, 0.23107018152538375, 0.22838563930867542, 0.22578122652901905, 0.22325372424934373, 0.22080005892628204, 0.21841729618630246, 0.21610263476856956, 0.21385340064448471, 0.2116670413213989, 0.209541120335826, 0.2074733119395908, 0.20546139598069987, 0.2035032529793008, 0.20159685939787556, 0.19974028310377637, 0.1979316790213391, 0.19616928497007774, 0.19445141768486934, 0.19277646901355008, 0.19114290228696384, 0.18954924885620725, 0.1879941047916019, 0.1864761277377724, 0.1849940339191194, 0.18354659528993608, 0.18213263682341788, 0.180751033933854, 0.17940071002635766, 0.1780806341685862, 0.17678981887901757, 0.17552731802648017, 0.17429222483577894, 0.17308366999441657, 0.17190081985556943, 0.17074287473264968, 0.16960906728095315, 0.16849866096206884, 0.1674109485868992, 0.1663452509333124, 0.16530091543462003, 0.1642773149352422, 0.16327384651008522, 0.1622899303443212, 0.161325008670412, 0.16037854475937502, 0.15945002196343283, 0.1585389428073318, 0.1576448281257511, 0.15676721624435322, 0.15590566220215604, 0.15505973701302264, 0.15422902696418406, 0.15341313294981787, 0.15261166983781116, 0.15182426586793638, 0.15105056207976367, 0.15029021176872312, 0.14954287996881793, 0.14880824296056863, 0.14808598780284857, 0.1473758118873422, 0.14667742251442803, 0.1459905364893548, 0.14531487973763954, 0.14465018693867798, 0.14399620117661088, 0.1433526736075451, 0.14271936314227554, 0.1420960361437032, 0.14148246613818805, 0.14087843354011798, 0.14028372538901332, 0.13969813509852663, 0.13912146221672958, 0.1385535121971142, 0.13799409617976657, 0.1374430307822005, 0.13690013789936725, 0.13636524451238277, 0.13583818250554028, 0.1353187884911979, 0.13480690364215456, 0.1343023735311473, 0.1338050479771232, 0.13331478089795826, 0.1328314301693118, 0.13235485748932252, 0.13188492824886824, 0.13142151140712452, 0.13096447937217293, 0.13051370788642197, 0.1300690759166161, 0.12963046554821994, 0.12919776188397675, 0.12877085294644797, 0.12834962958435475, 0.127933985382547, 0.12752381657543777, 0.12711902196374736, 0.12671950283440947, 0.12632516288350035, 0.1259359081420564, 0.12555164690465542, 0.12517228966064028, 0.12479774902787118, 0.12442793968889813, 0.12406277832944912, 0.12370218357913765, 0.12334607595429362, 0.12299437780283058, 0.1226470132510629, 0.12230390815239336, 0.12196499003779232, 0.12163018806799734, 0.12129943298736112, 0.12097265707928262, 0.12064979412315667, 0.1203307793527815, 0.12001554941616718, 0.11970404233668794, 0.11939619747552714, 0.11909195549536361, 0.11879125832525116, 0.11849404912664545, 0.11820027226053427, 0.11790987325562872, 0.11762279877757538, 0.11733899659915108, 0.11705841557140285, 0.11678100559569858, 0.11650671759665411, 0.11623550349590436, 0.11596731618668821, 0.11570210950921672, 0.11543983822679672, 0.11518045800268267, 0.11492392537763013, 0.1146701977481263, 0.11441923334527385, 0.11417099121430407, 0.11392543119469846, 0.11368251390089659, 0.11344220070357043, 0.11320445371144536, 0.11296923575364937, 0.11273651036257198, 0.11250624175721609, 0.11227839482702566, 0.11205293511617362, 0.11182982880829427, 0.11160904271164558, 0.11139054424468738, 0.11117430142206124, 0.11096028284095932, 0.11074845766786935, 0.11053879562568358, 0.1103312669811599, 0.11012584253272405, 0.10992249359860147, 0.10972119200526935, 0.1095219100762175, 0.10932462062100919, 0.10912929692463251, 0.10893591273713255, 0.10874444226351658, 0.1085548601539233, 0.10836714149404772, 0.10818126179581487, 0.10799719698829373, 0.10781492340884465, 0.10763441779449316, 0.10745565727352335, 0.10727861935728403, 0.1071032819322018, 0.10692962325199461, 0.10675762193007979, 0.10658725693217122, 0.1064185075690598, 0.10625135348957207, 0.10608577467370163, 0.10592175142590876, 0.10575926436858292, 0.10559829443566393, 0.10543882286641686, 0.10528083119935701, 0.10512430126631972, 0.10496921518667193, 0.10481555536166094, 0.10466330446889667, 0.10451244545696406, 0.10436296154016127, 0.10421483619336118, 0.10406805314699201, 0.10392259638213418, 0.1037784501257304, 0.10363559884590554, 0.1034940272473936, 0.10335372026706875, 0.10321466306957822, 0.10307684104307291, 0.10294023979503529, 0.10280484514819978, 0.10267064313656489, 0.10253762000149386, 0.10240576218790158, 0.10227505634052579, 0.10214548930028033, 0.10201704810068811, 0.10188971996439193, 0.10176349229974128, 0.10163835269745287, 0.10151428892734321, 0.10139128893513166, 0.10126934083931143, 0.10114843292808796, 0.10102855365638179, 0.10090969164289505, 0.10079183566724018, 0.10067497466712855, 0.10055909773561804, 0.10044419411841832, 0.10033025321125175, 0.10021726455726929, 0.1001052178445197, 0.09999410290347044, 0.09988390970457983, 0.09977462835591853, 0.0996662491008396, 0.09955876231569548, 0.0994521585076015, 0.09934642831224419, 0.0992415624917335, 0.09913755193249822, 0.09903438764322331, 0.09893206075282764, 0.0988305625084828, 0.09872988427366992, 0.09863001752627544, 0.0985309538567237, 0.09843268496614639, 0.09833520266458727, 0.09823849886924194, 0.09814256560273159, 0.09804739499140996, 0.09795297926370271, 0.09785931074847895, 0.09776638187345342, 0.09767418516361918, 0.09758271323971014, 0.09749195881669248, 0.09740191470228464, 0.09731257379550486, 0.09722392908524602, 0.09713597364887719, 0.09704870065087093, 0.09696210334145618, 0.09687617505529598, 0.0967909092101898, 0.09670629930579906, 0.09662233892239666, 0.09653902171963888, 0.09645634143536004, 0.09637429188438841, 0.09629286695738401, 0.09621206061969736, 0.09613186691024829, 0.09605227994042528, 0.09597329389300434, 0.09589490302108691, 0.09581710164705703, 0.09573988416155652, 0.09566324502247849, 0.09558717875397862, 0.0955116799455035, 0.09543674325083629, 0.09536236338715862, 0.09528853513412944, 0.09521525333297896, 0.09514251288561903, 0.09507030875376837, 0.09499863595809316, 0.094927489577362, 0.0948568647476155, 0.09478675666135034, 0.09471716056671642, 0.09464807176672825, 0.09457948561848939, 0.09451139753243014, 0.0944438029715577, 0.0943766974507193, 0.09431007653587728, 0.09424393584339626, 0.0941782710393427, 0.09411307783879524, 0.09404835200516677, 0.09398408934953814, 0.0939202857300019, 0.09385693705101764, 0.09379403926277723, 0.09373158836058085, 0.09366958038422275, 0.09360801141738744, 0.09354687758705504, 0.09348617506291695, 0.09342590005680017, 0.0933660488221012, 0.09330661765322922, 0.0932476028850576, 0.09318900089238451, 0.09313080808940208, 0.09307302092917383, 0.09301563590312034, 0.09295864954051307, 0.09290205840797612, 0.0928458591089958, 0.0927900482834376, 0.09273462260707145, 0.09267957879110325, 0.09262491358171429, 0.09257062375960823, 0.09251670613956386, 0.0924631575699959, 0.0924099749325218, 0.09235715514153563, 0.092304695143788, 0.09225259191797276, 0.09220084247432007, 0.09214944385419487, 0.0920983931297025, 0.09204768740329944, 0.09199732380741009, 0.09194729950404962, 0.091897611684452, 0.0918482575687039, 0.09179923440538383, 0.09175053947120705, 0.09170217007067491, 0.09165412353573026, 0.09160639722541745, 0.09155898852554747, 0.09151189484836798, 0.09146511363223796, 0.0914186423413077, 0.09137247846520258, 0.09132661951871239, 0.09128106304148415, 0.09123580659772047, 0.09119084777588132, 0.09114618418839054, 0.09110181347134631, 0.09105773328423655, 0.09101394130965682, 0.09097043525303421, 0.09092721284235326, 0.09088427182788715, 0.09084160998193223, 0.09079922509854602, 0.090757114993289, 0.09071527750297077, 0.09067371048539855, 0.09063241181913023, 0.09059137940323034, 0.09055061115702923, 0.09051010501988646, 0.09046985895095656, 0.09042987092895838, 0.09039013895194786, 0.09035066103709345, 0.090311435220455, 0.0902724595567654, 0.09023373211921569, 0.09019525099924237, 0.0901570143063183, 0.09011902016774592, 0.09008126672845365, 0.09004375215079476, 0.0900064746143494, 0.0899694323157286, 0.08993262346838149, 0.0898960463024049, 0.08985969906435541, 0.08982358001706427, 0.08978768743945419, 0.08975201962635898, 0.089716574888346, 0.08968135155153971, 0.08964634795744886, 0.08961156246279511, 0.08957699343934442, 0.08954263927374038, 0.08950849836733961, 0.08947456913604966, 0.08944085001016891, 0.08940733943422838, 0.08937403586683555, 0.08934093778052073, 0.08930804366158476, 0.0892753520099491, 0.08924286133900758, 0.08921057017548042, 0.0891784770592696, 0.0891465805433168, 0.08911487919346212, 0.08908337158830579, 0.08905205631907095, 0.08902093198946788, 0.08898999721556076, 0.08895925062563581, 0.08892869086007038, 0.08889831657120507, 0.08886812642321616, 0.08883811909199045, 0.0888082932650012, 0.08877864764118575, 0.08874918093082525, 0.08871989185542443, 0.08869077914759504, 0.08866184155093815, 0.08863307781993035, 0.08860448671980936, 0.08857606702646284, 0.08854781752631677, 0.08851973701622694, 0.08849182430337006, 0.08846407820513794, 0.08843649754903153, 0.0884090811725567, 0.08838182792312213, 0.08835473665793668, 0.08832780624391007, 0.08830103555755309, 0.0882744234848795, 0.08824796892130991, 0.08822167077157539, 0.08819552794962383, 0.08816953937852585, 0.08814370399038295, 0.08811802072623635, 0.088092488535977, 0.08806710637825627, 0.08804187322039875, 0.08801678803831431, 0.0879918498164135, 0.08796705754752154]"
breast_cancer_wisconsin_original,LDA,0.1,0.9456521739130435,,
breast_cancer_wisconsin_original,QDA,0.1,0.9347826086956521,,
breast_cancer_wisconsin_original,DecisionTree,0.1,0.9347826086956521,,
breast_cancer_wisconsin_original,RandomForest,0.1,0.9673913043478262,,
breast_cancer_wisconsin_original,IWLS,0.15,0.9529680365296804,8.0,"[0.6931471805599453, 0.2174587635162381, 0.12907172078620663, 0.09695873812974291, 0.08656689691674986, 0.08429315982657477, 0.08412802064504321, 0.08412685257616795]"
breast_cancer_wisconsin_original,SGD,0.15,0.9529680365296804,88.0,"[0.6931471805599453, 0.1584504908549187, 0.11929238380622309, 0.10563510444513849, 0.0988622343533208, 0.09489892329027547, 0.09234270040764432, 0.09058443746254836, 0.08931831761997207, 0.08837469874825574, 0.08765234027646052, 0.08708734477986109, 0.08663755846995723, 0.0862741555766378, 0.0859768300046062, 0.0857309153051326, 0.0855255901487651, 0.08535272200716834, 0.08520610024292173, 0.08508091453411043, 0.08497339224647377, 0.08488054135050817, 0.08479996497028296, 0.08472972550536387, 0.08466824366696048, 0.08461422249682783, 0.08456658952155797, 0.0845244522455307, 0.08448706357308682, 0.08445379470400086, 0.08442411371132187, 0.08439756848067878, 0.08437377302653933, 0.0843523964444202, 0.08433315393625532, 0.08431579947782551, 0.08430011979540604, 0.08428592939273194, 0.08427306642549177, 0.08426138926345406, 0.08425077361338008, 0.08424111010150781, 0.08423230223438594, 0.08422426467255717, 0.08421692176399895, 0.0842102062940785, 0.084204058416672, 0.08419842473738307, 0.08419325752492127, 0.08418851403079729, 0.0841841559008686, 0.08418014866499407, 0.08417646129330099, 0.08417306580943543, 0.08416993695266767, 0.0841670518820064, 0.08416438991651708, 0.08416193230692955, 0.08415966203433557, 0.08415756363240219, 0.08415562303005236, 0.08415382741197582, 0.08415216509473518, 0.08415062541650843, 0.0841491986388136, 0.08414787585874613, 0.08414664893049369, 0.08414551039502358, 0.08414445341700039, 0.08414347172810764, 0.08414255957604747, 0.08414171167858805, 0.08414092318210518, 0.08414018962412526, 0.08413950689945175, 0.08413887122948531, 0.08413827913441241, 0.0841377274079626, 0.08413721309447766, 0.08413673346805202, 0.08413628601355275, 0.08413586840931561, 0.08413547851137568, 0.08413511433906475, 0.08413477406186355, 0.08413445598737737, 0.08413415855034105, 0.08413388030254779]"
breast_cancer_wisconsin_original,Adam,0.15,0.9529680365296804,500.0,"[0.6931471805599453, 0.6757248050304884, 0.6587130186883654, 0.6421175702099289, 0.6259429807228248, 0.6101925224181611, 0.5948682163607941, 0.5799708485307016, 0.5655000024875435, 0.5514541065706198, 0.5378304932439225, 0.5246254680666701, 0.5118343857929545, 0.49945173124874864, 0.4874712028648063, 0.47588579702495853, 0.4646878916905284, 0.45386932805907976, 0.4434214892927361, 0.43333537559770935, 0.42360167514787633, 0.4142108305207186, 0.4051531004559615, 0.3964186168595939, 0.3879974370630801, 0.3798795914139407, 0.3720551263235945, 0.36451414293493284, 0.3572468315984703, 0.35024350236437146, 0.3434946117099923, 0.3369907857301314, 0.3307228400209704, 0.32468179648944434, 0.3188588973180736, 0.3132456163115563, 0.3078336678459838, 0.30261501363470983, 0.29758186751690574, 0.29272669846589183, 0.28804223200466045, 0.2835214502057685, 0.2791575904421635, 0.27494414304466863, 0.27087484801093226, 0.26694369089977993, 0.26314489803419966, 0.2594729311257464, 0.2559224814230452, 0.25248846347738096, 0.24916600860912042, 0.2459504581499802, 0.24283735652793653, 0.23982244425390165, 0.2369016508621618, 0.2340710878499849, 0.2313270416557556, 0.22866596670945927, 0.2260844785843026, 0.22357934727369771, 0.22114749061373246, 0.2187859678675613, 0.21649197348486923, 0.214262831046638, 0.21209598740286947, 0.2099890070086528, 0.20793956646198541, 0.20594544924503702, 0.20400454066906695, 0.20211482302193332, 0.20027437091605846, 0.19848134683380847, 0.1967339968664938, 0.19503064664258174, 0.1933696974402158, 0.19174962247874816, 0.19016896338369343, 0.18862632681929703, 0.1871203812827653, 0.18564985405411974, 0.18421352829560403, 0.1828102402945846, 0.1814388768439343, 0.18009837275396703, 0.17878770849009967, 0.17750590793054327, 0.1762520362384695, 0.17502519784325762, 0.17382453452559435, 0.1726492236013735, 0.17149847619952552, 0.1703715356290881, 0.16926767583101654, 0.1681861999104164, 0.16712643874506466, 0.16608774966626894, 0.1650695152082894, 0.1640711419227265, 0.16309205925444337, 0.16213171847576058, 0.16118959167581834, 0.16026517080215644, 0.15935796675171204, 0.15846750850857608, 0.15759334232598968, 0.15673503095019073, 0.1558921528838479, 0.15506430168693972, 0.15425108531305115, 0.15345212547916812, 0.15266705706715644, 0.15189552755520896, 0.15113719647763965, 0.15039173491149166, 0.14965882498851224, 0.1489381594311264, 0.14822944111111794, 0.14753238262979768, 0.14684670591850787, 0.14617214185837474, 0.14550842991828308, 0.1448553178101036, 0.14421256116025802, 0.14357992319675894, 0.14295717445090902, 0.14234409247288934, 0.1417404615605115, 0.1411460725004472, 0.14056072232128733, 0.13998421405781983, 0.13941635652594866, 0.13885696410770892, 0.13830585654586228, 0.13776285874758767, 0.13722780059680642, 0.136700516774708, 0.1361808465880666, 0.13566863380495933, 0.13516372649752112, 0.13466597689138757, 0.13417524122149999, 0.13369137959396094, 0.1332142558536475, 0.1327437374573047, 0.13227969535185632, 0.13182200385768372, 0.1313705405566384, 0.13092518618456406, 0.1304858245281169, 0.1300523423256852, 0.12962462917221637, 0.1292025774277737, 0.12878608212965018, 0.1283750409078792, 0.12796935390398761, 0.12756892369284586, 0.12717365520747667, 0.12678345566669139, 0.12639823450542867, 0.12601790330767754, 0.1256423757418717, 0.12527156749864907, 0.12490539623087353, 0.12454378149582294, 0.12418664469945133, 0.1238339090426373, 0.12348549946933568, 0.12314134261655275, 0.12280136676606948, 0.12246550179784124, 0.1221336791450045, 0.12180583175042595, 0.12148189402473136, 0.12116180180575434, 0.12084549231934907, 0.12053290414151258, 0.12022397716176411, 0.1199186525477337, 0.11961687271091179, 0.11931858127351527, 0.11902372303642696, 0.11873224394816755, 0.11844409107486045, 0.11815921257115237, 0.11787755765205327, 0.11759907656566193, 0.11732372056674366, 0.11705144189112898, 0.11678219373090327, 0.1165159302103581, 0.116252606362677, 0.11599217810732919, 0.11573460222814559, 0.11547983635205275, 0.11522783892844198, 0.11497856920915067, 0.11473198722903434, 0.11448805378710936, 0.1142467304282462, 0.11400797942539398, 0.11377176376231866, 0.11353804711683711, 0.11330679384452999, 0.11307796896291786, 0.11285153813608433, 0.1126274676597319, 0.11240572444665604, 0.11218627601262297, 0.11196909046263927, 0.11175413647759914, 0.11154138330129797, 0.11133080072779987, 0.11112235908914808, 0.11091602924340718, 0.11071178256302651, 0.1105095909235145, 0.11030942669241461, 0.11011126271857298, 0.10991507232168839, 0.10972082928213693, 0.10952850783106151, 0.10933808264071904, 0.10914952881507718, 0.10896282188065247, 0.10877793777758359, 0.10859485285093169, 0.10841354384220188, 0.10823398788107803, 0.1080561624773661, 0.10788004551313846, 0.1077056152350742, 0.10753285024698925, 0.10736172950255075, 0.10719223229817067, 0.1070243382660731, 0.10685802736753057, 0.10669327988626413, 0.10653007642200318, 0.10636839788419952, 0.10620822548589268, 0.10604954073772056, 0.10589232544207294, 0.10573656168738284, 0.10558223184255196, 0.10542931855150742, 0.10527780472788482, 0.10512767354983533, 0.1049789084549527, 0.10483149313531709, 0.10468541153265327, 0.10454064783359866, 0.10439718646507964, 0.10425501208979245, 0.1041141096017865, 0.10397446412214653, 0.10383606099477187, 0.1036988857822497, 0.10356292426182015, 0.10342816242143081, 0.10329458645587783, 0.10316218276303245, 0.10303093794014949, 0.10290083878025677, 0.10277187226862262, 0.10264402557930004, 0.10251728607174511, 0.10239164128750838, 0.10226707894699653, 0.10214358694630338, 0.10202115335410812, 0.10189976640863924, 0.10177941451470206, 0.10166008624076912, 0.10154177031613128, 0.10142445562810809, 0.10130813121931617, 0.10119278628499422, 0.10107841017038313, 0.10096499236815974, 0.10085252251592336, 0.1007409903937336, 0.10063038592169789, 0.10052069915760832, 0.100411920294626, 0.10030403965901188, 0.10019704770790312, 0.10009093502713402, 0.0999856923291003, 0.09988131045066548, 0.09977778035110896, 0.09967509311011445, 0.09957323992579802, 0.09947221211277413, 0.0993720011002605, 0.09927259843021874, 0.09917399575553168, 0.09907618483821537, 0.09897915754766637, 0.09888290585894151, 0.09878742185107148, 0.09869269770540601, 0.09859872570399093, 0.09850549822797557, 0.09841300775605044, 0.09832124686291413, 0.0982302082177693, 0.09813988458284637, 0.09805026881195493, 0.09796135384906227, 0.09787313272689777, 0.09778559856558336, 0.09769874457128921, 0.0976125640349139, 0.09752705033078879, 0.0974421969154062, 0.09735799732617043, 0.0972744451801715, 0.09719153417298117, 0.09710925807747042, 0.09702761074264843, 0.09694658609252209, 0.09686617812497615, 0.09678638091067278, 0.09670718859197133, 0.09662859538186673, 0.09655059556294665, 0.09647318348636727, 0.09639635357084662, 0.09632010030167595, 0.09624441822974777, 0.09616930197060151, 0.09609474620348495, 0.09602074567043244, 0.09594729517535862, 0.09587438958316809, 0.09580202381887991, 0.09573019286676741, 0.09565889176951235, 0.09558811562737354, 0.09551785959736993, 0.0954481188924768, 0.09537888878083589, 0.0953101645849788, 0.09524194168106351, 0.09517421549812294, 0.09510698151732724, 0.09504023527125713, 0.09497397234318987, 0.09490818836639718, 0.09484287902345423, 0.09477804004556026, 0.09471366721187044, 0.09464975634883845, 0.09458630332956958, 0.09452330407318502, 0.09446075454419563, 0.09439865075188635, 0.09433698874971047, 0.09427576463469337, 0.09421497454684635, 0.094154614668589, 0.09409468122418166, 0.0940351704791664, 0.09397607873981706, 0.0939174023525977, 0.09385913770362989, 0.09380128121816866, 0.0937438293600859, 0.09368677863136231, 0.09363012557158754, 0.09357386675746758, 0.09351799880233998, 0.09346251835569708, 0.09340742210271573, 0.09335270676379494, 0.0932983690941003, 0.0932444058831157, 0.09319081395420153, 0.09313759016415996, 0.09308473140280661, 0.09303223459254875, 0.09298009668797014, 0.09292831467542192, 0.0928768855726194, 0.09282580642824569, 0.09277507432156044, 0.09272468636201504, 0.09267463968887318, 0.09262493147083732, 0.09257555890568046, 0.09252651921988375, 0.09247780966827879, 0.09242942753369618, 0.09238137012661829, 0.09233363478483765, 0.09228621887312026, 0.09223911978287394, 0.09219233493182079, 0.09214586176367574, 0.0920996977478284, 0.0920538403790305, 0.09200828717708727, 0.09196303568655351, 0.0919180834764338, 0.09187342813988772, 0.09182906729393803, 0.09178499857918432, 0.09174121965951981, 0.09169772822185257, 0.0916545219758308, 0.0916115986535717, 0.09156895600939433, 0.09152659181955612, 0.0914845038819933, 0.09144269001606474, 0.0914011480622994, 0.09135987588214749, 0.09131887135773487, 0.0912781323916209, 0.09123765690655994, 0.09119744284526558, 0.09115748817017881, 0.09111779086323855, 0.09107834892565621, 0.09103916037769272, 0.09100022325843901, 0.09096153562559905, 0.09092309555527617, 0.09088490114176229, 0.0908469504973297, 0.09080924175202638, 0.09077177305347267, 0.09073454256666255, 0.09069754847376597, 0.09066078897393476, 0.0906242622831107, 0.09058796663383657, 0.09055190027506911, 0.09051606147199504, 0.09048044850584917, 0.09044505967373526, 0.09040989328844862, 0.09037494767830202, 0.09034022118695273, 0.0903057121732327, 0.09027141901098087, 0.09023734008887706, 0.09020347381027898, 0.09016981859306028, 0.0901363728694516, 0.09010313508588326, 0.09007010370283026, 0.09003727719465869, 0.09000465404947472, 0.08997223276897544, 0.08994001186830121, 0.08990798987589067, 0.08987616533333649, 0.08984453679524407, 0.08981310282909136, 0.08978186201509068, 0.08975081294605246, 0.08971995422725015, 0.0896892844762874, 0.08965880232296682, 0.08962850640916005, 0.08959839538867982, 0.08956846792715363, 0.08953872270189844, 0.08950915840179774, 0.0894797737271796, 0.08945056738969645, 0.08942153811220616, 0.08939268462865496, 0.08936400568396118, 0.08933550003390106, 0.08930716644499609, 0.08927900369440055, 0.08925101056979176, 0.08922318586926109, 0.08919552840120626, 0.08916803698422511, 0.08914071044701079, 0.08911354762824751, 0.08908654737650845, 0.0890597085501548, 0.08903303001723514, 0.089006510655387, 0.08898014935173912, 0.08895394500281525, 0.08892789651443855, 0.08890200280163756, 0.0888762627885531, 0.08885067540834658, 0.08882523960310908, 0.08879995432377119, 0.08877481853001516, 0.08874983119018633, 0.08872499128120737, 0.08870029778849194]"
