feature_selector,feature_selector_params,classifier,classifier_params,n_features,accuracy,accuracy_top_20pc,elapsed_time
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",1,0.516,0.505,0.3451216220855713
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",1,0.503,0.48,0.34575676918029785
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 0.5}",1,0.517,0.45,0.2805194854736328
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 1}",1,0.516,0.49,0.32715272903442383
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 0.5}",1,0.516,0.505,0.47340965270996094
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 1}",1,0.509,0.495,0.6558315753936768
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 0.5}",1,0.505,0.495,0.5556151866912842
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 1}",1,0.51,0.455,0.6272785663604736
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",1,0.546,0.59,7.572531700134277
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",1,0.542,0.58,7.580063104629517
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 0.5}",1,0.54,0.585,7.551737308502197
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 1}",1,0.536,0.58,7.50876784324646
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 0.5}",1,0.554,0.61,7.539774656295776
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 1}",1,0.531,0.57,7.753118276596069
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 0.5}",1,0.53,0.575,7.587191820144653
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 1}",1,0.524,0.575,7.7505714893341064
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",4,0.481,0.45,0.5217618942260742
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",4,0.484,0.49,0.7820994853973389
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 0.5}",4,0.496,0.485,0.48347020149230957
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 1}",4,0.489,0.495,0.7609782218933105
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 0.5}",4,0.496,0.485,0.9448668956756592
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 1}",4,0.494,0.485,1.4639244079589844
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 0.5}",4,0.499,0.555,0.9251208305358887
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 1}",4,0.5,0.5,1.4790375232696533
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",4,0.547,0.605,7.621863603591919
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",4,0.549,0.595,7.9106152057647705
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 0.5}",4,0.555,0.645,7.585623025894165
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 1}",4,0.551,0.61,7.87631368637085
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 0.5}",4,0.54,0.605,7.994807004928589
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 1}",4,0.555,0.585,8.550244331359863
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 0.5}",4,0.552,0.59,8.054257869720459
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 1}",4,0.547,0.58,8.580460548400879
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",7,0.515,0.515,0.6825919151306152
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",7,0.507,0.53,1.2370643615722656
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 0.5}",7,0.543,0.525,0.689873218536377
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 1}",7,0.51,0.54,1.2534196376800537
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 0.5}",7,0.513,0.545,1.3669791221618652
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 1}",7,0.501,0.565,2.386286973953247
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 0.5}",7,0.496,0.575,1.3561890125274658
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 1}",7,0.503,0.525,2.3617076873779297
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",7,0.558,0.63,7.849134922027588
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",7,0.552,0.575,8.373468160629272
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 0.5}",7,0.546,0.59,7.854757308959961
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 1}",7,0.546,0.58,8.319122552871704
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 0.5}",7,0.53,0.6,8.599430084228516
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 1}",7,0.551,0.575,9.566583395004272
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 0.5}",7,0.533,0.535,8.519238948822021
SelectKBest,{'score_func': 'mutual_info_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.2, 'subsample': 1}",7,0.551,0.565,9.488820552825928
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 0.5}",10,0.522,0.535,0.9269781112670898
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.1, 'subsample': 1}",10,0.534,0.53,1.6876459121704102
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 0.5}",10,0.517,0.51,0.9036531448364258
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 100, 'learning_rate': 0.2, 'subsample': 1}",10,0.519,0.53,1.6544396877288818
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 0.5}",10,0.512,0.53,1.7593343257904053
SelectKBest,{'score_func': 'f_classif'},GradientBoostingClassifier,"{'n_estimators': 200, 'learning_rate': 0.1, 'subsample': 1}",10,0.537,0.54,3.2741050720214844
