feature_selector,feature_selector_params,classifier,classifier_params,n_features,accuracy,accuracy_std,accuracy_top_20pc,elapsed_time
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 3, 'max_depth': 6, 'tree_method': 'auto'}",1,0.5596666666666666,0.004714045207910269,0.6483333333333333,0.39840515454610187
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 3, 'max_depth': 6, 'tree_method': 'hist'}",1,0.5596666666666666,0.004714045207910269,0.6483333333333333,0.40686813990275067
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 3, 'max_depth': 6, 'tree_method': 'approx'}",1,0.5596666666666666,0.004714045207910269,0.6483333333333333,0.7257402737935384
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 3, 'max_depth': 10, 'tree_method': 'auto'}",1,0.539,0.008485281374238578,0.61,0.6964858373006185
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 3, 'max_depth': 10, 'tree_method': 'hist'}",1,0.539,0.008485281374238578,0.61,0.6989376544952393
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 3, 'max_depth': 10, 'tree_method': 'approx'}",1,0.5396666666666667,0.007542472332656513,0.6066666666666666,1.2902143796284993
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 5, 'max_depth': 2, 'tree_method': 'auto'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.2547699610392253
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 5, 'max_depth': 2, 'tree_method': 'hist'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.27323110898335773
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 5, 'max_depth': 2, 'tree_method': 'approx'}",1,0.5503333333333333,0.005436502143433369,0.6116666666666667,0.5388218561808268
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 5, 'max_depth': 6, 'tree_method': 'auto'}",1,0.5696666666666667,0.008653836657164746,0.6633333333333334,0.3902742067972819
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 5, 'max_depth': 6, 'tree_method': 'hist'}",1,0.5696666666666667,0.008653836657164746,0.6633333333333334,0.39882318178812665
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 5, 'max_depth': 6, 'tree_method': 'approx'}",1,0.5696666666666667,0.008653836657164746,0.6633333333333334,0.7101373672485352
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 5, 'max_depth': 10, 'tree_method': 'auto'}",1,0.5523333333333333,0.01249888883950176,0.625,0.6340564092000326
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 5, 'max_depth': 10, 'tree_method': 'hist'}",1,0.5523333333333333,0.01249888883950176,0.625,0.6288151741027832
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 10, 'min_child_weight': 5, 'max_depth': 10, 'tree_method': 'approx'}",1,0.5523333333333333,0.01249888883950176,0.625,1.2016105651855469
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 0.5, 'max_depth': 2, 'tree_method': 'auto'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,0.5741679668426514
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 0.5, 'max_depth': 2, 'tree_method': 'hist'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,0.5453153451283773
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 0.5, 'max_depth': 2, 'tree_method': 'approx'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,2.494584798812866
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 0.5, 'max_depth': 6, 'tree_method': 'auto'}",1,0.5596666666666666,0.012472191289246433,0.6233333333333334,1.6876187324523926
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 0.5, 'max_depth': 6, 'tree_method': 'hist'}",1,0.5596666666666666,0.012472191289246433,0.6233333333333334,1.6926012833913167
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 0.5, 'max_depth': 6, 'tree_method': 'approx'}",1,0.561,0.012328828005937915,0.6233333333333334,4.2689173221588135
