,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,random_state,features
0,NeuralNetFastAI_r143_BAG_L1,0.7802197802197802,0.7763157894736842,precision,0.06740617752075195,0.05631685256958008,3.020030975341797,0.06740617752075195,0.05631685256958008,3.020030975341797,1,True,41,3,"['x106', 'x101', 'x102', 'x105']"
1,NeuralNetTorch_r158_BAG_L1,0.759656652360515,0.7278481012658228,precision,0.0856618881225586,0.02665424346923828,9.553895235061646,0.0856618881225586,0.02665424346923828,9.553895235061646,1,True,51,3,"['x106', 'x101', 'x102', 'x105']"
2,NeuralNetFastAI_r11_BAG_L1,0.7453874538745388,0.7179732313575525,precision,0.22500991821289062,0.08554911613464355,9.710875988006592,0.22500991821289062,0.08554911613464355,9.710875988006592,1,True,34,3,"['x106', 'x101', 'x102', 'x105']"
3,WeightedEnsemble_L3,0.7445255474452555,0.7816326530612245,precision,0.15948009490966797,0.09112215042114258,6.93644905090332,0.0012307167053222656,0.002153158187866211,0.9972259998321533,3,True,89,3,"['x106', 'x101', 'x102', 'x105']"
4,WeightedEnsemble_L2,0.7445255474452555,0.7816326530612245,precision,0.15961813926696777,0.09080290794372559,6.808814287185669,0.0013687610626220703,0.0018339157104492188,0.869591236114502,2,True,70,3,"['x106', 'x101', 'x102', 'x105']"
5,NeuralNetTorch_r197_BAG_L1,0.7355623100303952,0.7132974634896234,precision,0.025763750076293945,0.023034334182739258,3.8229010105133057,0.025763750076293945,0.023034334182739258,3.8229010105133057,1,True,54,3,"['x106', 'x101', 'x102', 'x105']"
6,NeuralNetTorch_r30_BAG_L1,0.7348993288590604,0.7105263157894737,precision,0.0882420539855957,0.026778221130371094,9.95871090888977,0.0882420539855957,0.026778221130371094,9.95871090888977,1,True,30,3,"['x106', 'x101', 'x102', 'x105']"
7,NeuralNetFastAI_r191_BAG_L2,0.7275204359673024,0.7032894736842106,precision,4.698803424835205,3.2086057662963867,231.1533980369568,0.19601678848266602,0.07560467720031738,8.679283857345581,2,True,85,3,"['x106', 'x101', 'x102', 'x105']"
8,NeuralNetFastAI_r103_BAG_L1,0.7252124645892352,0.7029411764705882,precision,0.12145113945007324,0.04316377639770508,6.879302978515625,0.12145113945007324,0.04316377639770508,6.879302978515625,1,True,38,3,"['x106', 'x101', 'x102', 'x105']"
9,NeuralNetTorch_r31_BAG_L1,0.7211267605633803,0.7072819033886085,precision,0.04536771774291992,0.019057512283325195,5.856305837631226,0.04536771774291992,0.019057512283325195,5.856305837631226,1,True,65,3,"['x106', 'x101', 'x102', 'x105']"
10,NeuralNetFastAI_r88_BAG_L1,0.7162534435261708,0.699859747545582,precision,0.07724905014038086,0.049680471420288086,3.9341611862182617,0.07724905014038086,0.049680471420288086,3.9341611862182617,1,True,68,3,"['x106', 'x101', 'x102', 'x105']"
11,NeuralNetTorch_r86_BAG_L1,0.7138964577656676,0.6964900206469373,precision,0.06131100654602051,0.018525362014770508,5.469021320343018,0.06131100654602051,0.018525362014770508,5.469021320343018,1,True,32,3,"['x106', 'x101', 'x102', 'x105']"
12,NeuralNetTorch_BAG_L1,0.7108753315649867,0.6960322797579018,precision,0.0672919750213623,0.017654895782470703,7.0074989795684814,0.0672919750213623,0.017654895782470703,7.0074989795684814,1,True,12,3,"['x106', 'x101', 'x102', 'x105']"
13,NeuralNetTorch_r22_BAG_L1,0.7051282051282052,0.7015425888665325,precision,0.07468008995056152,0.02588510513305664,7.474807024002075,0.07468008995056152,0.02588510513305664,7.474807024002075,1,True,20,3,"['x106', 'x101', 'x102', 'x105']"
14,NeuralNetFastAI_r37_BAG_L1,0.7002518891687658,0.6894087069525666,precision,0.10478615760803223,0.05082964897155762,4.730164051055908,0.10478615760803223,0.05082964897155762,4.730164051055908,1,True,53,3,"['x106', 'x101', 'x102', 'x105']"
15,NeuralNetFastAI_BAG_L2,0.6992481203007519,0.691046658259773,precision,4.616872787475586,3.189587116241455,227.10474729537964,0.11408615112304688,0.05658602714538574,4.630633115768433,2,True,78,3,"['x106', 'x101', 'x102', 'x105']"
16,NeuralNetTorch_r41_BAG_L1,0.697841726618705,0.6881396748946418,precision,0.03956007957458496,0.017448902130126953,7.430253028869629,0.03956007957458496,0.017448902130126953,7.430253028869629,1,True,48,3,"['x106', 'x101', 'x102', 'x105']"
17,NeuralNetTorch_BAG_L2,0.6958637469586375,0.6937269372693727,precision,4.582509517669678,3.1645147800445557,228.3168020248413,0.07972288131713867,0.03151369094848633,5.8426878452301025,2,True,80,3,"['x106', 'x101', 'x102', 'x105']"
18,NeuralNetTorch_r79_BAG_L2,0.6945107398568019,0.6998769987699877,precision,4.614621639251709,3.167538642883301,230.5357210636139,0.11183500289916992,0.034537553787231445,8.061606884002686,2,True,83,3,"['x106', 'x101', 'x102', 'x105']"
19,NeuralNetTorch_r143_BAG_L1,0.6864988558352403,0.6928529238038984,precision,0.1009218692779541,0.0493314266204834,12.354225873947144,0.1009218692779541,0.0493314266204834,12.354225873947144,1,True,62,3,"['x106', 'x101', 'x102', 'x105']"
20,NeuralNetFastAI_r95_BAG_L1,0.6850574712643678,0.6800479328939485,precision,0.18886089324951172,0.07795381546020508,7.585580110549927,0.18886089324951172,0.07795381546020508,7.585580110549927,1,True,47,3,"['x106', 'x101', 'x102', 'x105']"
