,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,param_feature_selection__columns,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.4043890476226806,0.45052225417015723,0.006509923934936523,0.00032442167551036724,1000,5,0.1,1.0,"[8, 100, 103, 102, 105]","{'model__n_estimators': 1000, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1, 'feature_selection__columns': [8, 100, 103, 102, 105]}",6000.0,6312.5,6312.5,5687.5,6187.5,6100.0,235.8495283014151,68
1,1.357721757888794,0.20266597671753295,0.005071592330932617,0.0007083125944693234,500,7,0.05,0.5,"[100, 103, 102, 105]","{'model__n_estimators': 500, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.5, 'feature_selection__columns': [100, 103, 102, 105]}",6137.5,6137.5,6575.0,6387.5,6637.5,6375.0,210.65374432940897,22
2,0.8460596561431885,0.027119239187550864,0.0033518791198730467,9.59649915161209e-05,500,5,0.05,0.75,"[100, 103, 102, 105]","{'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.75, 'feature_selection__columns': [100, 103, 102, 105]}",6200.0,6700.0,6575.0,6512.5,6575.0,6512.5,167.70509831248424,5
3,0.2393038272857666,0.006160584928072513,0.0017113208770751954,2.712335933920419e-05,100,5,0.01,1.0,"[100, 102, 103, 105, 403, 466]","{'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",5737.5,6237.5,6425.0,5675.0,6050.0,6025.0,286.6836235294929,80
4,1.1904573917388916,0.03192301527490352,0.00427093505859375,0.0003900737395411213,1000,3,0.05,0.5,"[8, 100, 102, 103, 105, 403]","{'model__n_estimators': 1000, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.5, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",5737.5,6550.0,6300.0,6237.5,6050.0,6175.0,270.993542358485,53
5,1.8092538833618164,0.11038290305063775,0.005888938903808594,0.00010383264615196381,500,7,0.05,1.0,"[8, 100, 102, 103, 105, 403]","{'model__n_estimators': 500, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",5925.0,6175.0,5987.5,5737.5,6175.0,6000.0,164.8863244784115,84
6,1.0854695320129395,0.03102931299055229,0.004117727279663086,0.00043775887214044895,500,5,0.1,1.0,"[8, 100, 103, 102, 105]","{'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1, 'feature_selection__columns': [8, 100, 103, 102, 105]}",5937.5,6312.5,6375.0,6000.0,6250.0,6175.0,174.1048534648015,53
7,0.9898367881774902,0.05631797283478416,0.0038686275482177736,0.0001925824445601602,500,5,0.2,0.75,"[8, 100, 103, 102, 105]","{'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model__colsample_bytree': 0.75, 'feature_selection__columns': [8, 100, 103, 102, 105]}",5937.5,6062.5,6250.0,5812.5,6625.0,6137.5,283.39460121886583,63
8,0.6165553569793701,0.08008077254171322,0.003007030487060547,0.00034404059043651207,500,3,0.2,1.0,"[8, 100, 103, 102, 105]","{'model__n_estimators': 500, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model__colsample_bytree': 1, 'feature_selection__columns': [8, 100, 103, 102, 105]}",6000.0,6062.5,6250.0,5687.5,6500.0,6100.0,269.8379143115363,68
9,1.1175652980804442,0.045435980111377415,0.004042482376098633,0.00022734591602708128,500,5,0.05,1.0,"[8, 100, 102, 103, 105, 403]","{'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",5800.0,6425.0,5987.5,6300.0,5737.5,6050.0,270.993542358485,77
10,0.3276249885559082,0.006421971992351627,0.0019698143005371094,9.99014245902937e-05,100,7,0.1,1.0,"[8, 100, 103, 102, 105]","{'model__n_estimators': 100, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1, 'feature_selection__columns': [8, 100, 103, 102, 105]}",5812.5,6500.0,6187.5,6250.0,6187.5,6187.5,220.0852107707376,45
11,1.3129958629608154,0.06968472996106524,0.005494928359985352,0.0002873163531442104,500,7,0.05,1.0,"[100, 103, 102, 105]","{'model__n_estimators': 500, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1, 'feature_selection__columns': [100, 103, 102, 105]}",6262.5,6762.5,6325.0,5700.0,6262.5,6262.5,337.7314021526574,37
