,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__bootstrap,param_feature_selection__columns,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34,3.2697433471679687,0.034742169124974354,0.0535179615020752,0.00033983591140638886,400,5,1,log2,100.0,True,"[100, 102, 105, 403, 466]","{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 100, 'model__bootstrap': True, 'feature_selection__columns': [100, 102, 105, 403, 466]}",5937.5,6250.0,6312.5,6437.5,6062.5,6200.0,178.53571071357126,50
35,2.0245927810668944,0.011453637135412722,0.05615983009338379,0.0002681322205490123,400,2,2,log2,40.0,True,"[100, 102, 105]","{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 40, 'model__bootstrap': True, 'feature_selection__columns': [100, 102, 105]}",5900.0,6587.5,6775.0,6275.0,6212.5,6350.0,304.6514401738485,22
36,10.059474277496339,0.10233923400537781,0.1595583438873291,0.0009904626839494718,1200,5,1,sqrt,60.0,True,"[8, 100, 102, 105, 403]","{'model__n_estimators': 1200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 60, 'model__bootstrap': True, 'feature_selection__columns': [8, 100, 102, 105, 403]}",5687.5,6250.0,6187.5,5812.5,6312.5,6050.0,251.24689052802225,72
37,7.033107852935791,0.3805147001594588,0.14680957794189453,0.0006862084335459535,800,2,1,log2,40.0,True,"[8, 100, 102, 105]","{'model__n_estimators': 800, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 40, 'model__bootstrap': True, 'feature_selection__columns': [8, 100, 102, 105]}",5700.0,6262.5,6387.5,5950.0,6387.5,6137.5,270.993542358485,57
38,11.926674556732177,0.13311502518018803,0.20589079856872558,0.0025316082181457873,1600,10,4,sqrt,40.0,True,"[100, 102, 105, 403, 466]","{'model__n_estimators': 1600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 40, 'model__bootstrap': True, 'feature_selection__columns': [100, 102, 105, 403, 466]}",6062.5,6125.0,6750.0,6375.0,6125.0,6287.5,254.95097567963924,32
39,16.079172325134277,0.149513692990343,0.2699576377868652,0.006828485504568481,2000,10,2,log2,80.0,True,"[8, 100, 102, 105]","{'model__n_estimators': 2000, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 80, 'model__bootstrap': True, 'feature_selection__columns': [8, 100, 102, 105]}",5887.5,6637.5,6700.0,6075.0,6575.0,6375.0,329.29849680798725,17
40,13.09274959564209,0.11855405885200897,0.21722817420959473,0.0006654284154979197,1600,10,1,sqrt,,True,"[8, 100, 102, 105, 403]","{'model__n_estimators': 1600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__bootstrap': True, 'feature_selection__columns': [8, 100, 102, 105, 403]}",6000.0,6187.5,6312.5,5937.5,6500.0,6187.5,205.3959590644373,51
41,3.368979978561401,0.013209886152267881,0.03182940483093262,0.0003296492360829322,400,10,1,log2,10.0,False,"[8, 100, 102, 105, 403]","{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__bootstrap': False, 'feature_selection__columns': [8, 100, 102, 105, 403]}",5750.0,6375.0,6062.5,5875.0,6187.5,6050.0,221.50056433336687,72
42,3.211926889419556,0.028939067779993447,0.052533960342407225,0.0003864869034563944,400,10,2,sqrt,40.0,True,"[8, 100, 102, 105]","{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 40, 'model__bootstrap': True, 'feature_selection__columns': [8, 100, 102, 105]}",5825.0,6575.0,6637.5,6200.0,6387.5,6325.0,293.15098498896435,28
43,13.708886003494262,0.1191038877375379,0.2930142879486084,0.0027518814795791553,1600,2,1,log2,100.0,True,"[8, 100, 102, 105]","{'model__n_estimators': 1600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 100, 'model__bootstrap': True, 'feature_selection__columns': [8, 100, 102, 105]}",5637.5,6262.5,6387.5,5950.0,6512.5,6150.0,317.21443851123803,55
44,12.640526914596558,0.20086480678905547,0.2266368865966797,0.0009957487491899983,1000,2,1,log2,80.0,False,"[100, 102, 105, 403, 466]","{'model__n_estimators': 1000, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 80, 'model__bootstrap': False, 'feature_selection__columns': [100, 102, 105, 403, 466]}",5375.0,6000.0,6437.5,5937.5,5625.0,5875.0,360.12150727219836,89
45,3.173252582550049,0.0192795875108871,0.12377324104309081,0.000959093226573329,600,2,1,log2,80.0,True,"[100, 102, 105]","{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 80, 'model__bootstrap': True, 'feature_selection__columns': [100, 102, 105]}",5587.5,6150.0,6525.0,6025.0,6150.0,6087.5,301.0398644698074,64
46,1.6793484210968017,0.005702116818740096,0.014965248107910157,0.0002415507285968789,200,10,2,log2,10.0,False,"[8, 100, 102, 105, 403]","{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__bootstrap': False, 'feature_selection__columns': [8, 100, 102, 105, 403]}",5750.0,6437.5,6312.5,6000.0,6187.5,6137.5,241.73849507267144,57
47,2.8511613845825194,0.006324621487970715,0.04929656982421875,0.001005160337983395,600,10,4,sqrt,10.0,False,"[100, 102, 105]","{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__bootstrap': False, 'feature_selection__columns': [100, 102, 105]}",6337.5,6900.0,7025.0,6337.5,6712.5,6662.5,283.39460121886583,3
48,2.889939022064209,0.00306019470772769,0.06325278282165528,0.0005004827159987953,800,10,4,log2,10.0,True,"[100, 102, 105]","{'model__n_estimators': 800, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__bootstrap': True, 'feature_selection__columns': [100, 102, 105]}",6400.0,6775.0,7025.0,6525.0,6650.0,6675.0,215.05813167606567,2
