,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__kernel,param_model__gamma,param_model__C,param_feature_selection__columns,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,1.47954421043396,0.012832510289413086,0.08383965492248535,0.003062007318243366,rbf,1.0,1.0,"[100, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 1, 'model__C': 1, 'feature_selection__columns': [100, 102, 105]}",6275.0,6712.5,6712.5,6275.0,6712.5,6537.5,214.3303524935281,9
21,1.8840903282165526,0.02483414970870009,0.08163552284240723,0.003731208348261675,sigmoid,0.001,100.0,"[8, 100, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.001, 'model__C': 100, 'feature_selection__columns': [8, 100, 102, 105]}",5262.5,5450.0,5387.5,5262.5,4762.5,5225.0,242.38399287081646,38
22,1.5845560550689697,0.02368730694963303,0.10879650115966796,0.002942766436855629,rbf,0.001,0.1,"[100, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.001, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 105]}",5212.5,5837.5,5712.5,5212.5,5025.0,5400.0,316.22776601683796,28
23,18.469850397109987,6.6180440724372165,0.05050959587097168,0.0034820771635900058,linear,0.0001,100.0,"[8, 100, 102, 105]","{'model__kernel': 'linear', 'model__gamma': 0.0001, 'model__C': 100, 'feature_selection__columns': [8, 100, 102, 105]}",5262.5,5325.0,5387.5,5262.5,4762.5,5200.0,223.60679774997897,42
24,1.8617868900299073,0.02141971506068975,0.04982137680053711,0.0010998178711721428,poly,0.1,100.0,"[100, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 0.1, 'model__C': 100, 'feature_selection__columns': [100, 102, 105]}",6212.5,5400.0,6025.0,5962.5,5900.0,5900.0,270.993542358485,15
25,1.8413131713867188,0.007448446637149731,0.07923293113708496,0.002040657669278407,sigmoid,0.0001,1.0,"[100, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.0001, 'model__C': 1, 'feature_selection__columns': [100, 102, 105]}",5275.0,5900.0,5900.0,5337.5,5087.5,5500.0,336.804839632687,23
26,2.2532095909118652,0.030519471328841263,0.0817481517791748,0.0009891878595447126,rbf,1.0,10.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 1, 'model__C': 10, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4375.0,4687.5,5625.0,4875.0,5312.5,4975.0,444.7611718664299,51
27,1.868506908416748,0.06967499286988571,0.09597821235656738,0.03725720633329289,sigmoid,0.001,10.0,"[100, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.001, 'model__C': 10, 'feature_selection__columns': [100, 102, 105]}",5400.0,5525.0,5900.0,5400.0,5087.5,5462.5,262.2022120425379,25
28,1.6973395824432373,0.24141922374985378,0.10467586517333985,0.003104200101652371,rbf,0.0001,10.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 0.0001, 'model__C': 10, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4062.5,4000.0,4187.5,3625.0,3625.0,3900.0,232.51344047172842,97
29,1.8889877319335937,0.014840291183334305,0.08168892860412598,0.0016401640227535017,sigmoid,0.0001,1.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'sigmoid', 'model__gamma': 0.0001, 'model__C': 1, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4437.5,4312.5,4312.5,3625.0,3625.0,4062.5,360.12150727219836,92
30,1.6224478244781495,0.005440308409207548,0.10689091682434082,0.003986161568780502,rbf,0.01,0.1,"[100, 102, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4500.0,5125.0,4812.5,4875.0,4812.5,4825.0,199.21721813136534,57
31,2.4406909465789797,0.04566625530214414,0.04978647232055664,0.005307262268169033,linear,0.01,10.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'linear', 'model__gamma': 0.01, 'model__C': 10, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4187.5,4937.5,4625.0,3437.5,4250.0,4287.5,504.0461288413988,78
32,1699.9844431877136,163.2730394615517,0.05115952491760254,0.003973900992727529,poly,1.0,100.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'poly', 'model__gamma': 1, 'model__C': 100, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4375.0,4000.0,5000.0,4937.5,4625.0,4587.5,369.9662146737185,63
33,1.5771168231964112,0.0032202753968565727,0.10301132202148437,0.003460811958233964,rbf,0.01,0.1,"[8, 100, 102, 105, 403]","{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1, 'feature_selection__columns': [8, 100, 102, 105, 403]}",5000.0,5812.5,5062.5,4750.0,4687.5,5062.5,401.1701633970303,50
34,1.031621026992798,0.005132387486588767,0.049849081039428714,0.0017419715537205951,poly,0.0001,10.0,"[8, 100, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 0.0001, 'model__C': 10, 'feature_selection__columns': [8, 100, 102, 105]}",5450.0,5700.0,5887.5,5387.5,6012.5,5687.5,241.73849507267144,21
35,1.4990387439727784,0.003997719876803906,0.10165677070617676,0.0014634162418661564,rbf,0.0001,10.0,"[8, 100, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.0001, 'model__C': 10, 'feature_selection__columns': [8, 100, 102, 105]}",5012.5,5512.5,5700.0,5137.5,5012.5,5275.0,280.6243040080456,37
