,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__kernel,param_model__gamma,param_model__C,param_feature_selection__columns,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
54,615.5043238639831,29.650129261759567,0.04708366394042969,0.0027973873454059913,poly,1.0,100.0,"[100, 103, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 1, 'model__C': 100, 'feature_selection__columns': [100, 103, 102, 105]}",5575.0,5762.5,5700.0,5700.0,5637.5,5675.0,63.73774391990981,19
55,2.6664548397064207,0.035502109780302236,0.04062504768371582,0.0011802231787156872,linear,0.001,10.0,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 0.001, 'model__C': 10, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3987.5,4487.5,4175.0,4362.5,4237.5,4250.0,169.5582495781317,70
56,0.9373991966247559,0.020343547367639034,0.040346193313598636,0.0003123684631665199,linear,1.0,0.1,"[8, 100, 102, 103, 105, 403]","{'model__kernel': 'linear', 'model__gamma': 1, 'model__C': 0.1, 'feature_selection__columns': [8, 100, 102, 103, 105, 403]}",4112.5,4612.5,4300.0,3175.0,3925.0,4025.0,481.8583816849096,86
57,2.662772226333618,0.03763225856258519,0.039806699752807616,0.0006985073683050061,linear,1.0,10.0,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 1, 'model__C': 10, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3987.5,4487.5,4175.0,4362.5,4237.5,4250.0,169.5582495781317,70
58,0.931792163848877,0.00249367984348127,0.04089646339416504,0.0028472028228114102,linear,0.0001,0.1,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 0.0001, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3987.5,4487.5,4175.0,4362.5,4237.5,4250.0,169.5582495781317,70
59,1.8487977027893066,0.04338215910233547,0.06638221740722657,0.0013778776524176954,sigmoid,1.0,0.1,"[100, 103, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 1, 'model__C': 0.1, 'feature_selection__columns': [100, 103, 102, 105]}",3887.5,4700.0,4762.5,5262.5,4450.0,4612.5,448.2605269260277,58
60,1.4793939590454102,0.006245030434425347,0.10326671600341797,0.0020394169729021946,rbf,0.0001,1.0,"[100, 103, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.0001, 'model__C': 1, 'feature_selection__columns': [100, 103, 102, 105]}",5075.0,5325.0,5387.5,5200.0,5387.5,5275.0,121.19199643540823,23
61,0.9341140270233155,0.0035432082493994928,0.041174793243408205,0.0008131092684457885,linear,0.001,0.1,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 0.001, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3987.5,4487.5,4175.0,4362.5,4237.5,4250.0,169.5582495781317,70
62,1.0721676826477051,0.020571779279206174,0.04753375053405762,0.0015360017066737331,poly,0.0001,10.0,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'poly', 'model__gamma': 0.0001, 'model__C': 10, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",4300.0,4050.0,4612.5,4237.5,3675.0,4175.0,308.7272258807117,79
63,1.545213270187378,0.006332167227348479,0.10250129699707031,0.00040359237918851027,rbf,0.0001,100.0,"[100, 102, 103, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 0.0001, 'model__C': 100, 'feature_selection__columns': [100, 102, 103, 105, 403, 466]}",3925.0,4550.0,4300.0,4425.0,4425.0,4325.0,215.05813167606567,67
