model,data,score,fold
tree,credit-g,0.6023809523809525,0
forest,credit-g,0.6476190476190476,0
SGD,credit-g,0.6547619047619048,0
IWLS,credit-g,0.6666666666666666,0
ADAM,credit-g,0.7261904761904763,0
LDA,credit-g,0.7142857142857143,1
QDA,credit-g,0.6,1
tree,credit-g,0.605952380952381,1
forest,credit-g,0.6916666666666667,1
SGD,credit-g,0.6083333333333333,1
IWLS,credit-g,0.7261904761904762,1
ADAM,credit-g,0.7214285714285715,1
LDA,credit-g,0.6738095238095239,2
QDA,credit-g,0.6857142857142857,2
tree,credit-g,0.6738095238095239,2
forest,credit-g,0.6416666666666667,2
SGD,credit-g,0.6297619047619047,2
IWLS,credit-g,0.6535714285714286,2
ADAM,credit-g,0.6630952380952381,2
LDA,credit-g,0.6321428571428571,3
QDA,credit-g,0.6511904761904762,3
tree,credit-g,0.5904761904761905,3
forest,credit-g,0.6261904761904762,3
SGD,credit-g,0.5845238095238096,3
IWLS,credit-g,0.6452380952380953,3
ADAM,credit-g,0.5761904761904761,3
LDA,credit-g,0.6452380952380953,4
QDA,credit-g,0.6154761904761905,4
tree,credit-g,0.6273809523809524,4
forest,credit-g,0.6309523809523809,4
SGD,credit-g,0.5476190476190476,4
IWLS,credit-g,0.661904761904762,4
ADAM,credit-g,0.6523809523809524,4
LDA,heart-statlog,0.7916666666666667,0
QDA,heart-statlog,0.8041666666666667,0
tree,heart-statlog,0.6791666666666667,0
forest,heart-statlog,0.8375,0
SGD,heart-statlog,0.8125,0
IWLS,heart-statlog,0.8125,0
ADAM,heart-statlog,0.775,0
LDA,heart-statlog,0.8208333333333333,1
QDA,heart-statlog,0.825,1
tree,heart-statlog,0.7,1
forest,heart-statlog,0.8166666666666667,1
SGD,heart-statlog,0.7958333333333334,1
IWLS,heart-statlog,0.8375,1
ADAM,heart-statlog,0.8,1
LDA,heart-statlog,0.8458333333333333,2
QDA,heart-statlog,0.8083333333333333,2
tree,heart-statlog,0.6833333333333333,2
forest,heart-statlog,0.8416666666666667,2
SGD,heart-statlog,0.825,2
IWLS,heart-statlog,0.8458333333333333,2
ADAM,heart-statlog,0.8416666666666667,2
LDA,heart-statlog,0.9625,3
QDA,heart-statlog,0.925,3
tree,heart-statlog,0.8333333333333334,3
forest,heart-statlog,0.925,3
SGD,heart-statlog,0.9458333333333333,3
IWLS,heart-statlog,0.9458333333333333,3
ADAM,heart-statlog,0.9458333333333333,3
LDA,heart-statlog,0.7250000000000001,4
QDA,heart-statlog,0.7541666666666667,4
tree,heart-statlog,0.6791666666666667,4
forest,heart-statlog,0.6958333333333333,4
SGD,heart-statlog,0.7666666666666666,4
IWLS,heart-statlog,0.7666666666666666,4
ADAM,heart-statlog,0.7625,4
LDA,ionosphere,0.8158119658119658,0
QDA,ionosphere,0.8401709401709402,0
tree,ionosphere,0.8927350427350427,0
forest,ionosphere,0.9230769230769231,0
SGD,ionosphere,0.8512820512820514,0
IWLS,ionosphere,0.8735042735042735,0
ADAM,ionosphere,0.8431623931623932,0
LDA,ionosphere,0.8488888888888888,1
QDA,ionosphere,0.9688888888888889,1
tree,ionosphere,0.8355555555555556,1
forest,ionosphere,0.9088888888888889,1
SGD,ionosphere,0.7888888888888889,1
