,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,random_state,features
0,WeightedEnsemble_L2,0.7368421052631579,0.8137931034482758,precision,0.3105490207672119,0.07390356063842773,10.87351679801941,0.008084297180175781,0.0019981861114501953,1.163975715637207,2,True,60,0,"['x102', 'x106', 'x101', 'x104']"
1,NeuralNetFastAI_r143_BAG_L1,0.7297297297297297,0.8125,precision,0.21911978721618652,0.06180834770202637,6.75642728805542,0.21911978721618652,0.06180834770202637,6.75642728805542,1,True,41,0,"['x102', 'x106', 'x101', 'x104']"
2,NeuralNetFastAI_r11_BAG_L1,0.7276264591439688,0.7476038338658147,precision,0.34740352630615234,0.15712690353393555,20.02101469039917,0.34740352630615234,0.15712690353393555,20.02101469039917,1,True,34,0,"['x102', 'x106', 'x101', 'x104']"
3,NeuralNetTorch_r158_BAG_L1,0.7112676056338029,0.7323688969258589,precision,0.17533373832702637,0.05339646339416504,33.45491433143616,0.17533373832702637,0.05339646339416504,33.45491433143616,1,True,51,0,"['x102', 'x106', 'x101', 'x104']"
4,NeuralNetTorch_r86_BAG_L1,0.6853932584269663,0.7142857142857143,precision,0.13810157775878906,0.03626441955566406,18.868019104003906,0.13810157775878906,0.03626441955566406,18.868019104003906,1,True,32,0,"['x102', 'x106', 'x101', 'x104']"
5,NeuralNetTorch_r197_BAG_L1,0.6840659340659341,0.7125567322239031,precision,0.09433507919311523,0.04208493232727051,8.679330587387085,0.09433507919311523,0.04208493232727051,8.679330587387085,1,True,54,0,"['x102', 'x106', 'x101', 'x104']"
6,NeuralNetTorch_r30_BAG_L1,0.6780104712041884,0.7124735729386892,precision,0.19318366050720215,0.07524752616882324,29.92886185646057,0.19318366050720215,0.07524752616882324,29.92886185646057,1,True,30,0,"['x102', 'x106', 'x101', 'x104']"
7,NeuralNetTorch_r14_BAG_L1,0.6768447837150128,0.7172599059771659,precision,0.08344697952270508,0.0283966064453125,10.626669645309448,0.08344697952270508,0.0283966064453125,10.626669645309448,1,True,39,0,"['x102', 'x106', 'x101', 'x104']"
8,NeuralNetTorch_BAG_L1,0.6698564593301436,0.7015873015873015,precision,0.1359717845916748,0.029577970504760742,15.13460087776184,0.1359717845916748,0.029577970504760742,15.13460087776184,1,True,12,0,"['x102', 'x106', 'x101', 'x104']"
9,NeuralNetFastAI_r37_BAG_L1,0.6651270207852193,0.7012907191149355,precision,0.22308039665222168,0.0783393383026123,10.462599277496338,0.22308039665222168,0.0783393383026123,10.462599277496338,1,True,53,0,"['x102', 'x106', 'x101', 'x104']"
10,NeuralNetFastAI_r103_BAG_L1,0.665,0.7127955493741307,precision,0.2734384536743164,0.09677004814147949,18.004939556121826,0.2734384536743164,0.09677004814147949,18.004939556121826,1,True,38,0,"['x102', 'x106', 'x101', 'x104']"
11,NeuralNetTorch_r41_BAG_L1,0.6611764705882353,0.7013715710723192,precision,0.11164617538452148,0.027146339416503906,18.310447692871094,0.11164617538452148,0.027146339416503906,18.310447692871094,1,True,48,0,"['x102', 'x106', 'x101', 'x104']"
12,NeuralNetTorch_r79_BAG_L1,0.6592920353982301,0.7007083825265643,precision,0.15237951278686523,0.04381370544433594,21.276079893112183,0.15237951278686523,0.04381370544433594,21.276079893112183,1,True,15,0,"['x102', 'x106', 'x101', 'x104']"
13,NeuralNetFastAI_r191_BAG_L1,0.6583143507972665,0.6974009900990099,precision,0.30904436111450195,0.11552619934082031,16.26190495491028,0.30904436111450195,0.11552619934082031,16.26190495491028,1,True,17,0,"['x102', 'x106', 'x101', 'x104']"
14,CatBoost_r50_BAG_L1,0.6575052854122622,0.689540675152186,precision,0.09801602363586426,0.013556957244873047,3.6993296146392822,0.09801602363586426,0.013556957244873047,3.6993296146392822,1,True,33,0,"['x102', 'x106', 'x101', 'x104']"
15,LightGBM_r15_BAG_L1,0.6558704453441295,0.6800720288115246,precision,0.10415840148925781,0.01434636116027832,3.5030508041381836,0.10415840148925781,0.01434636116027832,3.5030508041381836,1,True,50,0,"['x102', 'x106', 'x101', 'x104']"
16,CatBoost_r49_BAG_L1,0.6556016597510373,0.6898096304591266,precision,0.05531811714172363,0.008301734924316406,3.6234917640686035,0.05531811714172363,0.008301734924316406,3.6234917640686035,1,True,55,0,"['x102', 'x106', 'x101', 'x104']"
17,NeuralNetTorch_r22_BAG_L1,0.6554054054054054,0.7127338563669282,precision,0.2047271728515625,0.06560826301574707,22.653242111206055,0.2047271728515625,0.06560826301574707,22.653242111206055,1,True,20,0,"['x102', 'x106', 'x101', 'x104']"
18,XGBoost_BAG_L1,0.6545842217484008,0.6880952380952381,precision,0.23932313919067383,0.024619102478027344,3.627685308456421,0.23932313919067383,0.024619102478027344,3.627685308456421,1,True,11,0,"['x102', 'x106', 'x101', 'x104']"
19,LightGBM_r196_BAG_L1,0.654320987654321,0.703232125367287,precision,0.08334493637084961,0.010097026824951172,2.9531137943267822,0.08334493637084961,0.010097026824951172,2.9531137943267822,1,True,44,0,"['x102', 'x106', 'x101', 'x104']"
20,XGBoost_r89_BAG_L1,0.6538461538461539,0.6866627839254513,precision,0.22179293632507324,0.022483110427856445,3.334933280944824,0.22179293632507324,0.022483110427856445,3.334933280944824,1,True,29,0,"['x102', 'x106', 'x101', 'x104']"
