num_features,model,accuracy,metric,method
3,NN,0.535,5300,mean
1,LR,0.503,5250,mean
1,LDA,0.503,5250,mean
1,XGB,0.512,5200,mean
2,NN,0.514,5150,mean
1,RF,0.525,5100,mean
1,NN,0.493,4750,mean
1,SVM,0.491,4750,mean
3,RF,0.499,4700,mean
5,NN,0.526,4650,mean
2,LDA,0.495,4600,mean
2,LR,0.495,4600,mean
2,XGB,0.484,4500,mean
4,RF,0.482,4500,mean
2,SVM,0.491,4400,mean
3,LR,0.507,4350,mean
3,LDA,0.507,4350,mean
4,NN,0.527,4350,mean
4,XGB,0.502,4300,mean
5,LDA,0.512,4300,mean
5,LR,0.512,4300,mean
3,XGB,0.503,4250,mean
3,SVM,0.488,4250,mean
2,RF,0.484,4200,mean
4,LDA,0.506,4150,mean
8,RF,0.526,4150,mean
4,LR,0.506,4150,mean
7,SVM,0.489,4100,mean
6,NN,0.517,4050,mean
6,RF,0.512,4050,mean
8,SVM,0.536,4000,mean
6,LR,0.514,3950,mean
6,XGB,0.513,3950,mean
8,NN,0.542,3950,mean
6,LDA,0.514,3950,mean
7,NN,0.517,3850,mean
7,RF,0.511,3850,mean
5,RF,0.522,3800,mean
5,XGB,0.489,3700,mean
7,LR,0.512,3700,mean
7,LDA,0.512,3700,mean
4,SVM,0.471,3650,mean
6,SVM,0.472,3650,mean
5,SVM,0.475,3650,mean
10,SVM,0.533,3600,mean
8,LDA,0.516,3600,mean
8,XGB,0.507,3600,mean
8,LR,0.516,3600,mean
9,SVM,0.498,3450,mean
9,LDA,0.513,3400,mean
9,LR,0.513,3400,mean
7,XGB,0.498,3400,mean
11,NN,0.519,3350,mean
9,NN,0.502,3350,mean
10,RF,0.522,3300,mean
9,RF,0.496,3250,mean
10,LR,0.512,3200,mean
10,NN,0.524,3150,mean
10,LDA,0.512,3150,mean
11,LDA,0.518,3050,mean
11,LR,0.517,3050,mean
9,XGB,0.507,3050,mean
10,XGB,0.512,3000,mean
12,LDA,0.513,2950,mean
12,LR,0.513,2950,mean
13,NN,0.517,2900,mean
12,XGB,0.516,2850,mean
11,SVM,0.51,2800,mean
14,SVM,0.515,2800,mean
13,LDA,0.518,2750,mean
13,LR,0.517,2750,mean
13,SVM,0.514,2700,mean
13,XGB,0.515,2650,mean
15,SVM,0.511,2650,mean
11,RF,0.512,2650,mean
14,NN,0.504,2600,mean
11,XGB,0.497,2600,mean
14,LR,0.512,2550,mean
14,RF,0.515,2550,mean
14,LDA,0.511,2550,mean
12,NN,0.498,2500,mean
12,SVM,0.505,2450,mean
15,NN,0.51,2450,mean
16,SVM,0.508,2400,mean
16,NN,0.512,2350,mean
15,LR,0.509,2350,mean
15,LDA,0.509,2350,mean
15,XGB,0.507,2300,mean
13,RF,0.504,2200,mean
15,RF,0.512,2200,mean
16,LR,0.51,2150,mean
16,LDA,0.51,2150,mean
17,NN,0.511,2150,mean
16,XGB,0.509,2100,mean
14,XGB,0.507,2100,mean
17,SVM,0.51,2050,mean
17,XGB,0.509,2050,mean
12,RF,0.506,1950,mean
17,LDA,0.516,1900,mean
17,RF,0.511,1900,mean
17,LR,0.516,1900,mean
18,NN,0.539,1850,mean
20,XGB,0.546,1800,mean
18,RF,0.525,1750,mean
19,RF,0.532,1650,mean
16,RF,0.512,1600,mean
18,XGB,0.494,1600,mean
21,RF,0.513,1550,mean
19,SVM,0.489,1450,mean
21,XGB,0.521,1450,mean
18,LDA,0.528,1450,mean
18,LR,0.527,1450,mean
18,SVM,0.494,1350,mean
19,XGB,0.535,1300,mean
20,RF,0.517,1250,mean
21,SVM,0.491,1250,mean
19,LR,0.528,1200,mean
19,LDA,0.528,1200,mean
22,RF,0.497,1150,mean
20,SVM,0.495,1150,mean
20,NN,0.517,1100,mean
22,SVM,0.493,1050,mean
22,XGB,0.527,1050,mean
20,LDA,0.532,1050,mean
20,LR,0.531,1050,mean
21,NN,0.506,1000,mean
19,NN,0.504,1000,mean
21,LR,0.526,750,mean
22,NN,0.525,750,mean
23,SVM,0.494,750,mean
21,LDA,0.526,750,mean
23,NN,0.537,650,mean
24,NN,0.517,500,mean
22,LR,0.521,500,mean
22,LDA,0.521,500,mean
25,NN,0.518,500,mean
24,RF,0.496,500,mean
24,XGB,0.526,450,mean
23,LDA,0.526,450,mean
23,RF,0.509,450,mean
23,XGB,0.52,450,mean
23,LR,0.526,450,mean
24,SVM,0.491,350,mean
25,XGB,0.526,250,mean
24,LR,0.523,200,mean
24,LDA,0.525,200,mean
25,RF,0.514,150,mean
25,LR,0.514,-200,mean
25,LDA,0.515,-200,mean
25,SVM,0.491,-250,mean
