num_features,model,accuracy,metric,method
1,RF,0.527,5400,corr
1,XGB,0.484,5250,corr
3,NN,0.539,5200,corr
3,XGB,0.487,5100,corr
4,NN,0.527,5050,corr
1,SVM,0.492,4950,corr
2,NN,0.511,4950,corr
2,XGB,0.5,4850,corr
2,RF,0.505,4850,corr
1,NN,0.488,4800,corr
1,LDA,0.493,4800,corr
1,LR,0.493,4800,corr
5,XGB,0.53,4750,corr
5,RF,0.524,4750,corr
3,LR,0.507,4700,corr
3,LDA,0.507,4700,corr
4,XGB,0.521,4700,corr
2,LDA,0.504,4650,corr
2,LR,0.504,4650,corr
5,LDA,0.523,4600,corr
3,RF,0.503,4600,corr
5,LR,0.523,4600,corr
5,NN,0.511,4550,corr
6,NN,0.524,4500,corr
2,SVM,0.51,4450,corr
9,NN,0.55,4450,corr
7,NN,0.528,4400,corr
3,SVM,0.521,4400,corr
4,SVM,0.51,4350,corr
4,LDA,0.529,4300,corr
4,LR,0.529,4300,corr
6,LR,0.532,4250,corr
6,LDA,0.531,4250,corr
4,RF,0.5,4150,corr
9,LDA,0.534,4100,corr
9,LR,0.536,4100,corr
6,SVM,0.495,4050,corr
5,SVM,0.509,4050,corr
7,SVM,0.483,4000,corr
6,XGB,0.503,3950,corr
8,NN,0.517,3900,corr
8,LR,0.519,3900,corr
7,LR,0.522,3850,corr
8,LDA,0.518,3850,corr
8,SVM,0.5,3850,corr
7,LDA,0.522,3850,corr
9,SVM,0.513,3800,corr
6,RF,0.49,3750,corr
9,XGB,0.528,3750,corr
8,RF,0.5,3700,corr
10,NN,0.518,3700,corr
10,LDA,0.532,3650,corr
12,NN,0.523,3650,corr
10,SVM,0.513,3600,corr
10,LR,0.533,3600,corr
8,XGB,0.496,3550,corr
7,RF,0.489,3550,corr
11,RF,0.52,3500,corr
7,XGB,0.49,3350,corr
9,RF,0.51,3300,corr
11,LR,0.541,3300,corr
11,LDA,0.542,3300,corr
11,XGB,0.514,3250,corr
12,LR,0.542,3200,corr
12,LDA,0.541,3200,corr
10,RF,0.52,3150,corr
11,NN,0.528,3150,corr
11,SVM,0.515,3050,corr
13,LR,0.541,3050,corr
13,LDA,0.541,3050,corr
12,SVM,0.513,3000,corr
12,XGB,0.524,2900,corr
10,XGB,0.533,2900,corr
12,RF,0.51,2800,corr
15,LDA,0.546,2750,corr
15,LR,0.546,2750,corr
14,LDA,0.533,2650,corr
14,LR,0.533,2650,corr
14,XGB,0.522,2650,corr
13,XGB,0.515,2600,corr
14,NN,0.534,2600,corr
13,SVM,0.51,2550,corr
13,NN,0.501,2500,corr
14,SVM,0.498,2500,corr
14,RF,0.533,2450,corr
16,NN,0.52,2450,corr
16,LDA,0.546,2400,corr
16,LR,0.546,2400,corr
15,RF,0.513,2400,corr
13,RF,0.507,2300,corr
15,SVM,0.508,2300,corr
15,NN,0.518,2300,corr
16,XGB,0.517,2250,corr
16,SVM,0.51,2250,corr
15,XGB,0.496,2200,corr
17,LR,0.542,2200,corr
17,LDA,0.543,2200,corr
17,SVM,0.52,2150,corr
18,LDA,0.542,2100,corr
18,LR,0.541,2100,corr
17,RF,0.515,2050,corr
18,RF,0.527,2000,corr
19,LDA,0.539,2000,corr
19,NN,0.541,2000,corr
19,LR,0.537,2000,corr
18,NN,0.521,2000,corr
17,XGB,0.495,2000,corr
17,NN,0.524,1850,corr
16,RF,0.497,1750,corr
20,LR,0.524,1700,corr
18,SVM,0.526,1700,corr
20,LDA,0.524,1700,corr
18,XGB,0.506,1650,corr
19,RF,0.512,1600,corr
19,SVM,0.51,1600,corr
19,XGB,0.492,1500,corr
21,LR,0.523,1400,corr
20,NN,0.516,1400,corr
21,LDA,0.521,1400,corr
22,NN,0.513,1300,corr
20,SVM,0.505,1300,corr
20,RF,0.533,1250,corr
21,SVM,0.511,1200,corr
20,XGB,0.487,1100,corr
22,LDA,0.515,1100,corr
21,XGB,0.503,1050,corr
21,RF,0.495,1050,corr
22,LR,0.515,1050,corr
22,RF,0.522,1000,corr
21,NN,0.517,950,corr
23,LR,0.537,900,corr
23,XGB,0.513,900,corr
23,LDA,0.537,900,corr
24,RF,0.52,850,corr
22,XGB,0.497,850,corr
23,RF,0.524,650,corr
24,LDA,0.533,650,corr
24,LR,0.533,650,corr
22,SVM,0.505,600,corr
23,SVM,0.503,600,corr
25,RF,0.526,500,corr
24,XGB,0.511,500,corr
25,LR,0.534,450,corr
25,LDA,0.534,450,corr
24,NN,0.5,400,corr
23,NN,0.509,400,corr
25,SVM,0.507,350,corr
24,SVM,0.51,200,corr
25,XGB,0.51,200,corr
25,NN,0.519,-250,corr
