num_features,columns,accuracy,metric,C,kernel,degree,gamma
4,"[100, 102, 103, 105]",0.635,7400,10.0,poly,4,auto
4,"[100, 102, 103, 105]",0.639,7400,0.1,poly,4,scale
4,"[100, 102, 103, 105]",0.639,7400,0.1,poly,4,auto
4,"[100, 102, 103, 105]",0.635,7400,10.0,poly,4,scale
4,"[100, 102, 103, 105]",0.636,7350,1.0,poly,4,scale
4,"[100, 102, 103, 105]",0.636,7350,1.0,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.672,7300,0.01,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.672,7300,0.01,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.491,7250,0.001,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.491,7250,0.001,rbf,3,scale
4,"[100, 102, 103, 105]",0.66,7250,1.0,rbf,3,scale
4,"[100, 102, 103, 105]",0.66,7250,1.0,rbf,3,auto
4,"[100, 102, 103, 105]",0.541,7250,0.001,poly,2,auto
4,"[100, 102, 103, 105]",0.541,7250,0.001,poly,2,scale
5,"[100, 102, 103, 104, 105]",0.671,7250,0.01,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.671,7250,0.01,poly,2,scale
3,"[100, 102, 105]",0.615,7200,10.0,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.667,7200,0.1,poly,2,scale
3,"[100, 102, 105]",0.615,7200,10.0,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.667,7200,0.1,poly,2,auto
4,"[100, 102, 103, 105]",0.644,7200,0.01,poly,4,scale
3,"[100, 102, 105]",0.615,7200,1.0,poly,4,auto
3,"[100, 102, 105]",0.615,7200,1.0,poly,4,scale
4,"[100, 102, 103, 105]",0.644,7200,0.01,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.676,7150,0.01,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.669,7150,0.001,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.669,7150,0.001,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.669,7150,0.1,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.669,7150,0.1,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.676,7150,0.01,poly,4,auto
3,"[100, 102, 105]",0.617,7150,0.1,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.665,7150,10.0,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.67,7150,1.0,poly,2,auto
4,"[100, 102, 103, 105]",0.648,7150,0.001,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.665,7150,10.0,poly,2,scale
3,"[100, 102, 105]",0.617,7150,0.1,poly,4,scale
4,"[100, 102, 103, 105]",0.648,7150,0.001,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.67,7150,1.0,poly,2,scale
3,"[100, 102, 105]",0.621,7100,0.01,poly,4,auto
3,"[100, 102, 105]",0.624,7100,0.1,rbf,3,auto
3,"[100, 102, 105]",0.621,7100,0.01,poly,4,scale
4,"[100, 102, 103, 105]",0.644,7100,0.1,rbf,3,scale
4,"[100, 102, 103, 105]",0.644,7100,0.1,rbf,3,auto
4,"[100, 102, 103, 105]",0.655,7100,1.0,poly,2,scale
3,"[100, 102, 105]",0.624,7100,0.1,rbf,3,scale
4,"[100, 102, 103, 105]",0.656,7100,10.0,poly,2,auto
4,"[100, 102, 103, 105]",0.655,7100,1.0,poly,2,auto
4,"[100, 102, 103, 105]",0.656,7100,10.0,poly,2,scale
3,"[100, 102, 105]",0.491,7100,0.001,rbf,3,auto
3,"[100, 102, 105]",0.491,7100,0.001,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.493,7050,0.001,poly,2,scale
5,"[100, 102, 103, 104, 105]",0.493,7050,0.001,poly,2,auto
4,"[100, 102, 103, 105]",0.651,7050,0.1,poly,2,scale
