num_features,model,accuracy,metric,method
1,NN,0.491,5350,rfe
3,LDA,0.522,5200,rfe
3,LR,0.522,5200,rfe
1,LDA,0.51,5150,rfe
2,SVM,0.519,5150,rfe
1,LR,0.51,5150,rfe
1,SVM,0.505,5150,rfe
2,LR,0.513,5100,rfe
2,LDA,0.513,5100,rfe
1,XGB,0.53,5050,rfe
2,XGB,0.474,5000,rfe
4,LDA,0.526,4900,rfe
4,LR,0.526,4900,rfe
1,RF,0.517,4850,rfe
3,SVM,0.497,4850,rfe
5,LR,0.52,4800,rfe
4,NN,0.541,4800,rfe
5,LDA,0.52,4800,rfe
3,NN,0.505,4800,rfe
2,NN,0.509,4700,rfe
5,SVM,0.515,4650,rfe
2,RF,0.501,4650,rfe
4,SVM,0.502,4600,rfe
8,SVM,0.53,4500,rfe
5,NN,0.51,4450,rfe
3,RF,0.498,4400,rfe
6,LDA,0.528,4400,rfe
6,LR,0.528,4400,rfe
7,SVM,0.528,4300,rfe
6,SVM,0.528,4250,rfe
3,XGB,0.504,4200,rfe
7,LR,0.526,4200,rfe
7,LDA,0.526,4200,rfe
6,NN,0.539,4150,rfe
5,RF,0.498,4000,rfe
8,LR,0.522,4000,rfe
9,NN,0.543,4000,rfe
8,LDA,0.522,4000,rfe
6,XGB,0.493,3900,rfe
4,RF,0.486,3900,rfe
7,NN,0.538,3900,rfe
7,XGB,0.493,3900,rfe
14,SVM,0.568,3850,rfe
7,RF,0.507,3850,rfe
9,SVM,0.552,3800,rfe
6,RF,0.492,3800,rfe
9,LR,0.541,3800,rfe
9,LDA,0.542,3800,rfe
5,XGB,0.482,3750,rfe
11,XGB,0.528,3700,rfe
14,NN,0.572,3650,rfe
8,NN,0.52,3650,rfe
14,RF,0.547,3650,rfe
4,XGB,0.483,3650,rfe
10,SVM,0.544,3600,rfe
8,XGB,0.504,3600,rfe
11,SVM,0.541,3600,rfe
15,SVM,0.578,3550,rfe
12,LDA,0.54,3550,rfe
16,SVM,0.576,3550,rfe
9,RF,0.493,3500,rfe
12,LR,0.54,3500,rfe
15,RF,0.574,3500,rfe
11,NN,0.517,3500,rfe
11,LR,0.532,3500,rfe
11,LDA,0.532,3500,rfe
9,XGB,0.516,3500,rfe
10,LR,0.538,3450,rfe
10,LDA,0.538,3450,rfe
10,RF,0.512,3450,rfe
12,SVM,0.522,3400,rfe
10,NN,0.531,3350,rfe
13,NN,0.548,3200,rfe
16,NN,0.57,3200,rfe
15,XGB,0.55,3200,rfe
17,SVM,0.585,3200,rfe
12,RF,0.501,3100,rfe
10,XGB,0.511,3100,rfe
8,RF,0.5,3100,rfe
18,SVM,0.574,3050,rfe
13,SVM,0.544,3050,rfe
13,RF,0.515,3000,rfe
11,RF,0.513,3000,rfe
14,LR,0.539,3000,rfe
12,NN,0.517,3000,rfe
18,NN,0.561,2950,rfe
14,LDA,0.54,2950,rfe
13,LDA,0.533,2900,rfe
13,LR,0.533,2900,rfe
17,NN,0.57,2850,rfe
17,RF,0.569,2850,rfe
15,NN,0.541,2800,rfe
16,RF,0.553,2750,rfe
15,LDA,0.53,2700,rfe
15,LR,0.53,2700,rfe
12,XGB,0.512,2650,rfe
16,XGB,0.545,2650,rfe
19,SVM,0.576,2650,rfe
14,XGB,0.528,2650,rfe
18,RF,0.569,2600,rfe
16,LDA,0.548,2500,rfe
22,SVM,0.569,2500,rfe
16,LR,0.548,2500,rfe
13,XGB,0.501,2450,rfe
20,XGB,0.563,2400,rfe
20,NN,0.559,2350,rfe
19,RF,0.586,2350,rfe
24,XGB,0.601,2300,rfe
24,SVM,0.598,2300,rfe
17,LR,0.535,2250,rfe
23,SVM,0.579,2250,rfe
22,XGB,0.592,2250,rfe
17,XGB,0.543,2250,rfe
17,LDA,0.535,2200,rfe
19,XGB,0.565,2200,rfe
20,RF,0.579,2200,rfe
20,SVM,0.565,2200,rfe
19,NN,0.553,2100,rfe
21,NN,0.555,2050,rfe
21,SVM,0.565,2050,rfe
24,NN,0.608,2000,rfe
22,RF,0.559,2000,rfe
24,RF,0.601,1950,rfe
19,LDA,0.543,1900,rfe
19,LR,0.543,1900,rfe
23,RF,0.582,1900,rfe
25,SVM,0.588,1850,rfe
25,XGB,0.582,1750,rfe
18,XGB,0.55,1750,rfe
18,LR,0.556,1750,rfe
21,RF,0.557,1750,rfe
20,LDA,0.547,1700,rfe
18,LDA,0.557,1700,rfe
20,LR,0.547,1650,rfe
23,XGB,0.561,1600,rfe
21,LDA,0.552,1400,rfe
23,NN,0.55,1400,rfe
21,LR,0.551,1400,rfe
22,NN,0.543,1300,rfe
21,XGB,0.55,1300,rfe
25,RF,0.599,1200,rfe
22,LR,0.545,1150,rfe
22,LDA,0.544,1150,rfe
23,LDA,0.552,1100,rfe
23,LR,0.553,1100,rfe
24,LR,0.548,1000,rfe
24,LDA,0.548,1000,rfe
25,NN,0.558,800,rfe
25,LR,0.552,750,rfe
25,LDA,0.551,750,rfe
