num_features,columns,accuracy,metric,C,kernel,degree,gamma
5,"[100, 102, 103, 104, 105]",0.677,7300,0.01,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.671,7300,0.01,poly,2,scale
5,"[100, 102, 103, 104, 105]",0.679,7300,0.001,linear,3,scale
5,"[100, 102, 103, 104, 105]",0.676,7300,0.01,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.679,7300,0.001,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.587,7300,0.001,poly,2,scale
5,"[100, 102, 103, 104, 105]",0.668,7250,0.01,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.677,7250,0.01,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.677,7250,0.01,linear,3,scale
5,"[100, 102, 103, 104, 105]",0.491,7250,0.001,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.491,7250,0.001,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.491,7200,0.001,sigmoid,3,auto
3,"[100, 102, 105]",0.627,7200,1.0,poly,3,scale
3,"[100, 102, 105]",0.614,7200,0.01,poly,4,auto
3,"[100, 102, 105]",0.565,7200,0.001,poly,5,scale
4,"[100, 102, 103, 105]",0.653,7200,0.001,poly,2,scale
3,"[100, 102, 105]",0.605,7200,0.01,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.654,7200,0.001,poly,3,scale
3,"[100, 102, 105]",0.623,7200,0.1,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.673,7200,0.001,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.673,7200,0.01,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.641,7200,10.0,poly,3,scale
4,"[100, 102, 103, 105]",0.647,7200,1.0,poly,3,scale
3,"[100, 102, 105]",0.491,7150,0.001,rbf,3,scale
3,"[100, 102, 105]",0.598,7150,0.001,poly,4,auto
4,"[100, 102, 103, 105]",0.573,7150,0.001,poly,5,scale
4,"[100, 102, 103, 105]",0.643,7150,10.0,poly,2,auto
3,"[100, 102, 105]",0.577,7150,0.001,poly,5,auto
3,"[100, 102, 105]",0.631,7150,0.1,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.675,7150,0.1,rbf,3,auto
4,"[100, 102, 103, 105]",0.651,7150,0.1,rbf,3,auto
4,"[100, 102, 103, 105]",0.655,7150,1.0,poly,3,auto
3,"[100, 102, 105]",0.628,7150,1.0,poly,3,auto
3,"[100, 102, 105]",0.631,7150,0.1,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.562,7150,0.001,poly,5,scale
5,"[100, 102, 103, 104, 105]",0.652,7150,0.001,poly,3,auto
3,"[100, 102, 105]",0.491,7150,0.001,rbf,3,auto
3,"[100, 102, 105]",0.629,7150,0.01,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.607,7100,0.001,poly,4,scale
4,"[100, 102, 103, 105]",0.654,7100,0.001,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.677,7100,0.1,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.491,7100,0.001,sigmoid,3,scale
5,"[100, 102, 103, 104, 105]",0.662,7100,0.1,poly,2,scale
3,"[100, 102, 105]",0.624,7100,0.01,rbf,3,auto
3,"[100, 102, 105]",0.612,7100,0.1,poly,4,scale
3,"[100, 102, 105]",0.633,7100,0.1,poly,3,scale
3,"[100, 102, 105]",0.627,7100,0.01,rbf,3,scale
3,"[100, 102, 105]",0.625,7100,0.1,poly,2,scale
4,"[100, 102, 103, 105]",0.491,7100,0.001,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.677,7100,10.0,linear,3,auto
3,"[100, 102, 105]",0.615,7100,0.001,poly,3,scale
4,"[100, 102, 103, 105]",0.659,7100,0.01,rbf,3,auto
3,"[100, 102, 105]",0.585,7100,0.001,poly,4,scale
4,"[100, 102, 103, 105]",0.656,7100,0.01,sigmoid,3,scale
4,"[100, 102, 103, 105]",0.651,7100,0.1,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.679,7100,0.01,sigmoid,3,scale
4,"[100, 102, 103, 105]",0.646,7100,0.1,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.677,7100,10.0,linear,3,scale
4,"[100, 102, 103, 105]",0.602,7100,0.001,poly,4,auto
4,"[100, 102, 103, 105]",0.652,7100,0.1,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.651,7100,0.01,poly,3,scale
4,"[100, 102, 103, 105]",0.645,7100,10.0,poly,2,scale
4,"[100, 102, 103, 105]",0.638,7100,10.0,poly,3,auto
4,"[100, 102, 103, 105]",0.664,7050,1.0,poly,2,scale
4,"[100, 102, 103, 105]",0.655,7050,1.0,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.677,7050,0.1,linear,3,scale
5,"[100, 102, 103, 104, 105]",0.677,7050,0.1,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.676,7050,1.0,linear,3,scale
3,"[100, 102, 105]",0.624,7050,0.001,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.676,7050,1.0,linear,3,auto
3,"[100, 102, 105]",0.62,7050,0.001,poly,3,auto
4,"[100, 102, 103, 105]",0.635,7050,0.01,poly,3,scale
4,"[100, 102, 103, 105]",0.491,7050,0.001,sigmoid,3,scale
5,"[100, 102, 103, 104, 105]",0.58,7050,0.1,poly,5,scale
4,"[100, 102, 103, 105]",0.491,7050,0.001,rbf,3,auto
3,"[100, 102, 105]",0.616,7050,0.01,poly,3,scale
4,"[100, 102, 103, 105]",0.601,7050,0.001,poly,4,scale
4,"[100, 102, 103, 105]",0.636,7050,0.001,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.607,7050,0.001,poly,4,auto
3,"[100, 102, 105]",0.575,7000,0.01,poly,5,scale
3,"[100, 102, 105]",0.621,7000,0.001,poly,2,scale
3,"[100, 102, 105]",0.628,7000,0.01,linear,3,auto
3,"[100, 102, 105]",0.627,7000,0.1,linear,3,scale
3,"[100, 102, 105]",0.628,7000,0.01,linear,3,scale
5,"[100, 102, 103, 104, 105]",0.641,7000,0.01,poly,3,auto
3,"[100, 102, 105]",0.628,7000,10.0,linear,3,scale
3,"[100, 102, 105]",0.627,7000,0.1,linear,3,auto
4,"[100, 102, 103, 105]",0.633,7000,0.001,poly,3,auto
4,"[100, 102, 103, 105]",0.654,7000,1.0,rbf,3,scale
4,"[100, 102, 103, 105]",0.652,7000,0.1,poly,2,scale
4,"[100, 102, 103, 105]",0.658,7000,0.01,rbf,3,scale
3,"[100, 102, 105]",0.625,7000,0.1,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.676,7000,1.0,rbf,3,scale
3,"[100, 102, 105]",0.625,7000,1.0,poly,2,auto
3,"[100, 102, 105]",0.628,7000,1.0,linear,3,scale
3,"[100, 102, 105]",0.628,7000,10.0,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.557,7000,0.001,poly,5,auto
3,"[100, 102, 105]",0.628,7000,1.0,linear,3,auto
3,"[100, 102, 105]",0.626,6950,10.0,poly,2,scale
5,"[100, 102, 103, 104, 105]",0.556,6950,0.01,poly,5,scale
5,"[100, 102, 103, 104, 105]",0.604,6950,0.01,poly,4,scale
4,"[100, 102, 103, 105]",0.563,6950,0.1,poly,5,scale
4,"[100, 102, 103, 105]",0.635,6950,0.1,poly,3,scale
3,"[100, 102, 105]",0.631,6950,0.001,linear,3,scale
3,"[100, 102, 105]",0.631,6950,0.001,linear,3,auto
4,"[100, 102, 103, 105]",0.571,6950,0.01,poly,5,scale
4,"[100, 102, 103, 105]",0.571,6950,0.01,poly,5,auto
3,"[100, 102, 105]",0.62,6950,0.01,poly,2,auto
4,"[100, 102, 103, 105]",0.597,6950,0.01,poly,4,scale
4,"[100, 102, 103, 105]",0.628,6950,0.01,poly,3,auto
4,"[100, 102, 103, 105]",0.654,6950,0.01,poly,2,scale
4,"[100, 102, 103, 105]",0.659,6950,0.001,linear,3,auto
4,"[100, 102, 103, 105]",0.659,6950,0.001,linear,3,scale
3,"[100, 102, 105]",0.625,6950,10.0,poly,2,auto
3,"[100, 102, 105]",0.617,6950,0.01,poly,2,scale
5,"[100, 102, 103, 104, 105]",0.572,6950,0.01,poly,5,auto
3,"[100, 102, 105]",0.599,6950,0.1,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.644,6950,0.1,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.535,6950,10.0,poly,5,scale
4,"[100, 102, 103, 105]",0.605,6900,0.1,poly,4,scale
4,"[100, 102, 103, 105]",0.663,6900,10.0,linear,3,auto
3,"[100, 102, 105]",0.626,6900,1.0,poly,2,scale
4,"[100, 102, 103, 105]",0.663,6900,1.0,linear,3,scale
4,"[100, 102, 103, 105]",0.663,6900,1.0,linear,3,auto
4,"[100, 102, 103, 105]",0.662,6900,0.1,linear,3,auto
4,"[100, 102, 103, 105]",0.662,6900,0.1,linear,3,scale
3,"[100, 102, 105]",0.491,6900,0.001,sigmoid,3,scale
5,"[100, 102, 103, 104, 105]",0.615,6900,0.1,poly,4,auto
4,"[100, 102, 103, 105]",0.663,6900,10.0,linear,3,scale
4,"[100, 102, 103, 105]",0.491,6900,0.001,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.662,6900,0.01,linear,3,scale
4,"[100, 102, 103, 105]",0.662,6900,0.01,linear,3,auto
5,"[100, 102, 103, 104, 105]",0.605,6900,0.01,poly,4,auto
3,"[100, 102, 105]",0.618,6850,10.0,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.649,6850,0.1,sigmoid,3,scale
3,"[100, 102, 105]",0.618,6850,10.0,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.607,6850,1.0,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.575,6850,0.1,poly,5,auto
3,"[100, 102, 105]",0.573,6850,0.01,poly,5,auto
3,"[100, 102, 105]",0.62,6850,0.01,sigmoid,3,scale
5,"[100, 102, 103, 104, 105]",0.661,6850,0.1,poly,2,auto
4,"[100, 102, 103, 105]",0.613,6850,0.1,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.645,6850,1.0,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.676,6850,1.0,poly,2,auto
4,"[100, 102, 103, 105]",0.656,6850,0.01,poly,2,auto
4,"[100, 102, 103, 105]",0.572,6850,0.001,poly,5,auto
4,"[100, 102, 103, 105]",0.647,6850,0.01,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.598,6850,0.01,poly,4,auto
5,"[100, 102, 103, 104, 105]",0.54,6800,1.0,poly,5,auto
5,"[100, 102, 103, 104, 105]",0.638,6800,1.0,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.678,6800,10.0,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.673,6800,10.0,poly,2,scale
3,"[100, 102, 105]",0.619,6800,0.01,sigmoid,3,auto
5,"[100, 102, 103, 104, 105]",0.627,6800,10.0,poly,3,scale
5,"[100, 102, 103, 104, 105]",0.655,6800,10.0,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.674,6800,1.0,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.601,6750,0.1,poly,4,scale
