num_features,model,accuracy,metric,method
1,RF,0.527,5400,kbest
1,XGB,0.484,5250,kbest
2,XGB,0.506,5000,kbest
2,RF,0.523,4950,kbest
1,SVM,0.492,4950,kbest
3,RF,0.494,4800,kbest
1,LR,0.493,4800,kbest
1,NN,0.499,4800,kbest
1,LDA,0.493,4800,kbest
4,NN,0.522,4800,kbest
2,NN,0.504,4750,kbest
5,XGB,0.524,4700,kbest
3,LR,0.507,4700,kbest
3,LDA,0.507,4700,kbest
2,LR,0.504,4650,kbest
2,LDA,0.504,4650,kbest
3,NN,0.517,4600,kbest
5,LDA,0.523,4600,kbest
5,LR,0.523,4600,kbest
3,XGB,0.488,4550,kbest
6,NN,0.522,4500,kbest
5,NN,0.526,4450,kbest
2,SVM,0.51,4450,kbest
5,RF,0.526,4450,kbest
3,SVM,0.521,4400,kbest
4,XGB,0.508,4350,kbest
6,RF,0.518,4350,kbest
4,SVM,0.51,4350,kbest
6,XGB,0.5,4300,kbest
4,LDA,0.529,4300,kbest
4,RF,0.511,4300,kbest
4,LR,0.529,4300,kbest
6,LR,0.532,4250,kbest
6,LDA,0.531,4250,kbest
9,NN,0.533,4150,kbest
9,LDA,0.534,4100,kbest
9,LR,0.536,4100,kbest
5,SVM,0.509,4050,kbest
6,SVM,0.495,4050,kbest
7,NN,0.533,4050,kbest
7,SVM,0.483,4000,kbest
7,RF,0.495,3950,kbest
8,LR,0.519,3900,kbest
8,RF,0.501,3900,kbest
8,SVM,0.5,3850,kbest
8,LDA,0.518,3850,kbest
7,LR,0.522,3850,kbest
7,LDA,0.522,3850,kbest
9,XGB,0.515,3800,kbest
9,SVM,0.513,3800,kbest
8,NN,0.528,3650,kbest
9,RF,0.501,3650,kbest
10,LDA,0.532,3650,kbest
10,LR,0.533,3600,kbest
10,SVM,0.513,3600,kbest
8,XGB,0.496,3550,kbest
10,NN,0.523,3450,kbest
10,XGB,0.52,3450,kbest
10,RF,0.524,3400,kbest
7,XGB,0.49,3350,kbest
11,LDA,0.542,3300,kbest
11,LR,0.541,3300,kbest
12,LR,0.542,3200,kbest
12,LDA,0.541,3200,kbest
11,NN,0.53,3150,kbest
12,NN,0.533,3150,kbest
11,XGB,0.505,3100,kbest
12,RF,0.512,3100,kbest
11,RF,0.517,3050,kbest
11,SVM,0.515,3050,kbest
13,LR,0.541,3050,kbest
13,LDA,0.541,3050,kbest
12,SVM,0.513,3000,kbest
12,XGB,0.503,2950,kbest
14,RF,0.508,2800,kbest
13,RF,0.506,2800,kbest
13,NN,0.524,2800,kbest
15,LDA,0.546,2750,kbest
15,NN,0.514,2750,kbest
15,LR,0.546,2750,kbest
13,XGB,0.507,2650,kbest
14,LR,0.533,2650,kbest
15,XGB,0.528,2650,kbest
14,LDA,0.533,2650,kbest
13,SVM,0.51,2550,kbest
14,NN,0.519,2550,kbest
14,SVM,0.498,2500,kbest
14,XGB,0.515,2500,kbest
16,LR,0.546,2400,kbest
15,RF,0.517,2400,kbest
16,LDA,0.546,2400,kbest
16,RF,0.527,2300,kbest
15,SVM,0.508,2300,kbest
16,NN,0.521,2250,kbest
16,SVM,0.51,2250,kbest
16,XGB,0.519,2200,kbest
17,LR,0.542,2200,kbest
17,LDA,0.543,2200,kbest
17,SVM,0.52,2150,kbest
18,LR,0.541,2100,kbest
18,LDA,0.542,2100,kbest
19,LR,0.537,2000,kbest
19,LDA,0.539,2000,kbest
17,RF,0.526,1900,kbest
18,RF,0.501,1850,kbest
17,XGB,0.521,1800,kbest
18,NN,0.531,1700,kbest
20,LDA,0.524,1700,kbest
18,SVM,0.526,1700,kbest
18,XGB,0.507,1700,kbest
20,LR,0.524,1700,kbest
19,XGB,0.516,1650,kbest
19,NN,0.519,1600,kbest
19,RF,0.521,1600,kbest
19,SVM,0.51,1600,kbest
17,NN,0.5,1600,kbest
21,LDA,0.521,1400,kbest
21,LR,0.523,1400,kbest
21,RF,0.517,1300,kbest
22,NN,0.525,1300,kbest
20,SVM,0.505,1300,kbest
21,XGB,0.503,1250,kbest
22,XGB,0.511,1200,kbest
21,SVM,0.511,1200,kbest
21,NN,0.528,1100,kbest
22,LDA,0.515,1100,kbest
20,NN,0.515,1050,kbest
22,LR,0.515,1050,kbest
20,RF,0.506,1050,kbest
24,RF,0.543,950,kbest
23,LR,0.537,900,kbest
23,LDA,0.537,900,kbest
23,NN,0.528,750,kbest
24,XGB,0.514,750,kbest
23,XGB,0.506,700,kbest
24,NN,0.521,700,kbest
22,RF,0.487,650,kbest
24,LDA,0.533,650,kbest
24,LR,0.533,650,kbest
20,XGB,0.503,600,kbest
22,SVM,0.505,600,kbest
23,SVM,0.503,600,kbest
23,RF,0.516,550,kbest
25,LR,0.534,450,kbest
25,LDA,0.534,450,kbest
25,NN,0.52,350,kbest
25,RF,0.527,350,kbest
25,SVM,0.507,350,kbest
25,XGB,0.521,250,kbest
24,SVM,0.51,200,kbest
