Variable,JB Statistic,JB P-Value
0,2.561658947572442,0.27780677142298776
1,0.9775325125390532,0.6133826845957097
2,4.504055818068314,0.1051857010984372
3,1.365885616138503,0.5051283073239619
4,0.1597115340978325,0.9232494997837917
5,0.7390945474670609,0.6910471150094946
6,2.8446846307168654,0.241148509000378
7,0.27423606829094765,0.8718673099455209
8,0.4570041423391403,0.7957246491220984
9,0.8729016906625058,0.64632626705897
10,1.1172082218644266,0.5720069650977175
11,2.795453286014173,0.24715820458246743
12,1.315245816524223,0.5180813989374384
13,2.0131757966759936,0.3654638543689539
14,1.4718781196172055,0.47905538602614794
15,2.234611851059869,0.327160001827329
16,10.54192098089746,0.005138672556041701
17,3.837502524290373,0.1467901501468424
18,0.4252360969680987,0.8084648726354503
19,2.5296411578586793,0.2822899403604035
20,0.5984202763356128,0.741403595871154
21,3.2888601482722093,0.19312259699804563
22,2.977413873810651,0.22566426509701284
23,1.7502226891916346,0.41681560692936814
24,0.43210390843100144,0.8056934416153875
25,0.5956134214833951,0.7424448324905273
26,0.4372831013100065,0.8036097199112574
27,5.633195300826288,0.05980908835377216
28,2.5521831367326913,0.2791261166293663
29,1.955479085508143,0.37616043312453035
30,0.022159204718033766,0.9889815503774929
31,2.474321076177098,0.29020708109509435
32,0.3656445524994341,0.8329161715694196
33,4.33737077284726,0.11432781506077747
34,0.16587094616195375,0.9204105365601591
35,2.6936485558780663,0.2600648442919452
36,0.41378805659549006,0.8131058116291141
37,2.4617992165281586,0.2920297471024545
38,0.3167330053285642,0.8535369010878341
39,1.1335309042210084,0.5673576193543721
40,0.560796528128219,0.7554827998823503
41,0.12809888706511693,0.9379586223965293
42,2.9579269558364607,0.22787376220119185
43,1.2613705021983597,0.5322269669056039
44,0.5920421048370753,0.7437717696607657
45,1.0965278719477776,0.5779523021343094
46,0.8892845602129635,0.6410535526300601
47,0.0023353872135710866,0.9988329878821116
48,3.0427039846256743,0.21841638996216994
49,10.807422473074498,0.004499849908011886
50,2.0481296495130077,0.35913215991998737
51,2.20279617687519,0.33240602565663907
52,1.7554748190810827,0.4157224580437968
53,0.7106318172183818,0.7009519714655839
54,1.6124782363039283,0.446534274884793
55,0.22193946021063077,0.8949658390407156
56,1.2461497516683167,0.536292865733878
57,3.5491151445683773,0.16955845026488528
58,3.6562534657604058,0.16071434686909275
59,1.4945606737219423,0.47365297917296023
60,0.002291663845635509,0.9988548242919187
61,0.8294123233965783,0.6605343424816115
62,0.46981203408207467,0.7906451533080383
63,4.076223353484232,0.13027447908925532
64,7.374260294750607,0.025043770941705606
65,0.500770834083914,0.778500677813875
66,0.04052047284334018,0.9799436230996043
67,0.7478489849843027,0.6880288612123087
68,2.455134249989869,0.293004554711651
69,2.713805602661734,0.25745693866941743
70,1.7938033819542143,0.40783129163930076
71,0.9036384921340812,0.636469203640123
72,3.6978825125058252,0.15740372833796398
73,0.13774950442102352,0.9334435845026097
74,2.2359643112401493,0.3269388411759742
