n_features,Combination,score,accuracy,accuracy_top_20pc,XGB_params,SVM_params,split_size
4,"('XGBClassifier',)",7100.0,0.65,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7100.0,0.669,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7100.0,0.673,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6450.0,0.636,0.725,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7000.0,0.674,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7000.0,0.675,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6050.0,0.604,0.685,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6750.0,0.664,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6750.0,0.661,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6400.0,0.612,0.72,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7000.0,0.654,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7000.0,0.659,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6000.0,0.616,0.68,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6750.0,0.66,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6800.0,0.658,0.76,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5950.0,0.596,0.675,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7000.0,0.667,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6850.0,0.671,0.765,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6300.0,0.631,0.71,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6950.0,0.66,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6950.0,0.662,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6050.0,0.633,0.685,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6750.0,0.665,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6700.0,0.662,0.75,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6200.0,0.591,0.7,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6900.0,0.681,0.77,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6850.0,0.681,0.765,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6450.0,0.595,0.725,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7350.0,0.665,0.815,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7350.0,0.658,0.815,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6550.0,0.618,0.735,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6900.0,0.648,0.77,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6950.0,0.645,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6150.0,0.66,0.695,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6950.0,0.678,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6950.0,0.68,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5600.0,0.594,0.64,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6450.0,0.652,0.725,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6500.0,0.648,0.73,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5650.0,0.585,0.645,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7050.0,0.668,0.785,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6950.0,0.667,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5600.0,0.592,0.64,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7050.0,0.657,0.785,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6950.0,0.655,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5300.0,0.555,0.61,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6750.0,0.637,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6700.0,0.633,0.75,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6550.0,0.579,0.735,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7000.0,0.644,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6950.0,0.65,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5950.0,0.566,0.675,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6700.0,0.653,0.75,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6650.0,0.658,0.745,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5950.0,0.593,0.675,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6300.0,0.641,0.71,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6300.0,0.642,0.71,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5900.0,0.619,0.67,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6700.0,0.661,0.75,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6750.0,0.663,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5800.0,0.593,0.66,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6800.0,0.632,0.76,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6850.0,0.636,0.765,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6600.0,0.645,0.74,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6900.0,0.671,0.77,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6850.0,0.672,0.765,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5900.0,0.669,0.67,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6800.0,0.68,0.76,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6800.0,0.678,0.76,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6150.0,0.607,0.695,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7200.0,0.678,0.8,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7200.0,0.675,0.8,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6350.0,0.581,0.715,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6950.0,0.672,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7100.0,0.672,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5650.0,0.597,0.645,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6850.0,0.642,0.765,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6800.0,0.639,0.76,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5700.0,0.596,0.65,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6600.0,0.655,0.74,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6600.0,0.654,0.74,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6300.0,0.65,0.71,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7250.0,0.697,0.805,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7200.0,0.697,0.8,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6450.0,0.567,0.725,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
