score,accuracy
5515.176715176716,0.646
5772.11155378486,0.641
5951.394422310756,0.634
5937.014314928425,0.657
5862.374245472836,0.637
5686.22754491018,0.64
5673.747494989979,0.643
5677.470355731225,0.639
5934.268537074147,0.656
5960.0,0.642
5820.0,0.633
6056.461232604374,0.655
5874.688796680498,0.666
5870.707070707071,0.649
5823.346303501945,0.633
5827.027027027027,0.624
5813.752455795678,0.622
5822.132796780684,0.629
5704.276985743381,0.642
5418.556701030927,0.633
5690.243902439025,0.636
5775.806451612903,0.655
5957.057654075547,0.624
6129.317269076306,0.65
5626.347305389221,0.627
5551.968503937008,0.63
5825.948103792415,0.639
5858.823529411765,0.634
5780.0,0.641
5697.233201581028,0.619
5759.06432748538,0.623
5576.8595041322305,0.641
5869.67213114754,0.642
5863.492063492064,0.639
5834.0681362725445,0.65
5630.265848670756,0.652
5601.541425818882,0.624
5702.485659655832,0.601
5856.367432150313,0.67
5967.019027484143,0.673
5473.42799188641,0.624
5645.360824742267,0.63
6004.72440944882,0.657
5574.1935483870975,0.631
5662.348178137651,0.637
6139.449541284404,0.627
5675.0,0.635
5737.5,0.64
5673.747494989979,0.629
5770.297029702971,0.648
5752.965235173824,0.628
5878.189300411523,0.65
5862.5,0.667
5676.2278978388995,0.626
5721.487603305784,0.657
5928.5140562249,0.64
5730.8943089430895,0.645
5861.143984220907,0.647
5742.800788954635,0.609
5739.571150097466,0.628
5750.495049504951,0.622
5904.722792607802,0.678
5890.909090909091,0.649
5612.749003984063,0.625
5664.406779661017,0.678
5752.19123505976,0.645
5709.090909090909,0.656
5772.65625,0.626
5793.865030674846,0.648
5939.959432048682,0.623
5896.114519427402,0.66
5629.2682926829275,0.629
5706.614785992218,0.619
5758.250497017893,0.639
5898.0392156862745,0.649
5626.923076923077,0.615
5746.107784431138,0.637
5787.951807228917,0.649
5929.277566539924,0.602
5837.037037037037,0.634
5865.6370656370655,0.62
5891.633466135458,0.635
5853.941908713693,0.673
5703.353057199211,0.643
5720.0,0.64
5724.603174603174,0.611
5646.473029045644,0.648
5588.617886178862,0.626
5960.0,0.65
5440.0,0.632
5585.714285714286,0.671
5721.56862745098,0.65
5897.415506958251,0.645
5965.354330708662,0.637
6060.7879924953095,0.633
5713.827655310621,0.641
6035.294117647059,0.64
5892.337917485265,0.641
5710.569105691057,0.633
5745.010183299389,0.644
