score,accuracy
5556.756756756758,0.566
5871.713147410358,0.541
5871.713147410358,0.531
5896.114519427402,0.568
5882.494969818913,0.547
5786.027944111776,0.546
5673.747494989979,0.55
5815.810276679842,0.539
5914.228456913826,0.551
6000.0,0.545
5820.0,0.549
6016.699801192844,0.541
5750.207468879668,0.567
5870.707070707071,0.547
5881.712062256809,0.532
5904.247104247104,0.53
5911.9842829076615,0.543
5842.25352112676,0.545
5785.743380855397,0.553
5521.649484536082,0.555
5649.59349593496,0.544
5836.290322580646,0.554
5857.65407554672,0.544
6048.995983935743,0.55
5706.187624750499,0.527
5630.708661417323,0.539
5706.187624750499,0.535
5737.11967545639,0.55
5840.0,0.541
5894.861660079051,0.544
5739.571150097466,0.529
5742.148760330578,0.567
5931.147540983607,0.573
5784.126984126984,0.552
5793.987975951903,0.545
5752.965235173824,0.559
5697.880539499036,0.534
5606.883365200764,0.511
5856.367432150313,0.568
5840.169133192389,0.573
5534.279918864097,0.543
5521.649484536082,0.56
6063.779527559055,0.544
5795.967741935484,0.536
5682.5910931174085,0.565
6231.192660550459,0.515
5614.5161290322585,0.536
5570.833333333334,0.567
5713.827655310621,0.54
5671.287128712871,0.547
5650.715746421268,0.551
5672.427983539095,0.549
5716.666666666667,0.575
5656.581532416502,0.534
5783.471074380164,0.562
5727.710843373495,0.541
5832.5203252032525,0.548
5801.972386587771,0.542
5782.248520710059,0.53
5720.077972709551,0.531
5809.9009900990095,0.534
5884.188911704311,0.576
5890.909090909091,0.561
5692.430278884462,0.521
5727.966101694916,0.593
5692.430278884462,0.544
5911.111111111111,0.556
5967.96875,0.534
5773.415132924335,0.545
5919.675456389453,0.548
5814.314928425358,0.565
5690.243902439025,0.539
5901.1673151750965,0.524
5877.534791252486,0.543
5917.647058823529,0.54
5800.0,0.522
5706.187624750499,0.539
5767.871485943776,0.551
5872.243346007605,0.506
5651.851851851852,0.552
6077.992277992278,0.517
5811.952191235059,0.543
5708.7136929460585,0.58
5861.143984220907,0.54
5760.0,0.547
5704.761904761905,0.532
5667.219917012449,0.555
5669.918699186992,0.546
5900.0,0.545
5680.0,0.546
5690.756302521009,0.571
5721.56862745098,0.537
5877.534791252486,0.542
6063.779527559055,0.526
6248.405253283302,0.505
5693.7875751503,0.56
6054.901960784314,0.525
5794.1060903732805,0.542
5649.59349593496,0.561
5520.977596741344,0.557
