data_set,optimizer,seed_42_acc,seed_43_acc,seed_44_acc,seed_45_acc,seed_46_acc
mstz/blood,adam,0.6263227513227513,0.5779031316864424,0.5777777777777777,0.7056141350812197,0.6638946638946639
mstz/blood,dt,0.613250418560153,0.6258741258741258,0.5605239385727191,0.6126651126651126,0.6138500997435167
mstz/blood,irls,0.7142857142857142,0.9006849315068493,0.8206896551724139,0.5818661971830985,0.7279929577464789
mstz/blood,lda,0.5090887347524515,0.5606060606060606,0.551490514905149,0.508935508935509,0.5827871188372756
mstz/blood,qda,0.564338674958144,0.5827505827505828,0.5438121047877146,0.6519036519036518,0.609717868338558
mstz/blood,rf,0.5771346567806745,0.6452991452991453,0.6016260162601625,0.5932400932400932,0.6483328583642063
mstz/blood,sgd,0.6892857142857143,0.7139084507042254,0.6481360366252452,0.6743402582818641,0.6530539772727273
mstz/blood,adam+int,0.5599292348518354,0.62,0.6004962779156328,0.78,0.8066666666666666
mstz/blood,dt+int,0.563621143267161,0.6068376068376068,0.5912375790424571,0.5932400932400932,0.6442006269592476
mstz/blood,irls+int,0.6357142857142857,0.9006849315068493,0.6481360366252452,0.5602836879432624,0.6888888888888889
mstz/blood,lda+int,0.5545324085147094,0.5714840714840715,0.564137308039747,0.5652680652680653,0.6269592476489028
mstz/blood,qda+int,0.6436259268117674,0.5042735042735043,0.491869918699187,0.4976689976689977,0.5
mstz/blood,rf+int,0.59507294905525,0.6324786324786325,0.6201445347786811,0.5975135975135974,0.6614420062695925
mstz/blood,sgd+int,0.7533333333333333,0.78,0.82,0.78,0.8066666666666666
jlh/uci-shopper,adam,0.8876652268942549,0.8114480109103102,0.8285472232425324,0.826759899434318,0.8447816047487215
jlh/uci-shopper,dt,0.710705596107056,0.7423061269608384,0.7302059257832563,0.7418394812465154,0.748784063732379
jlh/uci-shopper,irls,0.7993090133116554,0.8176953160118673,0.8136894761215501,0.8110253012922898,0.8244749078082412
jlh/uci-shopper,lda,0.6450121654501216,0.6535357900131644,0.6743668143297381,0.6442912716363265,0.6712979549531803
jlh/uci-shopper,qda,0.7440389294403893,0.735241581332717,0.7368788520801233,0.7560125314011983,0.7514030033857165
jlh/uci-shopper,rf,0.7535279805352798,0.7562857372551779,0.7715555983564458,0.7741888787607163,0.774237751069852
jlh/uci-shopper,sgd,0.8333333333333334,0.8450932684509327,0.8564476885644768,0.8463098134630981,0.8544201135442011
mstz/heart_failure,adam,0.5833333333333334,0.6228070175438596,0.6166666666666667,0.2833333333333333,0.43333333333333335
mstz/heart_failure,dt,0.6314285714285715,0.7726244343891402,0.7802585193889542,0.7777017783857729,0.6900452488687783
mstz/heart_failure,irls,0.8444444444444444,0.8626373626373627,0.7885714285714285,0.6625,0.8038277511961722
mstz/heart_failure,lda,0.7657142857142858,0.8212669683257918,0.7967097532314924,0.6778385772913817,0.7873303167420814
mstz/heart_failure,qda,0.6228571428571428,0.6911764705882353,0.7749706227967097,0.6361149110807114,0.6821266968325792
mstz/heart_failure,rf,0.6628571428571428,0.7635746606334841,0.7450058754406581,0.7893296853625171,0.7873303167420814
mstz/heart_failure,sgd,0.5833333333333334,0.5666666666666667,0.6166666666666667,0.7166666666666667,0.5666666666666667
