data_set, optimizer, seed_42_acc, seed_43_acc, seed_44_acc, seed_45_acc, seed_46_acc
nba_data, adam, 0.6557587711433865, 0.6466010075281599, 0.6409945986217173, 0.6711895345299665, 0.6057930875310138
nba_data, irls, 0.7100890562429024, 0.6536480443765212, 0.631588750232818, 0.7227867356251901, 0.6410478333621834
smoking_data, adam, 0.6393409247757074, 0.6525645472804279, 0.664044649211522, 0.7236782088877891, 0.6457986852215487
smoking_data, sgd, 0.7266580400276053, 0.7274286864430369, 0.7314213512362246, 0.7406789788673799, 0.7371552975326561
nba_data, sgd, 0.7273922658538043, 0.6602988622856172, 0.6813807661265288, 0.6905689078186796, 0.647365991575789
banana_data, adam, 0.8792029566677454, 0.880522356684812, 0.8818268766438655, 0.8789640856342538, 0.8786008133638854
banana_data, sgd, 0.8840820018088634, 0.8855889724310777, 0.8687499999999999, 0.8725490808857999, 0.8607796616586425
banana_data, adam+int, 0.9593669241556566, 0.9593541106948553, 0.9554704873890221, 0.9492171868747499, 0.9456633401244356
banana_data, sgd+int, 0.9665234649783941, 0.9640977443609022, 0.9475, 0.943737460232138, 0.9456110904283849
smoking_data, lda, 0.7391451033229804, 0.745349763402287, 0.741751362518593, 0.7503095990672303, 0.7433894504832903
smoking_data, qda, 0.7272146062242413, 0.7415276882144005, 0.7396250760577121, 0.7445017145490753, 0.7314483484049776
smoking_data, dt, 0.748251186778734, 0.7515958111410903, 0.7540343188489115, 0.7537292904140025, 0.7527939316663697
smoking_data, rf, 0.8226319867393084, 0.8244901192602407, 0.8243030782945648, 0.8251148765077542, 0.8218878856504221
banana_data, lda, 0.880126915338183, 0.8822861036742515, 0.8826840699569762, 0.8763880552220888, 0.8867438625217418
banana_data, qda, 0.9255087635369326, 0.924446455392127, 0.9207389209522425, 0.9172669067627051, 0.9270991642082249
banana_data, dt, 0.9379861140424521, 0.9376460346560264, 0.936323898737105, 0.9247699079631853, 0.935574710750801
banana_data, rf, 0.9743753898683476, 0.9725333720935685, 0.9687097091793917, 0.9675370148059224, 0.9694259244446745
banana_data, lda+int, 0.9526514174401498, 0.9520553083548624, 0.9430196959112582, 0.9444152661064426, 0.9480959035381172
banana_data, qda+int, 0.9635810199190481, 0.969890486706646, 0.959427485508979, 0.957357943177271, 0.9583131403907472
banana_data, dt+int, 0.9456685724291358, 0.9368684855844747, 0.9313401439959743, 0.9267331932773109, 0.9196218940117535
banana_data, rf+int, 0.9723359582514512, 0.972574007823941, 0.9693606134909882, 0.9668992597038816, 0.9640487202771648
nba_data, lda, 0.6785607554838324, 0.6446765155374428, 0.664555783199851, 0.7238211134773349, 0.63017136922278
nba_data, qda, 0.7042316657701273, 0.6522895794418974, 0.6733718259141988, 0.6611499847885609, 0.6717442732675553
nba_data, dt, 0.6143386528001913, 0.5571970340182261, 0.5862357981002049, 0.6194706419227258, 0.5480064624084011
nba_data, rf, 0.6566254258561951, 0.6769400577347597, 0.6450921959396536, 0.7017341040462428, 0.6284692170099822
