,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,random_state,features
0,NeuralNetFastAI_r88_BAG_L1,0.5714285714285714,0.5454545454545454,precision,0.06424808502197266,0.05213427543640137,4.560507297515869,0.06424808502197266,0.05213427543640137,4.560507297515869,1,True,68,3,['x423']
1,NeuralNetFastAI_r102_BAG_L1,0.5580524344569289,0.5387689848121503,precision,0.07102417945861816,0.05548501014709473,3.075312852859497,0.07102417945861816,0.05548501014709473,3.075312852859497,1,True,24,3,['x423']
2,NeuralNetTorch_r31_BAG_L1,0.5527065527065527,0.508169250104734,precision,0.06264925003051758,0.027754545211791992,4.569613933563232,0.06264925003051758,0.027754545211791992,4.569613933563232,1,True,65,3,['x423']
3,NeuralNetTorch_r30_BAG_L1,0.551219512195122,0.5443322109988776,precision,0.096221923828125,0.030756235122680664,10.98316216468811,0.096221923828125,0.030756235122680664,10.98316216468811,1,True,30,3,['x423']
4,NeuralNetFastAI_r156_BAG_L1,0.5504087193460491,0.541958041958042,precision,0.057042837142944336,0.03812980651855469,3.17321515083313,0.057042837142944336,0.03812980651855469,3.17321515083313,1,True,43,3,['x423']
5,NeuralNetFastAI_r65_BAG_L1,0.5376344086021505,0.5311059907834101,precision,0.05762314796447754,0.04365277290344238,3.781973123550415,0.05762314796447754,0.04365277290344238,3.781973123550415,1,True,67,3,['x423']
6,NeuralNetTorch_r14_BAG_L1,0.5372460496613995,0.5280594996619338,precision,0.024834632873535156,0.020886659622192383,4.2490692138671875,0.024834632873535156,0.020886659622192383,4.2490692138671875,1,True,39,3,['x423']
7,NeuralNetTorch_r41_BAG_L1,0.5371621621621622,0.5370860927152318,precision,0.033188819885253906,0.014966249465942383,6.399720907211304,0.033188819885253906,0.014966249465942383,6.399720907211304,1,True,48,3,['x423']
8,NeuralNetTorch_r87_BAG_L1,0.5365344467640919,0.5321188878235859,precision,0.05232381820678711,0.021847963333129883,4.253948926925659,0.05232381820678711,0.021847963333129883,4.253948926925659,1,True,72,3,['x423']
9,NeuralNetTorch_r158_BAG_L1,0.5338753387533876,0.5337001375515819,precision,0.09331798553466797,0.024468183517456055,7.283138990402222,0.09331798553466797,0.024468183517456055,7.283138990402222,1,True,51,3,['x423']
10,NeuralNetFastAI_r111_BAG_L1,0.5336134453781513,0.5412698412698412,precision,0.07678794860839844,0.05093264579772949,3.030494213104248,0.07678794860839844,0.05093264579772949,3.030494213104248,1,True,64,3,['x423']
11,NeuralNetTorch_r22_BAG_L1,0.5310077519379846,0.5279187817258884,precision,0.07078814506530762,0.03685355186462402,6.751693964004517,0.07078814506530762,0.03685355186462402,6.751693964004517,1,True,20,3,['x423']
12,LightGBM_r196_BAG_L1,0.5271493212669683,0.5304740406320542,precision,0.010333776473999023,0.010433673858642578,1.44063401222229,0.010333776473999023,0.010433673858642578,1.44063401222229,1,True,44,3,['x423']
13,NeuralNetTorch_BAG_L1,0.5245535714285714,0.5332629355860612,precision,0.06599307060241699,0.017034292221069336,5.635066032409668,0.06599307060241699,0.017034292221069336,5.635066032409668,1,True,12,3,['x423']
14,NeuralNetFastAI_BAG_L1,0.5217391304347826,0.5492277992277992,precision,0.12738513946533203,0.05967354774475098,4.107123851776123,0.12738513946533203,0.05967354774475098,4.107123851776123,1,True,10,3,['x423']
15,XGBoost_BAG_L2,0.5171026156941649,0.6815222834251377,precision,4.7114763259887695,3.141752004623413,229.61059880256653,0.1587369441986084,0.11093759536743164,9.563261032104492,2,True,82,3,['x423']
16,NeuralNetTorch_r86_BAG_L1,0.5157232704402516,0.5290519877675841,precision,0.06514668464660645,0.017210006713867188,6.526324033737183,0.06514668464660645,0.017210006713867188,6.526324033737183,1,True,32,3,['x423']
17,WeightedEnsemble_L3,0.5136054421768708,0.7222672064777328,precision,4.806986331939697,3.410276412963867,235.77317118644714,0.001561880111694336,0.001580953598022461,0.7866172790527344,3,True,87,3,['x423']
18,LightGBM_BAG_L2,0.5086042065009561,0.6812248995983936,precision,4.729433536529541,3.2645623683929443,228.77173686027527,0.17669415473937988,0.2337479591369629,8.724399089813232,2,True,75,3,['x423']
19,NeuralNetFastAI_r191_BAG_L1,0.5082508250825083,0.5370138017565872,precision,0.16016387939453125,0.08031773567199707,8.272869110107422,0.16016387939453125,0.08031773567199707,8.272869110107422,1,True,17,3,['x423']
20,NeuralNetTorch_BAG_L2,0.5076923076923077,0.5797101449275363,precision,4.67702841758728,3.1220006942749023,228.57066893577576,0.12428903579711914,0.0911862850189209,8.52333116531372,2,True,83,3,['x423']
21,LightGBM_r96_BAG_L1,0.5064220183486239,0.5208926875593543,precision,0.010303974151611328,0.006964683532714844,1.2148940563201904,0.010303974151611328,0.006964683532714844,1.2148940563201904,1,True,19,3,['x423']
22,LightGBM_r30_BAG_L1,0.5054151624548736,0.5265111346765642,precision,0.014174938201904297,0.008408784866333008,1.0760889053344727,0.014174938201904297,0.008408784866333008,1.0760889053344727,1,True,69,3,['x423']
23,LightGBMLarge_BAG_L2,0.5029940119760479,0.6945436002039775,precision,4.805424451828003,3.4086954593658447,234.9865539073944,0.2526850700378418,0.3778810501098633,14.939216136932373,2,True,84,3,['x423']
24,LightGBMXT_BAG_L2,0.5020491803278688,0.6436143361938415,precision,4.694263458251953,3.2122654914855957,225.00765585899353,0.141524076461792,0.18145108222961426,4.960318088531494,2,True,74,3,['x423']
25,NeuralNetFastAI_BAG_L2,0.501937984496124,0.5728592889334001,precision,4.659108400344849,3.081939697265625,224.73179459571838,0.1063690185546875,0.051125288009643555,4.684456825256348,2,True,81,3,['x423']
26,LightGBM_r94_BAG_L1,0.5017241379310344,0.524665744582757,precision,0.012453079223632812,0.006653785705566406,1.3096561431884766,0.012453079223632812,0.006653785705566406,1.3096561431884766,1,True,61,3,['x423']
27,LightGBMXT_BAG_L1,0.5008787346221442,0.5244943820224719,precision,0.026948928833007812,0.022670745849609375,2.6673390865325928,0.026948928833007812,0.022670745849609375,2.6673390865325928,1,True,3,3,['x423']
28,NeuralNetTorch_r143_BAG_L1,0.5,0.5382746051032807,precision,0.1133871078491211,0.03645634651184082,12.726026058197021,0.1133871078491211,0.03645634651184082,12.726026058197021,1,True,62,3,['x423']
29,ExtraTreesEntr_BAG_L2,0.5,0.5696908261530664,precision,4.641616344451904,3.153233289718628,220.52586364746094,0.08887696266174316,0.12241888046264648,0.47852587699890137,2,True,80,3,['x423']
30,LightGBM_r188_BAG_L1,0.49828178694158076,0.5284974093264249,precision,0.013883829116821289,0.008347749710083008,1.1785240173339844,0.013883829116821289,0.008347749710083008,1.1785240173339844,1,True,27,3,['x423']
31,NeuralNetTorch_r79_BAG_L2,0.49777777777777776,0.5812751292360713,precision,4.70836329460144,3.1170551776885986,227.93811798095703,0.1556239128112793,0.08624076843261719,7.890780210494995,2,True,86,3,['x423']
32,RandomForestGini_BAG_L1,0.49706457925636005,0.50920245398773,precision,0.09437298774719238,0.10629773139953613,0.5778481960296631,0.09437298774719238,0.10629773139953613,0.5778481960296631,1,True,5,3,['x423']
33,RandomForest_r195_BAG_L1,0.49706457925636005,0.50920245398773,precision,0.10201501846313477,0.10857319831848145,0.5312771797180176,0.10201501846313477,0.10857319831848145,0.5312771797180176,1,True,26,3,['x423']
34,RandomForestEntr_BAG_L1,0.49706457925636005,0.50920245398773,precision,0.1050710678100586,0.11182999610900879,0.6519758701324463,0.1050710678100586,0.11182999610900879,0.6519758701324463,1,True,6,3,['x423']
35,LightGBM_BAG_L1,0.49609375,0.5287456445993032,precision,0.02718210220336914,0.04146218299865723,1.4304020404815674,0.02718210220336914,0.04146218299865723,1.4304020404815674,1,True,4,3,['x423']
36,LightGBM_r15_BAG_L1,0.49506903353057197,0.5349487418452936,precision,0.08273983001708984,0.025415897369384766,1.4727718830108643,0.08273983001708984,0.025415897369384766,1.4727718830108643,1,True,50,3,['x423']
37,ExtraTreesGini_BAG_L2,0.4949290060851927,0.56272040302267,precision,4.6343934535980225,3.151533603668213,220.61082673072815,0.08165407180786133,0.12071919441223145,0.5634889602661133,2,True,79,3,['x423']
38,RandomForestGini_BAG_L2,0.494199535962877,0.5949622166246852,precision,4.631899356842041,3.145073652267456,220.97867393493652,0.07915997505187988,0.11425924301147461,0.9313361644744873,2,True,76,3,['x423']
39,CatBoost_r13_BAG_L1,0.494195688225539,0.5277215702144881,precision,0.00924229621887207,0.002998828887939453,1.9455461502075195,0.00924229621887207,0.002998828887939453,1.9455461502075195,1,True,25,3,['x423']
40,CatBoost_BAG_L2,0.4939759036144578,0.6656686626746507,precision,4.57349157333374,3.0532193183898926,266.0664837360382,0.0207521915435791,0.022404909133911133,46.01914596557617,2,True,78,3,['x423']
41,CatBoost_r177_BAG_L2,0.4939271255060729,0.6731634182908546,precision,4.573474407196045,3.11307954788208,246.11067867279053,0.02073502540588379,0.08226513862609863,26.06334090232849,2,True,85,3,['x423']
42,LightGBM_r143_BAG_L1,0.49236641221374045,0.5206349206349207,precision,0.06027984619140625,0.07804274559020996,1.8323431015014648,0.06027984619140625,0.07804274559020996,1.8323431015014648,1,True,57,3,['x423']
43,ExtraTreesEntr_BAG_L1,0.4921259842519685,0.5022970903522205,precision,0.10526227951049805,0.10529613494873047,0.37511301040649414,0.10526227951049805,0.10529613494873047,0.37511301040649414,1,True,9,3,['x423']
44,LightGBM_r130_BAG_L1,0.4921259842519685,0.5210784313725491,precision,0.1142570972442627,0.12976527214050293,1.771564245223999,0.1142570972442627,0.12976527214050293,1.771564245223999,1,True,31,3,['x423']
45,ExtraTrees_r42_BAG_L1,0.4912621359223301,0.5063613231552163,precision,0.10386991500854492,0.11056876182556152,0.43741393089294434,0.10386991500854492,0.11056876182556152,0.43741393089294434,1,True,22,3,['x423']
46,ExtraTreesGini_BAG_L1,0.4912621359223301,0.5063613231552163,precision,0.10721516609191895,0.10176992416381836,0.3880767822265625,0.10721516609191895,0.10176992416381836,0.3880767822265625,1,True,8,3,['x423']
47,ExtraTrees_r49_BAG_L1,0.4912621359223301,0.5063613231552163,precision,0.11340212821960449,0.110198974609375,0.5758492946624756,0.11340212821960449,0.110198974609375,0.5758492946624756,1,True,56,3,['x423']
48,CatBoost_r69_BAG_L1,0.4897579143389199,0.5304347826086957,precision,0.00694584846496582,0.008108854293823242,1.7797510623931885,0.00694584846496582,0.008108854293823242,1.7797510623931885,1,True,37,3,['x423']
49,NeuralNetFastAI_r95_BAG_L1,0.48812095032397407,0.5415549597855228,precision,0.1978309154510498,0.06914114952087402,7.174365997314453,0.1978309154510498,0.06914114952087402,7.174365997314453,1,True,47,3,['x423']
50,XGBoost_r98_BAG_L1,0.48771929824561405,0.524541691306919,precision,0.07115316390991211,0.010184049606323242,0.9699790477752686,0.07115316390991211,0.010184049606323242,0.9699790477752686,1,True,49,3,['x423']
51,CatBoost_BAG_L1,0.4876190476190476,0.5320380322447292,precision,0.007735013961791992,0.003244161605834961,1.8553001880645752,0.007735013961791992,0.003244161605834961,1.8553001880645752,1,True,7,3,['x423']
52,CatBoost_r49_BAG_L1,0.4865831842576029,0.530721649484536,precision,0.004214048385620117,0.023797273635864258,1.1397879123687744,0.004214048385620117,0.023797273635864258,1.1397879123687744,1,True,55,3,['x423']
53,LightGBM_r131_BAG_L1,0.4857142857142857,0.5316824471959214,precision,0.009128093719482422,0.00553441047668457,1.2006690502166748,0.009128093719482422,0.00553441047668457,1.2006690502166748,1,True,16,3,['x423']
54,LightGBMLarge_BAG_L1,0.48554913294797686,0.5130035696073432,precision,0.05008387565612793,0.07450652122497559,1.8225147724151611,0.05008387565612793,0.07450652122497559,1.8225147724151611,1,True,13,3,['x423']
55,CatBoost_r5_BAG_L1,0.4843462246777164,0.5315091210613598,precision,0.011609077453613281,0.003923892974853516,1.985915184020996,0.011609077453613281,0.003923892974853516,1.985915184020996,1,True,71,3,['x423']
56,RandomForestEntr_BAG_L2,0.48358862144420134,0.6084762865792129,precision,4.617542505264282,3.14615535736084,221.48802399635315,0.0648031234741211,0.1153409481048584,1.4406862258911133,2,True,77,3,['x423']
57,NeuralNetFastAI_r134_BAG_L1,0.4831804281345566,0.5325644504748982,precision,0.11176180839538574,0.0666036605834961,5.670425176620483,0.11176180839538574,0.0666036605834961,5.670425176620483,1,True,59,3,['x423']
58,ExtraTrees_r4_BAG_L1,0.4822064056939502,0.49401330376940134,precision,0.049156904220581055,0.06281185150146484,0.42823195457458496,0.049156904220581055,0.06281185150146484,0.42823195457458496,1,True,66,3,['x423']
59,CatBoost_r177_BAG_L1,0.4819047619047619,0.5361871138570168,precision,0.012667179107666016,0.004508018493652344,3.0371029376983643,0.012667179107666016,0.004508018493652344,3.0371029376983643,1,True,14,3,['x423']
60,CatBoost_r86_BAG_L1,0.48120300751879697,0.5324618736383442,precision,0.012389898300170898,0.006106376647949219,2.639164924621582,0.012389898300170898,0.006106376647949219,2.639164924621582,1,True,52,3,['x423']
61,NeuralNetFastAI_r145_BAG_L1,0.4797979797979798,0.5392156862745098,precision,0.21458101272583008,0.09231758117675781,7.4019739627838135,0.21458101272583008,0.09231758117675781,7.4019739627838135,1,True,28,3,['x423']
62,KNeighborsUnif_BAG_L1,0.4794520547945205,0.5,precision,0.016093969345092773,0.0409698486328125,0.0019099712371826172,0.016093969345092773,0.0409698486328125,0.0019099712371826172,1,True,1,3,['x423']
63,CatBoost_r167_BAG_L1,0.4794007490636704,0.5320404721753794,precision,0.007378339767456055,0.003806591033935547,2.3786211013793945,0.007378339767456055,0.003806591033935547,2.3786211013793945,1,True,46,3,['x423']
64,RandomForest_r34_BAG_L1,0.47900763358778625,0.4988344988344988,precision,0.047876834869384766,0.07072114944458008,0.38521885871887207,0.047876834869384766,0.07072114944458008,0.38521885871887207,1,True,60,3,['x423']
