score,accuracy
5548.856548856549,0.668
5772.908366533865,0.678
5852.589641434263,0.683
6055.21472392638,0.712
5961.7706237424545,0.699
5626.746506986027,0.662
5693.386773547094,0.671
5897.233201581027,0.677
5833.667334669338,0.684
5900.0,0.685
5640.0,0.661
5998.011928429423,0.695
5763.485477178424,0.69
5888.88888888889,0.694
5848.249027237354,0.674
5891.891891891892,0.672
5797.642436149313,0.67
5800.804828973843,0.679
5802.44399185336,0.682
5618.556701030927,0.668
5686.9918699187,0.672
5754.032258064516,0.682
5799.204771371769,0.68
5787.148594377511,0.677
5646.706586826347,0.669
5614.173228346457,0.659
5526.946107784431,0.653
5754.563894523327,0.68
5700.0,0.67
5956.521739130435,0.689
5705.653021442495,0.662
5466.94214876033,0.663
5782.786885245901,0.683
5825.396825396826,0.679
5733.466933867735,0.672
5441.717791411043,0.653
5628.131021194605,0.65
5711.281070745697,0.654
5680.584551148226,0.688
5744.186046511628,0.686
5592.292089249493,0.664
5453.60824742268,0.659
5870.078740157481,0.675
5754.032258064516,0.673
5578.9473684210525,0.664
6247.706422018349,0.701
5552.419354838709,0.666
5583.333333333334,0.681
5733.466933867735,0.677
5792.079207920792,0.679
5462.167689161554,0.649
5646.090534979424,0.672
5729.166666666667,0.682
5561.88605108055,0.65
5446.280991735536,0.662
5646.586345381526,0.671
5727.642276422765,0.68
5666.666666666667,0.661
5548.323471400395,0.648
5705.653021442495,0.659
5851.485148514851,0.682
5837.782340862423,0.685
5808.080808080808,0.688
5673.306772908367,0.662
5588.983050847458,0.672
5872.509960159363,0.688
5929.292929292929,0.699
5914.0625,0.679
5625.766871165644,0.67
5795.131845841785,0.685
5625.766871165644,0.664
5565.040650406505,0.655
5614.785992217899,0.652
5779.324055666004,0.678
5745.098039215686,0.677
5750.0,0.666
5846.30738522954,0.675
5746.987951807229,0.676
6053.231939163498,0.693
5707.818930041152,0.681
5911.196911196911,0.681
5733.067729083666,0.674
5825.726141078839,0.692
5745.562130177515,0.664
5740.0,0.673
5904.761904761905,0.692
5784.232365145229,0.686
5666.666666666667,0.671
5920.0,0.691
5720.0,0.67
5680.672268907563,0.683
5764.7058823529405,0.668
5958.2504970178925,0.694
5830.708661417323,0.68
6148.217636022514,0.688
5813.627254509018,0.682
6058.823529411765,0.697
5836.935166994106,0.681
5747.967479674798,0.681
5456.211812627291,0.655
