score,accuracy
5694.386694386695,0.679
5852.589641434263,0.683
5772.908366533865,0.678
5871.16564417178,0.696
5941.649899396378,0.697
5487.025948103792,0.657
5673.346693386773,0.666
5679.841897233201,0.661
5873.74749498998,0.687
5980.0,0.692
5640.0,0.666
5998.011928429423,0.7
5867.219917012449,0.699
5929.292929292929,0.688
5809.3385214007785,0.668
5872.586872586872,0.683
5856.581532416503,0.679
5901.408450704225,0.695
5761.710794297353,0.678
5618.556701030927,0.674
5646.341463414635,0.666
5895.1612903225805,0.688
5779.324055666004,0.67
5887.550200803214,0.691
5626.746506986027,0.664
5791.3385826771655,0.671
5586.8263473053885,0.66
5774.847870182556,0.686
5720.0,0.672
5798.418972332016,0.669
5608.187134502924,0.646
5590.90909090909,0.675
5823.770491803278,0.693
5904.761904761905,0.689
5693.386773547094,0.67
5523.517382413088,0.66
5763.005780346821,0.655
5634.799235181644,0.652
5805.8455114822555,0.694
5765.327695560253,0.692
5673.42799188641,0.673
5432.989690721649,0.668
5948.818897637795,0.687
5653.225806451613,0.674
5558.704453441295,0.663
6137.614678899083,0.69
5592.741935483871,0.662
5687.5,0.694
5753.507014028056,0.678
5910.891089108911,0.69
5523.517382413088,0.661
5769.547325102881,0.685
5687.5,0.679
5601.178781925344,0.654
5570.247933884297,0.673
5726.907630522089,0.672
5666.666666666667,0.67
5745.562130177515,0.669
5646.942800788955,0.656
5725.146198830409,0.663
5970.297029702971,0.691
5694.045174537987,0.682
6030.303030303031,0.707
5673.306772908367,0.668
5588.983050847458,0.674
5673.306772908367,0.667
6050.505050505051,0.706
5875.0,0.681
5687.116564417178,0.68
5896.551724137931,0.687
5687.116564417178,0.673
5768.29268292683,0.69
5575.875486381323,0.649
5719.681908548708,0.673
5686.274509803921,0.672
5807.692307692308,0.666
5866.26746506986,0.682
5787.148594377511,0.672
5996.197718631179,0.673
5810.699588477366,0.681
5872.586872586872,0.682
5653.386454183267,0.665
5929.460580912863,0.703
5804.7337278106515,0.676
5580.0,0.658
5726.190476190476,0.673
5701.244813278009,0.68
5686.9918699187,0.678
5900.0,0.688
5680.0,0.67
5596.638655462185,0.678
5862.745098039215,0.681
5779.324055666004,0.676
5889.76377952756,0.673
6054.409005628518,0.676
5813.627254509018,0.683
6058.823529411765,0.698
5954.813359528487,0.697
5605.691056910569,0.665
5558.044806517311,0.663
