blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueHeraldKills,blueTowersDestroyed,redTowersDestroyed,blue_win
24575.0,349.0,89.0,8.6,25856.0,346.0,80.0,9.2,1.0,1.0,1.0,0
27210.0,290.0,36.0,9.0,28765.0,294.0,92.0,9.4,0.0,0.0,0.0,0
32048.0,346.0,92.0,9.4,25305.0,293.0,84.0,9.4,3.0,0.0,4.0,1
20261.0,223.0,60.0,8.2,30429.0,356.0,107.0,9.4,0.0,3.0,0.0,0
30217.0,376.0,110.0,9.8,23889.0,334.0,60.0,8.8,3.0,0.0,2.0,1
25470.0,362.0,82.0,9.2,22856.0,319.0,86.0,8.8,1.0,0.0,0.0,1
25391.0,350.0,96.0,9.2,23236.0,345.0,80.0,8.6,2.0,0.0,1.0,1
28946.0,367.0,65.0,9.2,26528.0,311.0,63.0,8.8,2.0,1.0,1.0,0
26928.0,379.0,80.0,9.6,23065.0,362.0,95.0,9.2,1.0,0.0,1.0,1
26079.0,302.0,106.0,9.0,27275.0,347.0,91.0,9.4,1.0,1.0,1.0,1
23215.0,307.0,70.0,9.0,26823.0,390.0,89.0,9.0,2.0,1.0,0.0,0
27944.0,319.0,94.0,9.0,21329.0,311.0,84.0,8.8,3.0,0.0,1.0,1
24979.0,364.0,107.0,9.4,26341.0,344.0,92.0,9.6,2.0,1.0,1.0,1
23095.0,210.0,84.0,8.0,31472.0,344.0,115.0,9.2,0.0,4.0,0.0,0
27466.0,341.0,97.0,8.8,23844.0,332.0,92.0,8.8,2.0,1.0,2.0,1
26804.0,410.0,66.0,9.2,24590.0,388.0,95.0,9.4,2.0,0.0,2.0,1
27754.0,372.0,102.0,9.6,24831.0,347.0,104.0,9.4,1.0,0.0,1.0,1
23213.0,328.0,94.0,9.0,28497.0,381.0,100.0,9.8,2.0,1.0,0.0,0
26523.0,338.0,99.0,9.2,27328.0,350.0,104.0,9.4,1.0,0.0,1.0,0
33120.0,405.0,93.0,9.6,24330.0,309.0,66.0,8.6,2.0,1.0,3.0,1
26300.0,399.0,67.0,9.0,22318.0,335.0,69.0,8.8,0.0,0.0,0.0,1
30173.0,342.0,71.0,9.4,22061.0,319.0,59.0,8.4,3.0,0.0,2.0,1
28783.0,366.0,96.0,9.4,24777.0,354.0,88.0,9.0,1.0,0.0,1.0,1
26220.0,321.0,72.0,9.4,26277.0,300.0,93.0,9.4,2.0,2.0,0.0,1
33839.0,272.0,82.0,9.2,22947.0,233.0,64.0,8.2,2.0,0.0,4.0,1
27268.0,324.0,80.0,9.2,30316.0,319.0,89.0,9.4,0.0,2.0,0.0,0
29587.0,279.0,20.0,8.8,30869.0,286.0,75.0,9.0,0.0,1.0,1.0,0
26144.0,342.0,84.0,9.4,27653.0,336.0,85.0,9.4,1.0,1.0,0.0,0
30055.0,310.0,84.0,9.8,25079.0,285.0,76.0,8.6,1.0,0.0,2.0,1
23154.0,296.0,77.0,8.4,28260.0,326.0,79.0,9.2,0.0,1.0,0.0,0
24011.0,341.0,94.0,9.2,22970.0,365.0,90.0,9.0,2.0,0.0,1.0,0
29270.0,325.0,97.0,9.2,25944.0,375.0,76.0,9.0,3.0,1.0,3.0,0
25334.0,327.0,82.0,8.8,28059.0,345.0,79.0,8.8,1.0,2.0,2.0,0
25527.0,342.0,63.0,8.8,29973.0,380.0,83.0,9.6,3.0,1.0,0.0,1
27773.0,314.0,107.0,9.2,27097.0,332.0,90.0,9.6,2.0,1.0,1.0,1
24990.0,346.0,80.0,8.8,29843.0,329.0,84.0,9.2,2.0,3.0,1.0,0
22103.0,323.0,74.0,9.0,28284.0,343.0,136.0,9.8,0.0,1.0,0.0,0
26998.0,336.0,76.0,9.2,25556.0,349.0,88.0,9.4,3.0,0.0,2.0,0
31559.0,338.0,81.0,9.6,25242.0,307.0,63.0,8.6,2.0,0.0,2.0,1
24008.0,299.0,70.0,8.8,31545.0,389.0,68.0,10.0,1.0,1.0,0.0,0
25790.0,330.0,88.0,9.2,27074.0,366.0,73.0,9.0,2.0,1.0,0.0,1
29102.0,378.0,82.0,9.0,23064.0,331.0,75.0,8.6,1.0,0.0,2.0,1
22140.0,281.0,60.0,8.4,35643.0,336.0,90.0,9.4,0.0,5.0,0.0,0
32692.0,325.0,88.0,9.6,27039.0,315.0,81.0,9.0,2.0,0.0,2.0,1
23610.0,262.0,63.0,8.4,32615.0,341.0,88.0,9.8,0.0,3.0,0.0,0
24554.0,333.0,75.0,9.0,24499.0,364.0,60.0,9.0,2.0,0.0,0.0,0
29310.0,343.0,72.0,9.0,26714.0,316.0,76.0,9.2,2.0,0.0,1.0,0
22853.0,316.0,78.0,8.6,26931.0,328.0,89.0,9.0,1.0,1.0,1.0,0
25037.0,347.0,98.0,9.6,26213.0,365.0,102.0,9.6,2.0,1.0,0.0,1
26764.0,321.0,75.0,9.6,26616.0,334.0,73.0,9.2,1.0,0.0,0.0,1
31640.0,344.0,116.0,9.4,27382.0,352.0,80.0,9.2,2.0,1.0,1.0,1
28564.0,377.0,76.0,9.4,26364.0,348.0,95.0,9.2,1.0,1.0,1.0,1
29155.0,364.0,80.0,9.8,27616.0,397.0,72.0,9.4,2.0,2.0,2.0,0
24145.0,374.0,89.0,9.2,23858.0,365.0,85.0,9.0,3.0,0.0,0.0,0
25566.0,340.0,90.0,9.6,26187.0,415.0,83.0,9.4,2.0,1.0,0.0,0
23018.0,346.0,66.0,8.6,34381.0,363.0,108.0,10.2,0.0,3.0,0.0,0
26160.0,340.0,82.0,9.2,28150.0,361.0,118.0,9.4,0.0,2.0,0.0,1
27376.0,376.0,78.0,9.4,24585.0,323.0,74.0,8.8,1.0,1.0,1.0,0
26821.0,395.0,68.0,9.0,25505.0,356.0,92.0,9.0,1.0,0.0,1.0,0
24922.0,318.0,100.0,9.4,25445.0,355.0,69.0,9.0,1.0,0.0,0.0,0
25184.0,310.0,76.0,8.6,25216.0,296.0,61.0,8.4,2.0,0.0,1.0,0
25694.0,299.0,97.0,9.4,23235.0,287.0,86.0,9.2,3.0,0.0,1.0,1
24284.0,351.0,89.0,9.2,23690.0,322.0,68.0,8.6,3.0,1.0,0.0,1
23121.0,325.0,75.0,9.0,28480.0,391.0,87.0,9.6,0.0,0.0,0.0,0
22902.0,297.0,64.0,8.0,30518.0,329.0,99.0,9.6,0.0,2.0,0.0,0
32223.0,391.0,106.0,9.8,23279.0,361.0,72.0,9.0,2.0,0.0,3.0,1
27214.0,376.0,76.0,9.2,28123.0,331.0,81.0,9.8,2.0,0.0,0.0,0
26013.0,333.0,84.0,9.4,26280.0,330.0,92.0,9.2,1.0,0.0,0.0,0
27200.0,359.0,70.0,9.2,25460.0,364.0,84.0,9.2,3.0,1.0,1.0,1
26897.0,310.0,56.0,9.0,29786.0,328.0,88.0,9.2,0.0,1.0,0.0,0
26912.0,353.0,86.0,9.2,25477.0,382.0,72.0,9.2,2.0,0.0,1.0,0
26470.0,334.0,94.0,9.6,27770.0,361.0,86.0,9.4,0.0,2.0,0.0,0
26734.0,331.0,79.0,9.4,26250.0,333.0,75.0,9.0,0.0,0.0,1.0,1
29757.0,311.0,68.0,9.0,25215.0,300.0,94.0,8.8,1.0,0.0,0.0,1
22303.0,311.0,77.0,9.0,25182.0,351.0,90.0,9.0,0.0,0.0,0.0,0
22466.0,309.0,46.0,8.4,28899.0,364.0,115.0,10.0,0.0,2.0,0.0,0
29120.0,376.0,108.0,9.6,20676.0,320.0,73.0,8.4,3.0,0.0,2.0,1
26678.0,282.0,72.0,8.8,28969.0,363.0,60.0,9.4,1.0,1.0,0.0,1
25338.0,358.0,92.0,9.0,23763.0,294.0,73.0,8.6,1.0,0.0,1.0,1
23122.0,311.0,84.0,8.8,28654.0,365.0,108.0,10.0,1.0,0.0,0.0,0
25229.0,291.0,88.0,9.0,28376.0,362.0,93.0,9.6,1.0,0.0,0.0,0
27484.0,345.0,91.0,9.4,25252.0,314.0,88.0,9.2,1.0,0.0,1.0,0
22677.0,243.0,40.0,7.6,33974.0,367.0,86.0,9.4,0.0,7.0,0.0,0
28691.0,333.0,76.0,9.4,24494.0,323.0,74.0,8.8,2.0,1.0,3.0,1
24079.0,325.0,88.0,9.0,29382.0,344.0,111.0,9.8,0.0,2.0,0.0,0
23842.0,342.0,90.0,9.0,27052.0,380.0,104.0,9.4,0.0,2.0,0.0,1
29015.0,303.0,84.0,9.2,26781.0,332.0,78.0,9.2,2.0,1.0,3.0,1
22352.0,329.0,107.0,9.2,26565.0,411.0,96.0,9.6,1.0,2.0,0.0,0
28936.0,285.0,69.0,8.8,26654.0,281.0,65.0,8.6,0.0,0.0,2.0,1
28703.0,327.0,104.0,9.8,24168.0,350.0,71.0,9.0,3.0,1.0,1.0,1
27370.0,350.0,85.0,9.0,24917.0,305.0,61.0,9.2,1.0,0.0,1.0,1
24725.0,321.0,78.0,9.2,27193.0,372.0,97.0,9.2,0.0,1.0,0.0,1
28342.0,375.0,98.0,9.6,22417.0,318.0,83.0,8.4,1.0,1.0,1.0,1
24651.0,374.0,97.0,9.2,29061.0,358.0,87.0,9.6,1.0,1.0,0.0,0
24922.0,328.0,88.0,9.4,25526.0,382.0,101.0,9.2,1.0,1.0,0.0,0
34053.0,264.0,96.0,9.4,29910.0,276.0,64.0,8.6,1.0,1.0,4.0,1
25659.0,332.0,77.0,8.6,30299.0,341.0,78.0,9.6,1.0,2.0,0.0,0
28032.0,321.0,100.0,9.6,24666.0,323.0,72.0,8.4,2.0,1.0,1.0,1
28557.0,300.0,80.0,9.2,25031.0,286.0,64.0,8.6,0.0,0.0,1.0,1
26539.0,312.0,66.0,9.6,25780.0,330.0,77.0,9.4,3.0,0.0,1.0,0
23122.0,283.0,53.0,8.6,31752.0,352.0,112.0,9.8,0.0,4.0,0.0,0
27559.0,368.0,95.0,9.8,22456.0,358.0,101.0,8.8,2.0,0.0,1.0,1
22629.0,317.0,101.0,9.2,26527.0,356.0,99.0,9.8,0.0,0.0,0.0,0
