,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,random_state,features
0,NeuralNetFastAI_r143_BAG_L1,0.6380090497737556,0.6520584329349269,precision,0.24094176292419434,0.07265019416809082,7.348703384399414,0.24094176292419434,0.07265019416809082,7.348703384399414,1,True,41,3,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
1,WeightedEnsemble_L2,0.6328125,0.706984667802385,precision,0.46471381187438965,0.11348915100097656,53.45123529434204,0.007435321807861328,0.0019998550415039062,1.015472650527954,2,True,55,3,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
2,NeuralNetTorch_r158_BAG_L1,0.632,0.7014134275618374,precision,0.21086454391479492,0.07299017906188965,40.38222026824951,0.21086454391479492,0.07299017906188965,40.38222026824951,1,True,51,3,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
3,NeuralNetFastAI_r103_BAG_L1,0.6292682926829268,0.6140873015873016,precision,0.2576446533203125,0.08849906921386719,13.849485874176025,0.2576446533203125,0.08849906921386719,13.849485874176025,1,True,38,3,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
4,NeuralNetFastAI_r11_BAG_L1,0.6277372262773723,0.6635262449528937,precision,0.34186315536499023,0.1595003604888916,19.99148440361023,0.34186315536499023,0.1595003604888916,19.99148440361023,1,True,34,3,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
5,NeuralNetTorch_r30_BAG_L1,0.6119402985074627,0.6193433895297249,precision,0.2355191707611084,0.09166550636291504,28.891458749771118,0.2355191707611084,0.09166550636291504,28.891458749771118,1,True,30,3,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
6,NeuralNetFastAI_r37_BAG_L1,0.6099071207430341,0.6001348617666892,precision,0.24700355529785156,0.08626437187194824,10.183220863342285,0.24700355529785156,0.08626437187194824,10.183220863342285,1,True,53,3,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
7,CatBoost_r69_BAG_L1,0.6086956521739131,0.6230248306997742,precision,0.07642483711242676,0.011111736297607422,4.141033411026001,0.07642483711242676,0.011111736297607422,4.141033411026001,1,True,37,3,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
8,CatBoost_r137_BAG_L1,0.6075949367088608,0.6249008723235527,precision,0.05611014366149902,0.010153055191040039,3.1876180171966553,0.05611014366149902,0.010153055191040039,3.1876180171966553,1,True,23,3,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
9,CatBoost_r167_BAG_L1,0.597051597051597,0.6061334936861095,precision,0.056258440017700195,0.01500558853149414,6.994871616363525,0.056258440017700195,0.01500558853149414,6.994871616363525,1,True,46,3,"['x106', 'x140', 'x153', 'x156', 'x176', 'x22', 'x221', 'x253', 'x324', 'x329', 'x336', 'x352', 'x36', 'x404', 'x413', 'x459', 'x499', 'x58', 'x65', 'x81']"
