score,accuracy
5639.91683991684,0.696
5951.394422310756,0.713
6031.075697211155,0.718
5998.364008179959,0.728
5962.977867203219,0.717
5786.027944111776,0.698
5733.867735470941,0.694
5736.758893280633,0.689
6054.509018036071,0.723
6060.0,0.724
5940.0,0.712
6096.222664015905,0.736
5978.4232365145235,0.726
6092.929292929293,0.729
5901.1673151750965,0.703
5846.332046332046,0.695
5951.277013752456,0.717
5862.374245472836,0.71
5765.376782077393,0.704
5562.8865979381435,0.677
5710.569105691057,0.693
6017.741935483871,0.725
5937.176938369782,0.721
6109.236947791165,0.727
5666.26746506986,0.688
5591.3385826771655,0.681
5845.908183632735,0.702
5879.107505070994,0.712
5880.0,0.716
5914.624505928854,0.702
5739.571150097466,0.687
5762.809917355371,0.702
5931.147540983607,0.726
5843.650793650793,0.711
5954.308617234468,0.716
5773.415132924335,0.708
5794.219653179191,0.685
5778.967495219885,0.681
5877.244258872652,0.718
6093.868921775898,0.738
5554.563894523327,0.682
5707.21649484536,0.7
6044.094488188976,0.721
5654.8387096774195,0.691
5743.31983805668,0.695
6194.495412844037,0.718
5735.483870967742,0.696
5820.833333333334,0.712
5773.947895791583,0.697
5869.306930693069,0.698
5814.314928425358,0.707
5981.069958847737,0.726
5945.833333333334,0.724
5794.1060903732805,0.695
5742.148760330578,0.708
5848.192771084337,0.71
5812.19512195122,0.707
5959.763313609467,0.71
5801.972386587771,0.701
5778.557504873294,0.691
5889.108910891089,0.707
5945.790554414783,0.718
6032.323232323232,0.721
5672.509960159362,0.686
5876.271186440678,0.72
5891.633466135458,0.709
5951.515151515152,0.714
5870.3125,0.701
5916.564417177914,0.719
6000.811359026369,0.724
5916.564417177914,0.713
5812.19512195122,0.706
5823.346303501945,0.695
5957.057654075547,0.708
5996.078431372549,0.715
5819.2307692307695,0.685
5925.748502994012,0.709
5868.273092369478,0.703
6043.346007604563,0.699
5939.917695473251,0.717
5884.942084942085,0.704
5971.314741035856,0.718
5916.182572614108,0.715
5801.972386587771,0.692
5780.0,0.699
5784.126984126984,0.697
5729.460580912863,0.699
5669.918699186992,0.688
5980.0,0.727
5640.0,0.677
5690.756302521009,0.704
5819.607843137254,0.698
5917.296222664017,0.71
6103.149606299213,0.729
6192.120075046904,0.718
5814.028056112224,0.707
5996.078431372549,0.714
6010.216110019646,0.719
5791.869918699187,0.706
5806.109979633401,0.7
