,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,random_state,features
0,NeuralNetFastAI_r143_BAG_L1,0.8095238095238095,0.7690288713910761,precision,0.06605887413024902,0.03425145149230957,2.6092851161956787,0.06605887413024902,0.03425145149230957,2.6092851161956787,1,True,41,2,"['x103', 'x106', 'x102', 'x105']"
1,WeightedEnsemble_L2,0.7395348837209302,0.7893368010403121,precision,0.5589296817779541,0.2282850742340088,28.626628398895264,0.001402139663696289,0.0013539791107177734,0.9069168567657471,2,True,73,2,"['x103', 'x106', 'x102', 'x105']"
2,NeuralNetFastAI_r11_BAG_L1,0.736,0.7324973876698014,precision,0.25011396408081055,0.0973663330078125,9.441435813903809,0.25011396408081055,0.0973663330078125,9.441435813903809,1,True,34,2,"['x103', 'x106', 'x102', 'x105']"
3,WeightedEnsemble_L3,0.7229437229437229,0.7863354037267081,precision,4.508162498474121,2.9602973461151123,225.85973596572876,0.0013928413391113281,0.0013790130615234375,0.7337679862976074,3,True,92,2,"['x103', 'x106', 'x102', 'x105']"
4,NeuralNetTorch_r158_BAG_L1,0.7148148148148148,0.7392197125256673,precision,0.08760595321655273,0.026819229125976562,10.28015398979187,0.08760595321655273,0.026819229125976562,10.28015398979187,1,True,51,2,"['x103', 'x106', 'x102', 'x105']"
5,NeuralNetTorch_r87_BAG_L1,0.6988950276243094,0.7170542635658915,precision,0.03905010223388672,0.019253969192504883,4.044893264770508,0.03905010223388672,0.019253969192504883,4.044893264770508,1,True,72,2,"['x103', 'x106', 'x102', 'x105']"
6,NeuralNetFastAI_r103_BAG_L1,0.6944444444444444,0.7264957264957265,precision,0.12070298194885254,0.0419611930847168,6.131897211074829,0.12070298194885254,0.0419611930847168,6.131897211074829,1,True,38,2,"['x103', 'x106', 'x102', 'x105']"
7,NeuralNetTorch_r30_BAG_L1,0.6929577464788732,0.728,precision,0.11066603660583496,0.02879190444946289,8.906368970870972,0.11066603660583496,0.02879190444946289,8.906368970870972,1,True,30,2,"['x103', 'x106', 'x102', 'x105']"
8,NeuralNetTorch_r86_BAG_L1,0.6920980926430518,0.715629522431259,precision,0.06659078598022461,0.018172264099121094,7.392524242401123,0.06659078598022461,0.018172264099121094,7.392524242401123,1,True,32,2,"['x103', 'x106', 'x102', 'x105']"
9,NeuralNetTorch_BAG_L1,0.6883116883116883,0.7197724039829303,precision,0.06162261962890625,0.015536069869995117,4.832048177719116,0.06162261962890625,0.015536069869995117,4.832048177719116,1,True,12,2,"['x103', 'x106', 'x102', 'x105']"
10,NeuralNetTorch_r14_BAG_L1,0.681704260651629,0.704225352112676,precision,0.02514362335205078,0.015183687210083008,3.9241042137145996,0.02514362335205078,0.015183687210083008,3.9241042137145996,1,True,39,2,"['x103', 'x106', 'x102', 'x105']"
11,NeuralNetFastAI_r191_BAG_L2,0.6777493606138107,0.709501025290499,precision,4.662153482437134,3.0235133171081543,232.9303731918335,0.17317485809326172,0.0730597972869873,9.032127141952515,2,True,88,2,"['x103', 'x106', 'x102', 'x105']"
12,NeuralNetTorch_r41_BAG_L1,0.6775818639798489,0.702557200538358,precision,0.03851890563964844,0.023365259170532227,6.623832941055298,0.03851890563964844,0.023365259170532227,6.623832941055298,1,True,48,2,"['x103', 'x106', 'x102', 'x105']"
13,NeuralNetFastAI_r37_BAG_L1,0.6741854636591479,0.7109589041095891,precision,0.10001301765441895,0.05530500411987305,4.8966898918151855,0.10001301765441895,0.05530500411987305,4.8966898918151855,1,True,53,2,"['x103', 'x106', 'x102', 'x105']"
14,NeuralNetTorch_r197_BAG_L1,0.6712328767123288,0.7268656716417911,precision,0.02444005012512207,0.017085552215576172,3.868864059448242,0.02444005012512207,0.017085552215576172,3.868864059448242,1,True,54,2,"['x103', 'x106', 'x102', 'x105']"
15,NeuralNetTorch_r31_BAG_L1,0.6709183673469388,0.7221067221067221,precision,0.0501408576965332,0.01757359504699707,5.862946033477783,0.0501408576965332,0.01757359504699707,5.862946033477783,1,True,65,2,"['x103', 'x106', 'x102', 'x105']"
16,XGBoost_r49_BAG_L1,0.6705607476635514,0.6928281461434371,precision,0.048660993576049805,0.015117168426513672,1.0375840663909912,0.048660993576049805,0.015117168426513672,1.0375840663909912,1,True,70,2,"['x103', 'x106', 'x102', 'x105']"
17,NeuralNetFastAI_r191_BAG_L1,0.6699029126213593,0.6983135540287321,precision,0.2094888687133789,0.06547427177429199,8.720080137252808,0.2094888687133789,0.06547427177429199,8.720080137252808,1,True,17,2,"['x103', 'x106', 'x102', 'x105']"
18,ExtraTreesEntr_BAG_L2,0.6688741721854304,0.6711560044893379,precision,4.552642345428467,3.0701804161071777,224.44707202911377,0.06366372108459473,0.11972689628601074,0.5488259792327881,2,True,80,2,"['x103', 'x106', 'x102', 'x105']"
19,NeuralNetTorch_BAG_L2,0.6682134570765661,0.7104420243433697,precision,4.567197561264038,2.998544216156006,229.8162910938263,0.07821893692016602,0.04809069633483887,5.9180450439453125,2,True,83,2,"['x103', 'x106', 'x102', 'x105']"
20,NeuralNetTorch_r79_BAG_L2,0.667420814479638,0.7219641672196416,precision,4.598954677581787,2.993037462234497,232.35623502731323,0.10997605323791504,0.04258394241333008,8.457988977432251,2,True,86,2,"['x103', 'x106', 'x102', 'x105']"
21,NeuralNetTorch_r22_BAG_L2,0.6674107142857143,0.7119496855345911,precision,4.60207462310791,3.006892681121826,231.73966121673584,0.11309599876403809,0.05643916130065918,7.841415166854858,2,True,91,2,"['x103', 'x106', 'x102', 'x105']"
22,XGBoost_r89_BAG_L1,0.6666666666666666,0.6949040370615487,precision,0.05467796325683594,0.020907878875732422,1.181636095046997,0.05467796325683594,0.020907878875732422,1.181636095046997,1,True,29,2,"['x103', 'x106', 'x102', 'x105']"
23,NeuralNetTorch_r79_BAG_L1,0.6666666666666666,0.7093403004572175,precision,0.08869194984436035,0.01988530158996582,8.640033960342407,0.08869194984436035,0.01988530158996582,8.640033960342407,1,True,15,2,"['x103', 'x106', 'x102', 'x105']"
24,NeuralNetTorch_r22_BAG_L1,0.6650246305418719,0.7099184782608695,precision,0.07870674133300781,0.05553269386291504,5.817867994308472,0.07870674133300781,0.05553269386291504,5.817867994308472,1,True,20,2,"['x103', 'x106', 'x102', 'x105']"
