model,n_estimators,max_depth,min_samples_split,min_samples_leaf,es,cv1,cv2,cv3,cv4,cv_mean,cv_std,columns
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=13,
                                    min_samples_split=9, n_estimators=1000,
                                    random_state=42)",1000,8,9,13,1280.0,1390.0,1300.0,1320.0,1430.0,1360.0,52.44044240850758,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=6, min_samples_leaf=11,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,6,12,11,1300.0,1370.0,1320.0,1310.0,1440.0,1360.0,51.47815070493501,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=7,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,7,1260.0,1370.0,1300.0,1340.0,1450.0,1365.0,55.0,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=7,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,7,11,7,1300.0,1390.0,1280.0,1320.0,1460.0,1362.5,68.69315832017043,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=7,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,7,11,7,1300.0,1390.0,1280.0,1320.0,1460.0,1362.5,68.69315832017043,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=8,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,8,1270.0,1400.0,1290.0,1330.0,1440.0,1365.0,58.52349955359813,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=8,
                                    min_samples_split=15, n_estimators=1000,
                                    random_state=42)",1000,8,15,8,1270.0,1400.0,1290.0,1330.0,1440.0,1365.0,58.52349955359813,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=5,
                                    min_samples_split=13, n_estimators=1000,
                                    random_state=42)",1000,8,13,5,1290.0,1370.0,1300.0,1320.0,1450.0,1360.0,57.87918451395112,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=9,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,7,11,9,1290.0,1360.0,1310.0,1330.0,1430.0,1357.5,45.48351349665063,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=8,
                                    min_samples_split=13, n_estimators=1000,
                                    random_state=42)",1000,8,13,8,1270.0,1400.0,1290.0,1330.0,1440.0,1365.0,58.52349955359813,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=6, min_samples_leaf=11,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,6,12,11,1300.0,1370.0,1320.0,1310.0,1440.0,1360.0,51.47815070493501,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=4, min_samples_leaf=7,
                                    min_samples_split=8, n_estimators=1000,
                                    random_state=42)",1000,4,8,7,1280.0,1380.0,1250.0,1250.0,1450.0,1332.5,86.13216588476108,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=11,
                                    min_samples_split=15, n_estimators=1000,
                                    random_state=42)",1000,8,15,11,1280.0,1390.0,1310.0,1320.0,1440.0,1365.0,53.150729063673246,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=14,
                                    min_samples_split=16, n_estimators=1000,
                                    random_state=42)",1000,7,16,14,1290.0,1360.0,1310.0,1320.0,1430.0,1355.0,47.16990566028302,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=8,
                                    min_samples_split=15, n_estimators=1000,
                                    random_state=42)",1000,8,15,8,1270.0,1400.0,1290.0,1330.0,1440.0,1365.0,58.52349955359813,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=9,
                                    min_samples_split=14, n_estimators=1000,
                                    random_state=42)",1000,8,14,9,1250.0,1390.0,1300.0,1330.0,1420.0,1360.0,47.43416490252569,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=5,
                                    min_samples_split=16, n_estimators=1000,
                                    random_state=42)",1000,8,16,5,1300.0,1380.0,1300.0,1310.0,1470.0,1365.0,68.00735254367721,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=10,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,7,12,10,1280.0,1380.0,1290.0,1300.0,1440.0,1352.5,61.39014578904337,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=6, min_samples_leaf=8,
                                    min_samples_split=14, n_estimators=1000,
                                    random_state=42)",1000,6,14,8,1300.0,1370.0,1280.0,1300.0,1450.0,1350.0,66.70832032063167,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=6,
                                    min_samples_split=10, n_estimators=1000,
                                    random_state=42)",1000,8,10,6,1300.0,1360.0,1280.0,1330.0,1450.0,1355.0,61.84658438426491,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=4,
                                    min_samples_split=8, n_estimators=1000,
                                    random_state=42)",1000,7,8,4,1300.0,1360.0,1290.0,1290.0,1440.0,1345.0,61.84658438426491,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=4, min_samples_leaf=10,
                                    min_samples_split=15, n_estimators=1000,
                                    random_state=42)",1000,4,15,10,1290.0,1360.0,1270.0,1250.0,1450.0,1332.5,79.49056547792323,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=12,
                                    min_samples_split=10, n_estimators=1000,
                                    random_state=42)",1000,7,10,12,1300.0,1380.0,1300.0,1310.0,1450.0,1360.0,60.41522986797286,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=9,
                                    min_samples_split=7, n_estimators=1000,
                                    random_state=42)",1000,8,7,9,1250.0,1390.0,1300.0,1330.0,1420.0,1360.0,47.43416490252569,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=8,
                                    min_samples_split=13, n_estimators=1000,
                                    random_state=42)",1000,8,13,8,1270.0,1400.0,1290.0,1330.0,1440.0,1365.0,58.52349955359813,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=7,
                                    min_samples_split=13, n_estimators=1000,
                                    random_state=42)",1000,8,13,7,1260.0,1370.0,1300.0,1340.0,1450.0,1365.0,55.0,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=8,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,8,1270.0,1400.0,1290.0,1330.0,1440.0,1365.0,58.52349955359813,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=5,
                                    min_samples_split=14, n_estimators=1000,
                                    random_state=42)",1000,7,14,5,1300.0,1360.0,1290.0,1320.0,1430.0,1350.0,52.44044240850758,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=6,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,6,1300.0,1360.0,1280.0,1330.0,1450.0,1355.0,61.84658438426491,"['x100', 'x101', 'x105']"
