model,iterations,depth,learning_rate,subsample,colsample_bylevel,min_data_in_leaf,test_score,cv_1,cv_2,cv_3,cv_4,cv_mean,cv_std,columns
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E020EF700>,1000,5,0.0796945481864393,0.7453942447208348,0.6187255599871848,2,1260.0,1310.0,1250.0,1310.0,1370.0,1310.0,42.42640687119285,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E021EEBF0>,1000,3,0.0013066739238053,0.8728673384861885,0.6210592611560484,8,1220.0,1330.0,1250.0,1250.0,1460.0,1322.5,85.84142356694697,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DB36290>,1000,3,0.0870602087830485,0.8408205087604007,0.2517221551443623,2,1280.0,1380.0,1330.0,1370.0,1380.0,1365.0,20.615528128088304,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01F9B490>,1000,4,0.0040596116104843,0.548518610050626,0.4603477677100099,3,1300.0,1340.0,1240.0,1320.0,1480.0,1345.0,86.45808232895291,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019A7A30>,1000,6,0.001901024531987,0.3275374161084572,0.3980437511290071,5,1250.0,1330.0,1250.0,1300.0,1440.0,1330.0,69.6419413859206,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019A4790>,1000,7,0.0025081156860452,0.538522716492931,0.6127938404189404,1,1300.0,1370.0,1290.0,1340.0,1440.0,1360.0,54.31390245600108,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0224FAF0>,1000,6,0.0021930485556643,0.1117990133360155,0.9514412603906666,10,1300.0,1370.0,1290.0,1310.0,1430.0,1350.0,54.77225575051661,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E017ED300>,1000,7,0.0040665633135147,0.1427885083060646,0.700021375186549,5,1290.0,1370.0,1310.0,1310.0,1400.0,1347.5,38.97114317029974,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E015E2B30>,1000,3,0.0097803370166594,0.0826690950594574,0.9138543819748428,3,1330.0,1380.0,1280.0,1350.0,1470.0,1370.0,68.19090848492928,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC650C0>,1000,6,0.0042016720543725,0.5440646201189203,0.5693747653761156,2,1290.0,1360.0,1310.0,1310.0,1420.0,1350.0,45.27692569068709,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC35000>,1000,8,0.0248014392844765,0.2940166779675855,0.9572202971099416,7,1250.0,1290.0,1310.0,1260.0,1340.0,1300.0,29.154759474226505,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC35300>,1000,3,0.0154293886425494,0.9764687008441374,0.0878264387271557,4,1180.0,1300.0,1240.0,1300.0,1430.0,1317.5,69.4172168845741,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01A459F0>,1000,4,0.0549006522239182,0.7095894660651011,0.1956997719037704,1,1300.0,1380.0,1310.0,1360.0,1480.0,1382.5,61.79603547154137,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01A445E0>,1000,4,0.0341993754444677,0.6903040920307258,0.831340848070915,1,1300.0,1370.0,1270.0,1330.0,1400.0,1342.5,48.66980583482946,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01A45210>,1000,4,0.0109389850969442,0.3567301242880451,0.2989255139902734,3,1320.0,1350.0,1220.0,1330.0,1470.0,1342.5,88.70597499605086,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01A44700>,1000,5,0.0384843556787457,0.6702832625389297,0.1245392657184413,4,1280.0,1380.0,1310.0,1340.0,1480.0,1377.5,64.17748826496718,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02231FC0>,1000,5,0.0449297612187139,0.6548611315115453,0.0855415658621171,7,1270.0,1370.0,1250.0,1340.0,1430.0,1347.5,64.9519052838329,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01A456C0>,1000,5,0.0540177070425656,0.4374542713072138,0.2112367162625646,6,1250.0,1370.0,1260.0,1350.0,1470.0,1362.5,74.6240577829965,"['x100', 'x101', 'x105']"
